_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv2_-2,adv2_full_-2,adv2_-3,adv2_full_-3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff0,diff1,diff2,diff3,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.22335,48.5,40000,0,0,0,0,0,0,-3,0.011409353,0.011409353,0.011409353,-3.018284689,0.011409353,0.011409353,0.011409353,-0.018284689,0.055179214,0.523576179,-0.83588478,-4.981983658,0,0.999999999,1,0.2,15.77940571,0.19,1.1314054,0.6596279,0.9972399,0.3408528,0.000966872,0.0002375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.005225,46,40000,0.897089011,0.897089011,0.897089011,1.783430896,0.897089011,2.659154405,-89.09056606,-39.49964025,-39.49964025,-39.49964025,-89.09066298,-40.39672926,-40.39672926,-40.39672926,-9.69E-05,0.035549989,0.549677484,-0.684519362,-3.440073778,2.38450711,0.999999999,2,0.32,12.98795003,0.18,1.0349329,0.9850556,0.99994725,0.3433893,3.33E-05,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.30935,46,40000,-17.45028107,-17.45028107,-38.22322969,-55.4644564,-17.45028107,-72.25027329,25.79894835,-17.4500037,-38.22322969,-17.4500037,25.79894835,0.000277371,0,0.000277371,0,0.004879467,0.545177259,-0.192116948,-6.688379343,2.923777835,0.999999997,3,0.46,3.663040549,0.17,1.0180428,0.94741404,0.9999745,0.34220135,1.41E-05,0.0002125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.87655,46,40000,8.199857552,8.199857552,19.86785397,27.96947722,8.199857552,35.83426044,-66.13205726,8.19956849,19.86785397,8.19956849,-52.86995521,-0.000289061,0,-0.000289061,13.26210206,0.002300312,0.542852143,0.024097152,-4.606005174,4.895068621,0.999999996,4,0.66,-0.463900589,0.16,1.1693106,0.9483689,0.99990857,0.34456483,0.000140408,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.745975,47,40000,-15.36457489,-15.36457489,-15.36457489,-30.54508217,-27.37947149,-57.55862357,36.58484878,51.96736112,-66.79471627,37.85327817,36.58520628,67.33193601,-51.43014138,65.23274965,0.000357499,0.004703232,0.534726736,-0.024413142,-6.767650854,6.882771373,0.999999997,5,0.86,0.436674532,0.15,1.045788,0.87806886,0.99991983,0.34241322,0.000310872,0.0001875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.350325,46,40000,31.43047174,31.43047174,56.45109871,87.5050334,31.43047174,117.8871948,-98.10073906,19.86166837,49.62472525,19.86166837,-9.910477076,-11.56880337,-6.826373459,-11.56880337,88.19026198,0.00378355,0.553702685,0.016015008,-4.410911146,4.611603238,0.999999997,6,1.06,-0.284652526,0.14,1.0725359,0.9756984,0.9999587,0.3431342,5.23E-05,0.000175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.026625,46,40000,31.69888042,31.69888042,34.78537842,66.10450625,34.78537842,100.0979527,-26.36363249,31.69948776,34.78537842,34.78537842,-26.36421051,0.000607341,0,0,-0.000578021,0.002364962,0.542077104,0.026047469,-4.758850315,5.003201367,0.999999996,7,1.26,-0.515955724,0.13,1.0648907,0.9786951,1.0000521,0.3439188,2.08E-05,0.0001625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.756675,46,40000,42.48966464,42.48966464,4.380186468,46.36082492,15.33180913,61.13723137,17.07515113,42.48937769,4.380186468,19.74696548,17.07575211,-0.000286944,0,4.415156354,0.00060098,0.001470154,0.546227311,-0.017838171,-5.356567803,4.779717604,0.999999995,8,1.46,0.346811394,0.12,1.029975,0.9195107,0.9999914,0.3426587,2.98E-05,0.00015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.90095,45,40000,9.88812312,9.88812312,5.335416728,15.10508013,9.88812312,24.81224439,19.55707719,9.88812312,5.335416728,9.88812312,19.55707719,0,0,0,0,0.001602595,0.553127656,0.110504353,-4.920837787,8.523966525,0.999999996,9,1.66,-2.119271688,0.11,1.0199536,0.92643636,1.0001959,0.34042478,9.54E-05,0.0001375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.354575,47,40000,50.10312492,50.10312492,50.10312492,99.60601441,24.39867401,122.8114084,42.0733891,52.22940978,47.24088499,31.55120034,11.82030922,2.126284854,-2.862239931,7.152526327,-30.25307988,0.002138816,0.545052253,0.005095486,-6.279420619,8.289700762,0.999999995,10,1.86,-0.096060176,0.1,1.0237961,0.9193255,0.9999578,0.3429375,1.59E-05,0.000125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08525,48.5,40000,82.38518592,82.38518592,7.872011464,89.27022286,82.38518592,170.5859515,-1.663853978,95.13172613,-10.83661179,95.13172613,-1.663314458,12.74654021,-18.70862325,12.74654021,0.00053952,0.00179129,0.540377019,0.059762074,-10.85275239,4.448149446,0.999999996,11,2.06,-1.124285128,0.09,1.0150037,0.9826495,1.0000088,0.34352714,3.79E-05,0.0001125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.190875,44.5,40000,58.04817039,58.04817039,-17.45586533,39.89688797,-17.45586533,21.96305792,-0.711225834,65.94838284,-14.04668119,-14.04668119,-9.18640879,7.900212456,3.409184147,3.409184147,-8.475182956,0.001917437,0.564703235,-0.114476354,-5.945155877,5.055352453,0.999999996,12,2.26,2.191269428,0.08,1.0629151,0.979592,0.99993044,0.3410024,3.28E-05,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.35285,44.5,40000,-9.613571959,-9.613571959,17.86700673,8.368605362,17.86700673,26.1353562,-2.221920033,7.188087697,17.86618032,17.86618032,-2.22135827,16.80165966,-0.000826412,-0.000826412,0.000561763,0.001207468,0.557927896,-0.001114544,-4.378381585,5.146243923,0.999999995,13,2.46,0.027590799,0.07,1.0099751,0.97639436,1.0000575,0.3416148,1.40E-05,8.75E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.573075,45.5,40000,14.7379047,14.7379047,-44.16562483,-29.60428022,10.8671106,-18.38251035,49.52828779,14.22377287,-48.50404176,13.77529864,31.35478106,-0.514131829,-4.338416931,2.90818804,-18.17350673,0.001289542,0.551502575,-0.011569376,-7.92743659,3.863347792,0.999999995,14,2.66,0.199308862,0.06,1.0081761,0.9776293,1.00001,0.34247822,3.23E-06,7.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.739475,44,40000,-82.85812361,-82.85812361,103.6118272,21.74634395,103.6118272,125.09765,57.33460931,-89.85220684,139.813184,139.813184,57.33522582,-6.994083228,36.20135679,36.20135679,0.000616502,0.002250231,0.56160308,0.114065612,-4.17627836,7.004252591,0.999999996,15,2.86,-2.160942405,0.05,1.0060792,0.9863356,0.99996895,0.34019804,4.47E-06,6.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.388875,46.5,40000,-56.07025056,-56.07025056,-8.01248042,-63.41100938,-3.058061746,-65.70940723,-4.657862192,-56.07025056,-8.01248042,-9.271891628,-2.994170712,0,0,-6.213829883,1.66369148,0.000950996,0.555777789,-0.043455264,-4.667797782,3.742667584,0.999999994,16,3.06,0.79410846,0.04,1.0241346,0.99301434,1.0000135,0.34135336,4.75E-06,5.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.203575,47,40000,-25.56269347,-25.56269347,53.11257026,27.85611786,53.11257026,80.63497183,-25.56269347,-6.927100521,53.11226899,53.11226899,-41.99066795,18.63559295,-0.000301273,-0.000301273,-16.42797448,0.000746808,0.55060253,-0.090381547,-3.893369262,6.214153178,0.999999993,17,3.26,1.677258741,0.03,1.0149521,0.9942526,0.99999744,0.34351626,3.40E-06,3.75E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.7301,46.5,40000,-3.156967136,-3.156967136,-3.156967136,-6.276113805,-3.156967136,-9.357893098,2.559803286,-3.157542823,-3.157542823,-3.157542823,2.560195235,-0.000575688,-0.000575688,-0.000575688,0.000391949,0.00112026,0.549227461,0.093807806,-4.815327829,7.505936391,0.999999994,18,3.46,-1.769916013,0.02,1.0265088,0.9920246,1.0000291,0.3430835,5.58E-06,2.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.360975,45,40000,-85.11018045,-85.11018045,-85.11018045,-169.2007409,-86.95668724,-254.1304033,7.590961791,35.19521107,35.19521107,-120.3324853,7.591533974,120.3053915,120.3053915,-33.37579803,0.000572183,0.003762026,0.549327466,-0.101540208,-9.544329653,2.61224372,0.999999996,19,3.66,1.944785953,0.01,1.0019557,0.9915882,0.99999475,0.34176317,2.56E-07,1.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.433975,46,40000,9.304613753,9.304613753,-6.535095085,2.658049396,9.304613753,11.93081972,-16.01430157,9.304900066,-6.53452588,9.304900066,-16.01334107,0.000286313,0.000569204,0.000286313,0.000960491,0.002633743,0.554177709,0.029413246,-5.353888198,10.43525345,0.999999997,20,3.86,-0.550223318,0.01,1.0012894,0.99833757,1.0000095,0.34315935,2.38E-07,1.25E-05
