_AverageReward,_No_optimal_actions,Steps,adv2_0,adv2_1,adv2_2,adv2_last,adv1_0,adv1_1,adv1_2,adv1_last,v1_[1 0],v2_[1 0],v1_[0 0],v2_[0 0],v1_[2 0],v2_[2 0],u_advavg_diff,n_advavg_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
27.199025,48.5,40000,-7.0,-10.0,-9.0,-10.0,-7.0179487770686375,-10.060475658383618,-9.068968022793753,-9.068968022793753,-3.0032115894251366,-197.75765187412566,0.015369117613760253,-72.63988072621349,-6.071947446245708,-345.0295858022388,202.1224428281736,101.0612214140868,0.01730469447785115,0.5060753037651883,-0.8303033529874084,-5.013931976675177,0.0,0.9999999991430046,1,0.31,15.762950360774994,0.196,1.0677633,0.90223855,0.9995601,0.3449299,0.00017585987,0.000245
24.218725,48.0,40000,-82.0966195267547,-75.0464310638954,-82.0966195267547,27.93449417820284,-82.09638863067994,-75.0464310638954,-82.09638863067994,-82.09638863067994,-15.955279953023357,-542.7713811148033,-13.924510424349599,-492.3594875126739,-2.5311092375079953,-567.7607099366728,523.4935596497563,390.34150194673254,0.01376260038673143,0.5205510275513776,-1.4321854595788472,-6.630144118594399,-0.0032410684097001746,0.9999999983599491,2,0.55,27.226332902908325,0.192,1.0490702,0.9614191,0.9999539,0.34561196,2.2804295e-05,0.00024
27.98135,47.5,40000,-40.457324170930406,-53.11287812077535,-40.457324170930406,2.134448618728584,-20.867044254274788,-34.1138437863483,-20.867044254274788,-20.867044254274788,-15.546529456774637,-581.1600252430285,-17.78087173762826,-577.7599510028346,-3.3375288943968897,-579.9620921865379,567.4057127812004,474.02538534029117,0.016075034762553255,0.516150807540377,-1.37580954380195,-6.793384293691956,-0.0026553436325381075,0.9999999986107351,3,0.78,26.121206998825073,0.188,1.0489506,0.9056665,0.99976915,0.34440595,0.00013308015,0.000235
26.967125,46.5,40000,-51.179126758054835,-22.115195776376993,-10.461419579897836,-1.7373877346899462,-51.179126758054835,-22.115208468832407,-10.461439417382337,-10.461439417382337,-14.385796536287122,-605.1965157849542,-19.945612958968145,-613.5269867724105,-3.918702845053945,-593.1675859068033,591.213658707953,521.2125467007935,0.017390754455812747,0.5298014900745037,-1.6446981861995769,-6.256176595670446,-0.008570257283267707,0.9999999982512826,4,1.1,31.29600238800049,0.18400000000000002,1.0167328,0.9840821,0.9999197,0.34505618,2.3051565e-05,0.00023
26.9807,47.5,40000,-11.042404323552091,9.550735188249291,-28.194930512138626,-18.644597088339196,-5.121763651277433,17.96837759770483,-30.445409382632988,-30.445409382632988,-14.211180630819616,-623.2670322151981,-21.316896919259865,-640.0937774298924,-3.590912251134036,-606.244011871887,610.1619439052547,552.1353025378659,0.017478467388099713,0.5258762938146907,-1.4178795182095802,-6.605577690413664,0.046849437967199994,0.9999999985047431,5,1.4,26.897135019302368,0.18000000000000002,1.035069,0.9157726,0.99988157,0.3442274,4.791145e-05,0.00022500000000000002
27.53925,46.0,40000,-22.042944720389357,-22.042944720389357,-6.854757922757074,-18.049653032784136,-22.042928561908695,-22.042928561908695,-6.854757922757074,-6.854757922757074,-13.734921809299783,-631.3415756949564,-22.072191356626885,-652.6796623248067,-3.298893793329907,-612.3209742734132,619.0787351113066,571.0922987696567,0.017059538154192935,0.527426371318566,-1.3066231426300678,-6.658596447983653,-0.020252819340783806,0.9999999986491831,6,1.71,24.81239950656891,0.17600000000000002,1.0584302,0.9802284,0.9999145,0.34425798,2.1524367e-05,0.00022
26.1664,47.5,40000,-16.122494548418217,-31.580238407268325,-31.580238407268325,-31.63472490039385,-16.122526523486158,-35.11496173958972,-35.11496173958972,-35.11496173958972,-14.10884760929025,-646.5878983034078,-23.034469158315407,-665.4290238222117,-3.432199401869699,-621.1172333654249,630.8528797738563,585.2625834720249,0.017870463835794236,0.5227511375568779,-1.2103977832244333,-6.864416045966879,0.010677062447215228,0.9999999987162692,7,2.01,23.00023591518402,0.17200000000000001,1.0747453,0.9772898,0.99995905,0.344585,1.8294157e-05,0.000215
24.73825,47.5,40000,-34.240183385733644,1.6584291153983486,-34.240183385733644,-34.240183385733644,-34.24014965093329,1.658470417789431,-34.24014965093329,-34.24014965093329,-14.111918707019841,-662.009523906246,-23.5384326940174,-684.6915703235497,-3.489783786229484,-634.5272891466685,646.6960827297326,598.4014674840728,0.017752315340724502,0.5196009800490025,-1.196916800762224,-7.616062039034184,-0.030539994155132436,0.9999999987236359,8,2.31,22.744758009910583,0.168,1.0216514,0.96608675,0.9999368,0.34441814,1.63535e-05,0.00021
23.791125,47.5,40000,-16.88172968153367,-19.65657346556577,-51.774220549373695,-36.79491659115865,-16.88176115656006,-19.65653763763953,-51.77426130740628,-51.77426130740628,-14.380637289452812,-652.7906277784513,-23.1054198324105,-675.5614835149174,-3.101792564879599,-628.0592709704928,638.6078441923728,605.0972811531357,0.014669824850954732,0.5243762188109405,-1.5489596387932199,-7.687073006311619,-0.032442674191195106,0.999999998185718,9,2.61,29.39137601852417,0.16400000000000003,1.0294323,0.98528904,0.9999543,0.3453945,1.2283421e-05,0.00020500000000000002
28.344875,46.5,40000,-5.323175438156909,-20.883250433079866,-8.452608181684809,-3.414120021848248,-2.430417341738689,-20.3659947936859,-9.974526612539648,-9.974526612539648,-13.920379536832682,-658.9676880917243,-24.090951126435076,-684.5266122998404,-2.284787884097795,-630.4311453752858,644.5431090731616,612.0017429750097,0.017564320235198674,0.5302515125756287,-1.29648823635458,-5.6878198866043785,0.04061993203738542,0.9999999987449222,10,2.92,24.643314361572266,0.16000000000000003,1.0490173,0.9724011,0.99991035,0.34475133,3.7881968e-05,0.0002
27.224875,48.0,40000,-17.344378143688573,-17.344378143688573,-5.174264866475141,-10.483798489597575,-20.4105110572076,-20.4105110572076,-5.078299634455334,-5.078299634455334,-13.35932989841415,-659.3129332293396,-24.325060863898823,-689.3249760206662,-1.5448895581225852,-628.8509932230387,646.0865407175364,617.0450085444735,0.01610872299995349,0.5168758437921896,-1.2285410855577408,-6.5684957269874396,-0.018182492935267972,0.9999999987329058,11,3.22,23.351991534233093,0.15600000000000003,1.0275226,0.9721528,0.9999038,0.34455976,2.2427777e-05,0.00019500000000000002
21.5711,48.0,40000,-11.001762608431363,7.816444468769987,-54.651754227000765,-48.34502057214088,-17.67344994814289,15.334939812975335,-51.6583804207703,-51.6583804207703,-13.29410968928027,-664.6192279796767,-24.44561223879656,-695.1678694083138,-1.022937440302593,-633.5124710949195,651.5123030381768,622.0462673101198,0.013900185109493948,0.5180759037951898,-1.8682479827258802,-6.363044671554317,-0.02338899659092925,0.9999999977247962,12,3.53,35.502200961112976,0.15200000000000002,1.0079848,0.9899165,0.9999711,0.34578156,1.0216652e-06,0.00019
23.393875,47.5,40000,-39.551018116947944,-39.551018116947944,-51.013000289865886,-17.106008041495443,-41.70085489444409,-36.914597830722414,-53.03354696465931,-53.03354696465931,-13.348698085587392,-665.468811877739,-24.453947323716847,-695.7504207862595,-0.7995855725247926,-632.6363986643245,651.7511334488313,625.1812172271335,0.015400915740400476,0.5168258412920647,-1.3730562461387037,-6.732823574382426,0.004514382292379582,0.9999999984489564,13,3.84,26.09795653820038,0.148,1.0137389,0.97364664,0.9999706,0.34525657,2.8749432e-06,0.000185
41.234675,45.5,40000,-12.614200825849935,7.560618333796469,-13.783148701632285,-2.361610755641209,-17.190882680433788,7.560581094065014,-13.783148701632285,-13.783148701632285,-12.905843990015194,-652.8795949111211,-24.114093099368073,-685.9961197731839,-0.7448382740743412,-622.5125114482895,641.2078169230456,626.993901772535,0.023298493877952593,0.5394269713485674,-1.2029196961626099,-6.066304104311262,-0.0015730696378631133,0.999999999127878,14,4.15,22.86397087574005,0.144,1.0930206,0.97290456,0.999931,0.3430323,7.822341e-05,0.00017999999999999998
23.86435,48.0,40000,-78.26085971541761,-88.2626046409332,-88.2626046409332,-26.956165905987746,-84.4446177642294,-94.38155817453026,-78.50648947590344,-78.50648947590344,-13.255942369731164,-666.1685691859019,-24.805663571853675,-702.0368142651221,-0.6179116078506437,-630.6511732875485,653.392346396379,632.802188969828,0.015064603066135853,0.5104505225261263,-1.9393971591181154,-7.091862738730517,-0.06484762482595421,0.99999999768104,15,4.46,36.834461092948914,0.13999999999999999,1.0287137,0.947808,0.9999465,0.3456917,2.954056e-05,0.000175
