_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv%1,adv2_-2,adv2_full_-2,adv%2,adv2_-3,adv2_full_-3,adv%3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff1,diff2,diff3,diff_first,val1_-1,val1_-2,val1_-3,val1_first,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.44705,50,40000,-18,-18,100,-18,-35.78436,50.30130482,-21,-56.35566337,37.26333565,0,-18.02400541,-18.02400541,-21.01194846,-0.010050032,-0.02400541,-0.011948459,-0.010050032,-0.010050032,-18,-35.964,-56.892072,0,0.067844353,0.493174659,-1.148072115,-5.382869096,-0.000491663,0.999999902,1,0.24,21.79080641,0.195,1.0907019,0.8516447,0.9990016,0.345796,0.000300301,0.00024375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.8767,48,40000,72.63370412,72.63370412,100,-86.13071169,-14.36715934,599.4971563,-123.6153108,-137.8103516,89.69958308,2.39923242,72.63365213,-146.3421917,-75.98757096,2.39931376,-60.21148003,47.62773984,8.13E-05,8.13E-05,-1749.772302,-2049.651552,-2518.961014,-13669.32731,0.037334706,0.51100055,-0.179292338,-2.374416181,4.81729446,0.999999974,2,0.41,3.04951188,0.19,1.3525566,0.78109545,1.0013143,0.34281367,0.002794733,0.0002375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.004425,45.5,40000,-10.22339902,-10.22339902,100,-7.625773244,-17.72669594,43.01858208,-7.625773244,-25.14010337,30.33310218,-117.6635192,-10.22339902,-7.625773244,-7.625773244,-117.6637833,0,0,-0.000264007,-0.000264007,-8764.029063,-8590.800405,-8598.390521,-8812.601064,0.013874641,0.559877994,-0.038966254,-4.25841466,4.399328223,0.999999965,3,0.58,0.66371249,0.185,1.0670573,0.91816,0.99999094,0.3410971,0.000225156,0.00023125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.770075,48,40000,-107.695992,-107.695992,100,-26.30401044,-132.7098044,19.82069866,-26.30401044,-157.4239514,16.70902693,48.24584716,-80.72302369,-53.98679323,-53.98679323,48.24556176,-27.68278279,-27.68278279,-0.000285393,-0.000285393,-10047.86103,-10400.45649,-10426.49293,-7714.743229,0.005451424,0.564453223,0.002956476,-3.950765634,3.093605528,0.999999965,4,0.8,-0.146072412,0.18,1.2446169,0.83876437,1.0002974,0.33447573,0.001853194,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.419225,46,40000,-8.783181078,-8.783181078,100,-8.783181078,-17.46113965,50.30130482,-8.783181078,-26.03513627,33.73587519,7.496199493,-8.783459309,-8.783459309,-8.783459309,7.496764287,-0.000278231,-0.000278231,0.000564794,0.000564794,-9335.894509,-9344.660124,-9353.408207,-7596.752129,0.003879831,0.602130107,0.007648012,-4.189907779,3.353526006,0.999999957,5,1.01,-0.220356853,0.175,1.1216168,0.7411434,1.0000111,0.32688,0.001302316,0.00021875
