_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
27.195175,49.0,40000,0.05148184057456165,-522.6341279762509,-502.5950987726407,-586.7287839227795,-668.8069839112061,-785.398672378157,0.5105527638190954,-1.1917426288577995,-5.250652057742515,-0.09702445574055854,0.9999999985072384,1,0.36,22.611606001853943,0.196,1.1183051,0.83040744,0.9991251,0.34476504,0.00060695026,0.000245
19.9076,48.5,40000,0.00395862430642972,-736.5921924685445,-887.3915578769897,-739.7752791785869,-734.0039554123553,-800.128083339187,0.5270603015075377,-0.17549933579702223,-6.103942232878543,5.837562046921341,0.9999999992087114,2,0.7,3.3131451159715652,0.192,1.0462085,0.9682472,1.0000324,0.3454953,1.4610899e-05,0.00024
24.442175,48.0,40000,0.0007782844764802924,-669.857819393021,-835.3089047129146,-646.1397723627176,-650.1809142700919,-672.3845034249242,0.5280653266331659,-0.1874454425459037,-7.987098744163664,5.1948084771598495,0.9999999992336556,3,1.01,3.5873889178037643,0.188,1.014055,0.9795887,0.9999654,0.3453555,8.245715e-06,0.000235
26.368975,47.5,40000,0.00041217112032715327,-757.0951397622024,-899.4962086090937,-741.3439810103076,-721.4300712089872,-710.3335878940912,0.5288944723618091,-0.17771191260213942,-6.6965269969735255,4.094496382096537,0.9999999992316653,4,1.41,3.3469790518283844,0.18400000000000002,1.0271089,0.98209107,1.0000553,0.34533972,2.3080074e-05,0.00023
19.4272,48.5,40000,0.00013801741077396176,-687.458311578895,-814.2003228561452,-683.0742715492324,-682.5485266746397,-665.2033497873032,0.522462311557789,-0.07763579621066101,-5.813363215373439,5.241135236829395,0.9999999989993373,5,1.81,1.481240127235651,0.18000000000000002,1.0328357,0.9437723,0.9999305,0.34502456,9.505629e-05,0.00022500000000000002
20.687725,48.0,40000,0.00021239549687059698,-605.1196777849041,-721.748152471356,-595.4163333331607,-609.5228836784913,-578.8471665472131,0.5354020100502512,-0.06831997889764492,-6.661410630149503,7.138729923929021,0.9999999990621817,6,2.12,1.2953489795327187,0.17600000000000002,1.0300373,0.9812186,0.99999744,0.34496418,1.5087942e-05,0.00022
23.12995,47.5,40000,0.00019247454358849807,-561.6526315602455,-668.4553884278699,-547.490688024862,-547.978669286458,-500.9301352453273,0.5313316582914572,-0.06490824902524596,-6.936717395884665,5.61586967635157,0.9999999991804288,7,2.4,1.2140299677848816,0.17200000000000001,1.0400786,0.92687047,1.0000036,0.34469485,5.3025622e-05,0.000215
27.420725,47.5,40000,0.00011884714154867062,-523.914657063007,-618.6751338730902,-516.4084594793667,-519.0359771066148,-471.45854468286933,0.5392964824120603,-0.09200650877029101,-7.235698475070239,6.121372895398044,0.9999999992381826,8,2.69,1.7185383476316929,0.168,1.0384576,0.97975576,1.0000042,0.34467748,8.458097e-06,0.00021
21.667925,48.5,40000,8.97086853310337e-05,-493.8817523242134,-593.46285949255,-475.95740953167393,-452.10503977709476,-405.45196434530305,0.5303015075376885,-0.002997881438295207,-5.478107136759426,6.497896193020163,0.9999999990637888,9,2.97,0.05415066028945148,0.16400000000000003,1.0172786,0.98771244,1.0000407,0.3449711,3.4375316e-06,0.00020500000000000002
21.6289,48.5,40000,5.167185065357585e-05,-443.4188346836816,-530.0548277169693,-437.6532686800939,-406.19412804285616,-355.19189380142717,0.5287688442211055,-0.00647885837118075,-6.50092514325033,6.453322416217134,0.9999999991171484,10,3.25,0.14733203640207648,0.16000000000000003,1.0398997,0.98062116,1.0000552,0.34538242,1.0036673e-05,0.0002
24.4444,48.0,40000,6.29131424977285e-05,-420.8775767927256,-495.650681109727,-414.05896345398133,-385.4923704411679,-342.406152897552,0.5332412060301508,-0.0339649004593636,-7.068860459491369,5.008045567901521,0.9999999991864877,11,3.53,0.6417152574285865,0.15600000000000003,1.0694233,0.95889,1.000037,0.34556213,6.636993e-05,0.00019500000000000002
28.622225,47.5,40000,6.156119158864138e-05,-397.1781927456943,-465.55118645689726,-401.2836958673289,-375.6436581190435,-331.28107668782303,0.5314070351758794,-0.06670351249668424,-6.188384575033703,5.9507014173048365,0.9999999991956179,12,3.83,1.248440232127905,0.15200000000000002,1.0256087,0.9663401,1.0000696,0.34503865,4.0607883e-05,0.00019
23.694475,48.0,40000,3.960205575269319e-05,-362.9442042707974,-429.429625740225,-364.0026236029078,-340.3771760076627,-305.4540675394853,0.5326130653266332,-0.016510994645773793,-5.525229326851573,3.952684219312166,0.9999999991164227,13,4.11,0.30286517227068543,0.148,1.042532,0.9244902,1.0000548,0.34467828,6.652527e-05,0.000185
37.448925,46.5,40000,0.00017068376825349032,-352.53436716811507,-412.74066169605544,-349.8863882351889,-314.9870579519527,-283.8077866532126,0.5471608040201005,-0.12931047841787394,-6.3903257322479226,5.138323032265333,0.9999999993153919,14,4.4,2.4838951975107193,0.144,1.0285225,0.9507362,0.9999194,0.34328774,1.694652e-05,0.00017999999999999998
25.4141,48.0,40000,3.7427662876750526e-05,-331.3478711024991,-395.32640402771995,-324.89797356284214,-290.7244292159075,-257.9159178521578,0.5414824120603015,0.004302069305888549,-7.018894675614905,5.875705793404255,0.9999999991794566,15,4.68,-0.09580401191487908,0.13999999999999999,1.0165385,0.9736009,0.99998105,0.34416378,6.253505e-06,0.000175
23.3702,47.5,40000,3.2056668598816766e-05,-302.36795822245654,-368.8745809726917,-299.095254612185,-273.07621327945327,-249.28257672814905,0.5414824120603015,0.012472100041868541,-5.705680957436271,5.324864798784384,0.9999999990374179,16,4.96,-0.26279793423600495,0.13599999999999998,1.0572497,0.97165436,1.0000242,0.34488216,4.802033e-05,0.00016999999999999999
28.886475,47.0,40000,3.510676227915381e-05,-281.0734444785483,-340.5569893548461,-284.7058721572346,-261.47095075965905,-234.69250228512524,0.5415075376884422,-0.06393568604342352,-5.936026261604486,5.630850684934796,0.9999999991795688,17,5.24,1.206410190090537,0.13199999999999998,1.0175312,0.9729438,1.0000992,0.3443667,2.8151897e-05,0.00016499999999999997
