_AverageReward,_No_optimal_actions,Steps,val1_[1 0]v1_,val1_[0 0]v1_,val1_[2 0]v1_,val1_[3 0]v1_,val1_[4 0]v1_,val1_[1 1]v1_,val1_[2 1]v1_,val1_[5 0]v1_,val1_[3 1]v1_,val1_[0 1]v1_,ad_diff_avg_diff,[1 0]adv1_,[1 0]adv2_,[0 0]adv1_,[0 0]adv2_,[2 0]adv1_,[2 0]adv2_,[3 0]adv1_,[3 0]adv2_,[4 0]adv1_,[4 0]adv2_,[1 1]adv1_,[1 1]adv2_,[2 1]adv1_,[2 1]adv2_,[5 0]adv1_,[5 0]adv2_,[3 1]adv1_,[3 1]adv2_,[0 1]adv1_,[0 1]adv2_,ad_diff_full_avg_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
23.742975,49.5,40000,-300.18864826251655,-109.07984317080563,-468.4826967697029,-671.8189776765348,-972.6518069273279,-503.6275013718661,-593.8760549216745,-1197.9872619124158,-833.9311758387028,-416.1018484434137,271.36122649330525,-2.98146675709992,-108.98106973810633,-0.028685655702727075,-38.871628068446036,-5.9920175605045065,-177.06558279301817,-9.032657125581878,-257.6526428927496,-11.951252691931526,-349.39558572921555,-4.06099664123005,-162.2993541907568,-6.9882871452656,-218.57766578531985,-14.99638780883051,-437.3637123171124,-10.020926244598988,-302.1294767852054,-1.0858386115128589,-115.25444818887732,210.04526502465487,0.059343698906130456,0.4979998999949998,-1.0685553931592795,-5.261559914924811,-0.0012900614260776449,0.9999999100552963,1,0.3,20.30663502216339,0.19333333333333336,1.0469677,0.94964504,0.99985313,0.3462847,3.0211582e-05,0.00024166666666666667
28.3183,51.5,40000,-1696.1453640277587,-1626.8446383481291,-1733.5556046469014,-1849.8976056795839,-2123.3934905022334,-1716.175373614288,-1795.2735201151575,-2265.5674602291087,-2009.1807939237146,-1624.9603932023238,733.6513808627058,-46.877683835104214,-564.9152922525418,-54.71604919398918,-479.89117951451703,-19.33265336687154,-623.0229046114938,-23.840111976440504,-730.2707759767455,-9.31013657856245,-880.7674812541544,40.814105891049806,-571.2329043939395,18.675791673885602,-622.0733963617199,16.67636361378479,-950.1143232826131,-31.08450166682319,-804.6660735051862,2.9273607348498007,-568.3201535899403,668.920697003863,0.027176301265661167,0.49002450122506125,-0.15998682306492318,-3.0580838585656114,2.479514899005951,0.9999999695888765,2,0.57,2.9788719415664673,0.18666666666666668,1.1242132,0.90112746,0.9999139,0.34623313,0.0005940709,0.00023333333333333333
26.519225,50.0,40000,-2238.3318866390687,-2233.9316484523897,-2263.275187991173,-2296.9042376992875,-2459.371889409958,-2295.048989502959,-2338.483094823809,-2594.6772043765936,-2471.318373206921,-2194.7945991925353,1509.4714243684798,-25.04417865501368,-1289.0873032737177,-42.253532110260764,-1233.9970193217462,-22.248110645032202,-1314.001836593982,0.9194137524732289,-1376.095534351052,20.608432385010172,-1595.3186691900469,18.3611940943848,-1325.6160320012327,-1.833613674595815,-1409.5173536938703,-0.16942883335759926,-1745.7417666049635,-52.56640065757362,-1580.3051759723862,-14.141395359499674,-1310.827674252001,1406.2140745551533,0.009637656333283073,0.5139756987849392,-0.0658755969051318,-4.134375252715852,4.170776134726879,0.9999999657936466,3,0.84,1.0233312300406396,0.18000000000000002,1.1964287,0.8098633,1.000006,0.34572765,0.001249231,0.00022500000000000002
23.3925,50.5,40000,-2473.7180434748375,-2474.4686567978824,-2525.220972726571,-2583.30080323547,-2711.8206270136066,-2522.426495553209,-2549.50824948175,-2823.9357380336774,-2674.3221702491705,-2443.9633504664125,1982.5255872578568,-15.29353972855538,-1805.1659559051232,-30.148433409243687,-1786.2268875804443,-22.098212816735746,-1833.2942134330617,-11.290083867203444,-1867.3580946844158,28.379480217434796,-1994.9484804979613,22.371926396759342,-1832.3617539978384,4.0670317595985335,-1925.0520177426706,-16.10779403579134,-2159.246502246043,-53.09005952485106,-2068.9120266358577,-5.304044675163498,-1731.6859593736422,1890.5738162413304,0.00797325656216332,0.47969898494924745,0.01994653688066839,-3.329272352409685,4.109904522889999,0.9999999603337222,4,1.2,-0.649862064543413,0.17333333333333334,1.3593946,0.7233833,0.99982244,0.34599048,0.0015339045,0.00021666666666666668
22.956375,50.5,40000,-2650.4109427358035,-2652.3296092568557,-2691.834043671146,-2735.2958554679312,-2848.4817903726675,-2699.2304602575273,-2723.7388355099997,-2965.5673929073287,-2851.5545750183505,-2633.8898424591052,2267.0459366726254,-11.38658376100865,-2106.1045855799366,-23.73229368639941,-2108.9749292176452,-18.687856960381332,-2154.2603536301344,-3.0035754356971873,-2191.9935364302937,29.723864851564407,-2290.857901481234,24.84224828749449,-2130.0805594996896,7.175901891796255,-2160.7716977000728,-18.925123445527834,-2382.4628702756813,-58.08929335683747,-2274.964974386695,-17.76418253038128,-2102.8384550085816,2181.3462969064585,0.0028818083000765435,0.5168758437921896,-0.016738508940012685,-6.6349579752195345,4.063857049982916,0.9999999527170159,5,1.52,0.17615515645593405,0.16666666666666669,1.11835,0.8347981,0.9996621,0.34564787,0.0009564277,0.00020833333333333335
20.620575,52.0,40000,-2713.213427373807,-2718.2551686321667,-2759.685694989854,-2805.766889413702,-2898.564171518874,-2760.3385067977993,-2793.4714078381385,-3015.1802713394113,-2910.6621516709047,-2709.676107808221,2429.4790698555034,-5.018053950179334,-2282.4788578690295,-17.19170237537774,-2269.2527039682914,-17.119655824030012,-2310.3992552733275,-6.79663428669095,-2365.7361803382173,26.862991965897876,-2501.2203937879463,23.675105949716148,-2291.760952247572,13.401498428624615,-2272.1695603338558,-21.998854997128817,-2626.697672397041,-52.66701752963243,-2413.022505235833,-15.52060245261356,-2258.562072932412,2351.892722931211,0.0020954931610333224,0.4862743137156858,0.04159988267339338,-7.32641312318848,5.128572833278287,0.9999999387775128,6,1.86,-0.9186222553253174,0.16000000000000003,1.2186702,0.7888642,0.9996349,0.34459326,0.0005588649,0.0002
24.662225,53.5,40000,-2765.610975287984,-2767.2816964385265,-2808.716732813823,-2859.6953861755405,-2945.0655925969795,-2805.4255803121277,-2842.521278623906,-3054.167475110685,-2953.291398453571,-2757.482046746273,2593.1717292534304,-5.396187638909143,-2435.0558782391317,-13.996355356192868,-2421.563500473713,-13.064398597293549,-2497.6857952648097,-6.7597382934171675,-2557.1919471951246,23.38119804362428,-2659.143753100592,25.586481011493213,-2484.7465289681495,10.366954229578663,-2528.5492184416353,-19.95231029877541,-2777.484253414438,-54.32236432047352,-2660.3780453378326,-7.663744961662678,-2442.5794370548533,2540.255789130825,0.0022634564010335406,0.45589779488974447,-0.01677771259960387,-7.289032718894448,4.662961251841454,0.9999999366482388,7,2.21,0.09926737565547228,0.15333333333333332,1.2379551,0.5123829,1.0003606,0.33692777,0.0014308449,0.00019166666666666665
20.3498,52.0,40000,-2807.217162694797,-2802.269384210253,-2843.577740899775,-2893.6981251802736,-2978.9337957339303,-2839.932167983788,-2887.070990400549,-3085.259735798617,-2993.0789702479865,-2786.160766068531,2662.315195390176,-8.916788383138265,-2545.8543523105195,-13.03705101387398,-2539.652359129388,-7.31869341527299,-2572.417085835169,-2.258200811780167,-2616.7202188645574,20.476404573161936,-2690.3700380140294,24.76726321038192,-2539.9932554779944,8.420662890267385,-2568.387587107103,-15.067977449567051,-2789.512486538834,-49.609594106363836,-2691.474039298282,-0.281060474113498,-2511.289587402706,2602.284597499828,0.002243167564893731,0.4371468573428671,-0.011051047300824023,-5.2689654819756155,3.645486646546982,0.9999999456380639,8,2.56,0.13016317086294293,0.1466666666666667,1.128628,0.8977895,1.0002408,0.33896738,0.0005078239,0.00018333333333333336
25.20115,52.0,40000,-2829.902752405208,-2829.6489110154844,-2868.915350083808,-2920.6736793926257,-3004.6239461200958,-2869.715851902627,-2917.09390334983,-3108.557931190175,-3014.189181570979,-2817.966265561551,2735.902530590104,-3.945584504726982,-2605.1787544388317,-14.980279091259128,-2597.090174089488,-4.913033002818096,-2646.3403511230617,-3.6036082770467055,-2698.2190491900647,17.84052713848409,-2772.8737802534656,14.99434511047222,-2642.8192726347447,5.160547756605592,-2678.3450752466615,-14.917915952729295,-2881.5666701486857,-42.42903115323013,-2777.5254092737346,3.4873943906843463,-2568.729254877447,2682.5381153690623,0.004950197872775284,0.3954447722386119,-0.04455583956496035,-7.991134423577095,5.440560508513332,0.9999999441813717,9,2.9,0.7564743757247925,0.13999999999999999,1.0657307,0.6823096,1.0000713,0.3280053,0.00031815568,0.000175
29.9993,52.0,40000,-2873.37476650257,-2869.2896544680657,-2906.4656655384765,-2956.5989437921135,-3045.8200107241587,-2906.778779927466,-2954.681253368724,-3139.7012217792144,-3041.6217402799457,-2858.0861040451123,2779.7457416923476,-5.029630491008975,-2652.1366119335107,-13.432369115145312,-2647.7525331970355,-2.9894013543432933,-2698.6233625475925,-0.1143436790913338,-2742.591160679988,9.636958877082364,-2831.9709598923537,12.933268974092123,-2691.2270839706407,0.29267486919362007,-2732.106381468167,-15.106455416433903,-2942.2785449964344,-35.90408048153117,-2824.4420738719614,4.148440055060728,-2632.379759644871,2734.994353444043,0.005441506364497781,0.3927196359817991,0.0179878045676687,-6.248860617121594,5.269546573512047,0.9999999508328938,10,3.23,-0.3908208282664418,0.13333333333333336,1.3125858,0.7574318,1.0000744,0.31536338,0.00021393767,0.0001666666666666667
