_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv%1,adv2_-2,adv2_full_-2,adv%2,adv2_-3,adv2_full_-3,adv%3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff1,diff2,diff3,diff_first,val_NN-1,val_NN-2,val_NN-3,val1_-1,val1_-2,val1_-3,val1_first,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.35385,49,40000,-36,-36,100,-36,-71.56872,50.30130482,-33,-103.7113267,31.81908962,-10,-36.01769927,-36.01769927,-33.009518,-10.027194,-0.01769927,-0.009518004,-0.027193998,-0.027193998,0,0,0,-36,-71.928,-104.784144,-11281.85585,0.025402685,0.498724936,-0.857315084,-6.163989129,-0.000181943,0.99999994,1,0.25,16.2491371,0.195,1.062069,0.91043514,0.9995752,0.34601074,0.000124875,0.00024375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.28395,50.5,40000,1.772988128,1.772988128,100,27.95606534,29.70781307,94.10341069,1.772988128,31.12490159,5.696365409,87.41831488,-43.65673823,-9.961805693,48.88133365,178.3539757,-37.91787103,47.10834553,90.93566087,90.93566087,-2804.2788,-2362.774,-2804.2788,-2802.50582,-2333.048418,-2772.839764,-21762.39415,0.017451355,0.480074004,-0.094458322,-5.0152288,4.049905577,0.999999985,2,0.42,1.726633504,0.19,1.0999413,0.84012616,1.000267,0.3448983,0.000253701,0.0002375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.304025,51,40000,2.192947677,2.192947677,100,2.192947677,4.359623841,50.30130482,-0.451565187,3.855830361,-11.71123064,-75.37851338,2.470249515,2.470249515,-1.456197891,-75.37772778,0.277301838,-1.004632704,0.000785597,0.000785597,-17012.809,-17012.809,-17182.305,-17010.61565,-17008.42708,-17178.38351,-13868.81478,0.015637671,0.455297765,0.011937614,-5.449142803,3.05337719,0.999999986,3,0.6,-0.356464764,0.185,1.1045797,0.53391105,1.0002776,0.33751154,0.000732151,0.00023125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.869275,50,40000,20.49100003,20.49100003,100,18.92621471,39.17173257,48.31600104,20.49100003,59.19345524,34.61700276,354.9387048,51.91799133,-41.70908602,-40.18851965,679.0587779,-60.63530073,-60.67951968,324.120073,324.120073,-14625.824,-15366.338,-14625.824,-14605.33322,-15326.96166,-14566.03574,-12441.39594,0.006433483,0.431421571,0.000531281,-7.667467913,7.330787214,0.999999978,4,0.85,-0.060421853,0.18,1.249081,0.95129013,0.9999526,0.33879983,0.000344986,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.83255,50.5,40000,116.2780075,116.2780075,100,116.2780075,231.1630044,50.30130482,88.45808264,316.8517543,27.91781375,-34.15867301,154.4384438,80.70767259,56.51952118,-34.15920616,-35.5703349,-31.93856146,-0.00053315,-0.00053315,-10357.83,-10357.83,-10613.565,-10241.55207,-10125.50662,-10293.24854,-9282.958396,0.004800437,0.456097805,-0.003172918,-7.764974942,5.0317784,0.999999977,5,1.1,-0.043717424,0.175,1.0698712,0.7382816,1.0000722,0.33990523,0.000641676,0.00021875
