_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
22.7762,49.0,40000,0.05188756312535485,0.508500425021251,-0.13022005107389248,-2.661424868420467,4.412431516620898,0.999999983116682,-5282.269544523102,-37346.8895216716,0.0,61988725.37748301,1,0.3,2.21046894043684,0.196,1.172581,0.79602116,0.9997618,0.34489274,0.0009469973,0.000245
32.101525,47.0,40000,0.004901760016905207,0.5424271213560679,-0.20024609569789706,-3.6023104771711862,3.6986433207270504,0.9999999712143114,-8250.830034683917,-36188.71079900458,6016.912552196571,47031960.786412045,2,0.56,3.5358266085386276,0.192,1.2090533,0.6751113,1.0002131,0.33912528,0.0018973098,0.00024
24.26515,46.0,40000,0.0016156013880521648,0.5659532976648832,-0.2334637625380327,-3.6802579075296236,4.450559526638314,0.9999999559451929,-7521.294930898188,-37870.41724010688,538.8379639078689,26994126.528372463,3,0.81,4.332121714949608,0.188,1.0921421,0.79485494,0.99971944,0.33808017,0.0005726724,0.000235
23.5535,45.0,40000,0.000426873588018935,0.5826041302065104,-0.25402408697066037,-4.6750224368184385,4.175080368002795,0.999999937389752,-8189.108898102215,-39595.092143315465,-3695.3138835640075,22728246.62292512,4,1.49,4.790736645460129,0.18400000000000002,1.3758676,0.8352031,1.0002456,0.3413028,0.0005669062,0.00023
36.34505,46.0,40000,0.00030236011024066946,0.575728786439322,-0.31196871618855526,-6.049118819823742,6.952376817327833,0.9999999253176294,-12043.497443619057,-61621.300041768525,-4881.780652161855,106350382.00358906,5,1.74,5.835343807935715,0.18000000000000002,1.4278125,0.77464736,0.9997181,0.34449276,0.0017499349,0.00022500000000000002
23.427925,49.0,40000,0.0001409733461478616,0.5418520926046302,-0.25418895324718793,-5.6254845382379886,6.575707390746267,0.9999999087415179,-9361.132426476694,-41055.68914396161,-5432.8002105968735,17739417.342532493,6,1.99,4.794444650411606,0.17600000000000002,1.1868769,0.85742766,1.0002097,0.3456324,0.0006989781,0.00022
28.357075,50.0,40000,0.00012152105256219837,0.5146257312865643,-0.2410150239208046,-8.180770612497518,7.747492140580489,0.9999999034377783,-10994.22177730369,-44999.78806559317,-6539.232729356637,39756485.455516525,7,2.24,4.555823504924774,0.17200000000000001,1.1003945,0.87810016,0.9998909,0.3447708,0.0001935677,0.000215
21.16245,49.5,40000,0.00010081984166882764,0.5312015600780039,-0.19594222091279698,-6.937473558008207,6.4310556512103405,0.9999998981108691,-9776.511016430926,-38979.920087143975,-5208.190177049924,14414501.658812745,8,2.48,3.7091288715600967,0.168,1.0831201,0.96030444,0.9999186,0.34442997,7.224409e-05,0.00021
27.225925,49.5,40000,5.974577138760429e-05,0.5351517575878794,-0.19160327481998435,-8.506905154647253,7.109932538868696,0.9999998962480471,-11462.28650368492,-47503.15198838067,-7108.597104434414,33575078.976913095,9,2.73,3.5690828561782837,0.16400000000000003,1.3114849,0.823213,0.9998752,0.34528592,0.00055411924,0.00020500000000000002
25.479525,51.0,40000,5.3591003892139434e-05,0.5180259012950648,-0.11899364727394954,-9.395618370037074,7.236626984748005,0.9999999086235307,-11297.623558212419,-56879.332271285675,-7715.390314799892,27678457.564881284,10,2.98,2.2347229570150375,0.16000000000000003,1.1169162,0.87317,1.0001415,0.34551227,0.0003215015,0.0002
29.70485,52.0,40000,7.440244120394885e-05,0.4951997599879994,-0.10606389629513122,-10.465836134713761,6.219821246231445,0.9999999034027474,-12506.760902048058,-60943.98823709817,-7638.347571185935,47820924.93706385,11,3.23,1.9523348733782768,0.15600000000000003,1.1567557,0.7540512,1.000017,0.34361812,0.0009495851,0.00019500000000000002
21.96395,52.5,40000,6.7472543271737e-05,0.47989899494974747,-0.08820449518141917,-9.00531073735921,5.287803148660697,0.9999998962181789,-10979.654201822043,-35811.14607435055,-8041.344879991283,16019030.872682013,12,3.47,1.594162531197071,0.15200000000000002,1.1240511,0.8191673,1.0000478,0.34331092,0.0006514355,0.00019
21.737825,53.0,40000,7.102908269436432e-05,0.46059802990149507,-0.0747772479961766,-7.7103791572668525,5.137881601215992,0.9999999001747182,-11050.214235150333,-31818.564225841787,-8275.258035484589,11665582.347751662,13,3.72,1.4124029129743576,0.148,1.0825891,0.83922213,0.9997655,0.34112668,0.0004656022,0.000185
25.397225,55.0,40000,6.705898257583108e-05,0.4342217110855543,-0.051762030947414564,-8.541153402905968,3.9957740122405343,0.9999999050557733,-12075.79725713241,-48206.08809061269,-8401.822137138628,28505946.560710873,14,3.97,0.9254107857123017,0.144,1.0878279,0.7366726,1.0000051,0.3359269,0.000403427,0.00017999999999999998
36.1108,58.0,40000,0.00020812871214307395,0.4149457472873644,-0.017076898231366214,-5.98364582340076,4.691130440994758,0.9999999261571424,-15799.99593789171,-94915.30833550694,-8350.423713159542,190604864.3881676,15,4.23,0.1312960647046566,0.13999999999999999,1.699606,0.6137445,0.9994246,0.33581033,0.001677129,0.000175
26.422075,55.5,40000,8.969996629366282e-05,0.431771588579429,-0.014962379241337148,-8.794596375244353,4.9013518451681,0.999999910525458,-12644.905216846044,-51818.46970617807,-8601.149399882,36534314.45005286,16,4.48,0.20202114386484027,0.13599999999999998,1.1517608,0.7920803,0.99980485,0.3362525,0.00027917852,0.00016999999999999999
24.245875,56.5,40000,6.352145244234515e-05,0.4369718485924296,-0.02696065867298666,-7.491869992835234,8.547723367712397,0.999999894839215,-12162.60174182184,-50018.30711389756,-8447.768306063253,31125726.088185184,17,4.73,0.4669312529731542,0.13199999999999998,1.2575219,0.652371,1.0000943,0.33500105,0.00053247064,0.00016499999999999997
