_AverageReward,_No_optimal_actions,Steps,adv2_0,adv2_1,adv2_2,adv2_last,adv1_0,adv1_1,adv1_2,adv1_last,adv_0_diff,adv_1_diff,adv_2_diff,adv_last_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.86435,48,40000,-78.26085972,-88.26260464,-88.26260464,-26.95616591,-84.44461776,-94.38155817,-78.50648948,-78.50648948,-6.183758049,-6.118953534,9.756115165,-51.55032357,0.015064603,0.510450523,-1.939397159,-7.091862739,-0.064847625,0.999999998,15,4.46,36.83446109,0.14,1.0287137,0.947808,0.9999465,0.3456917,2.95E-05,0.000175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.770075,47.5,40000,-8.426440129,-5.882866117,-18.91546538,39.84797786,-8.426422348,-4.595040891,-20.860233,-20.860233,1.78E-05,1.287825225,-1.94476762,-60.70821086,0.015374083,0.518125906,-1.555818413,-5.396534778,0.278736876,0.999999998,16,4.77,29.54733098,0.136,1.0183396,0.9762489,0.9999607,0.3452467,3.66E-06,0.00017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.5472,47,40000,-10.60262493,7.123541329,-10.60262493,-10.60262493,-10.60259697,7.123531371,-10.60259697,-10.60259697,2.80E-05,-9.96E-06,2.80E-05,2.80E-05,0.017030451,0.51960098,-1.470296293,-7.383443418,0.036046802,0.999999998,17,5.09,27.95523739,0.132,1.075215,0.9727131,0.9999585,0.34536463,1.33E-05,0.000165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.5368,47.5,40000,-28.80415187,3.951563493,-13.16562534,-107.8701933,-28.80417281,3.95154327,-18.55979262,-18.55979262,-2.09E-05,-2.02E-05,-5.394167283,89.31040065,0.01604724,0.51340067,-1.757405476,-6.204700597,-0.021271284,0.999999998,18,5.4,33.37820256,0.128,1.0143758,0.98293227,0.9999707,0.34562862,5.96E-06,0.00016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.920875,47.5,40000,5.46470447,12.81524144,5.46470447,-2.729869012,1.14623658,6.287777058,9.742357773,9.742357773,-4.318467889,-6.527464382,4.277653304,12.47222679,0.015123751,0.519275964,-1.639280094,-6.333239383,0.056328247,0.999999998,19,5.72,31.10600483,0.124,1.0139353,0.97482324,0.99998283,0.34544796,5.03E-06,0.000155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.56435,47,40000,-45.18812696,-47.16207722,-12.82836943,-0.261205131,-45.18812696,-47.16203413,-8.081852531,-8.081852531,0,4.31E-05,4.746516896,-7.820647399,0.01546319,0.520251013,-1.629796009,-6.952363427,-0.000493407,0.999999998,20,6.04,30.9861306,0.12,1.0287365,0.985724,0.9999506,0.34563,5.24E-06,0.00015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.41135,48,40000,-2.589189969,-2.589189969,-2.589189969,-28.41078995,-2.589179451,-2.589179451,-2.589179451,-2.589179451,1.05E-05,1.05E-05,1.05E-05,25.8216105,0.016572725,0.518350918,-1.589910268,-6.402535676,-0.044407927,0.999999998,21,6.35,30.20163512,0.116,1.0199077,0.96663254,0.9999156,0.34503087,1.83E-05,0.000145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.532675,47.5,40000,15.35947159,6.792696099,-1.698683361,-20.65098262,7.442796869,12.41100136,-1.698731516,-1.698731516,-7.916674723,5.618305264,-4.82E-05,18.9522511,0.017015053,0.52120106,-1.60353395,-7.307260931,-0.016276007,0.999999998,22,6.67,30.4770906,0.112,1.0134245,0.9721999,0.999974,0.34494296,1.30E-05,0.00014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.1834,47,40000,-59.09980992,-58.60941848,-58.60941848,-6.778396713,-67.46871381,-55.31921348,-55.31921348,-55.31921348,-8.368903893,3.290205004,3.290205004,-48.54081677,0.01473198,0.518675934,-1.74749396,-7.1748519,0.026502055,0.999999998,23,6.99,33.2153492,0.108,1.0244986,0.9813307,0.9999924,0.3455952,7.47E-06,0.000135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.184175,48.5,40000,-24.56774269,-24.56774269,-50.13088304,0.63306518,-24.56774269,-24.56774269,-50.13088695,-50.13088695,0,0,-3.92E-06,-50.76395213,0.012648248,0.516700835,-1.879024123,-8.357536236,-0.014906766,0.999999998,24,7.31,35.70419252,0.104,1.0258,0.94859326,0.9999541,0.34552968,1.56E-05,0.00013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.305525,46.5,40000,-34.97227339,-2.89006459,-2.89006459,-2.562062099,-33.03489436,-13.90500225,-13.90500225,-13.90500225,1.937379036,-11.01493766,-11.01493766,-11.34294015,0.017097446,0.525726286,-1.670803873,-6.582935215,0.022260637,0.999999998,25,7.62,31.74312007,0.1,1.0142828,0.9826405,0.9999572,0.3444265,7.13E-06,0.000125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
