_AverageReward,_No_optimal_actions,Steps,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
22.225125,49.5,40000,-214.0487637460475,-85.92652719330907,-331.1281194827331,-529.2363572668974,-698.3569352334061,0.05685915944918888,0.5103255162758138,-0.8187575835996108,-6.1772409284273575,0.0,0.9999999988776728,1,0.2,15.526544272899628,0.19333333333333336,1.1191869,0.84177387,0.9995325,0.34569848,0.00020956529,0.00024166666666666667
22.93215,49.0,40000,-1151.5749656266007,-1232.9834410547219,-1060.9024010559583,-1078.3925617483012,-1194.5647720643706,0.003113867229990625,0.5192759637981899,-0.4487637821385979,-5.087780281393087,4.470558665733115,0.9999999992423865,2,0.34,8.510830402374268,0.18666666666666668,1.0646214,0.9030503,0.99983066,0.34556982,4.4009896e-05,0.00023333333333333333
22.8115,48.5,40000,-1239.7133565440201,-1302.243976298793,-1160.5652350097064,-1171.3906863882949,-1264.5163317706713,0.0005024930395031247,0.5265513275663783,-0.39899777212878645,-6.730532508251478,4.886008888477545,0.9999999991411427,3,0.49,7.584770172834396,0.18000000000000002,1.1400539,0.919944,1.0001506,0.34581894,8.502585e-05,0.00022500000000000002
28.258125,49.0,40000,-1237.5829287327504,-1316.8815038741561,-1138.1382121562021,-1153.1496779853883,-1255.4350330801913,0.00031649192598091365,0.5222011100555027,-0.3486021340568683,-6.229744136921806,4.44126283276769,0.9999999993074945,4,0.71,6.625593334436417,0.17333333333333334,1.1007999,0.9214747,0.99980086,0.34562194,9.020528e-05,0.00021666666666666668
23.34795,48.5,40000,-1158.9424768273088,-1201.1425772351583,-1091.2111028325796,-1111.486999244538,-1199.6456344700132,0.0001755738133612487,0.524201210060503,-0.28110535766054756,-5.325387044595809,4.8383983107353155,0.9999999991301114,5,0.92,5.359293833374977,0.16666666666666669,1.0305651,0.9759977,0.999976,0.3459854,1.10135115e-05,0.00020833333333333335
28.02015,49.0,40000,-1114.1639836256395,-1156.1450114836227,-1052.3425675731096,-1034.7252843250626,-1105.6862848196504,0.00011556346517198575,0.5201010050502525,-0.28703283900254484,-5.73201821845922,4.572815818464151,0.999999999252322,6,1.14,5.468069434165955,0.16000000000000003,1.0555369,0.94275856,0.9998829,0.34530377,8.563408e-05,0.0002
24.8024,48.5,40000,-1032.8427128523506,-1042.8626641178205,-975.1916900812774,-956.5393579669501,-1027.6555410204621,8.594554687370616e-05,0.5275013750687534,-0.18768160129973854,-7.010032798647377,6.45356301620047,0.999999999216915,7,1.35,3.5608619153499603,0.15333333333333332,1.0356439,0.96872246,0.999968,0.34566876,7.0748856e-06,0.00019166666666666665
25.844825,47.5,40000,-918.922636298694,-945.7943537019747,-857.4798817398485,-871.3395289800627,-925.2335146090941,5.9196892175863265e-05,0.5312015600780039,-0.14758239731845293,-6.972178305754172,3.965409641555803,0.9999999992852188,8,1.57,2.777365028858185,0.1466666666666667,1.0198263,0.9710284,1.0000223,0.3453332,2.0029265e-05,0.00018333333333333336
25.1003,48.0,40000,-855.578825354479,-874.2097239706659,-797.5121198410321,-816.4078453185758,-880.6377757610493,5.674427455404302e-05,0.531801590079504,-0.1436158009081993,-5.847285291070462,4.931819521566217,0.9999999991756765,9,1.79,2.70656368881464,0.13999999999999999,1.0219086,0.983855,0.9999963,0.34529015,1.6646609e-05,0.000175
29.38225,48.5,40000,-788.1406438489796,-811.7982808833601,-721.8157180324808,-726.7960377805056,-790.2661025329368,6.837994080688185e-05,0.5341517075853792,-0.1807585662857771,-5.809633346438309,4.240646720049877,0.9999999992646761,10,2.0,3.4089088439941406,0.13333333333333336,1.1013608,0.90620416,0.9999452,0.3457301,9.8133794e-05,0.0001666666666666667
