_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,v1_[1 0],v2_[1 0],v1_[0 0],v2_[0 0],v1_[2 0],v2_[2 0],v1_[3 0],v2_[3 0],v1_[4 0],v2_[4 0],v1_[1 1],v2_[1 1],v1_[2 1],v2_[2 1],v1_[5 0],v2_[5 0],v1_[3 1],v2_[3 1],v1_[0 1],v2_[0 1],uavg_diff,navg_diff,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
29.2911,49.0,40000,0.06297804893986977,-1088.9893581204794,-1088.9893581204794,-317.26572497991486,-317.26572497991486,-2019.0123167214613,-2019.0123167214613,-2722.2905660787123,-2722.2905660787123,-3437.791766043954,-3437.791766043954,-1109.6421791133469,-1109.6421791133469,-1973.348850394853,-1973.348850394853,-3932.6380468178036,-3932.6380468178036,-2935.4647281998587,-2935.4647281998587,-444.77574029392247,-444.77574029392247,0.0,-999.2504581378674,0.49809990499524975,-1.153721668003082,-5.354221404071278,-0.0015033558486340325,0.9999999212836619,1,0.31,21.91088104248047,0.196,1.0530591,0.952724,0.999883,0.34646595,1.607277e-05,0.000245
43.005475,48.5,40000,0.004077576002380545,-1553.1384009521987,-618.1538636961499,-1191.2051719097958,-193.61805509637537,-2053.241648819376,-1073.4515197058402,-2381.7349298718923,-1418.831078896475,-2683.1401113845614,-1888.3385546173845,-1472.312667612942,-753.3734255496963,-1936.6134239285077,-1240.9917787558138,-2888.601218310226,-2322.6215139334977,-2454.3188628581647,-1770.5286195040562,-1204.2456301269667,-412.9776613102045,-812.5665994709137,-1091.1015912062207,0.5010000500025001,-0.19987817900063265,-3.3302083222054133,4.695926796537558,0.9999999812557882,2,1.64,3.630610942840576,0.192,1.2124324,0.811426,0.9999507,0.34564683,0.0004889079,0.00024
26.557725,48.5,40000,0.004201208874777901,-1304.6834244024917,-508.3030558056694,-1054.1426156352068,-158.4710362302548,-1663.0961682730797,-875.9903653706452,-1882.7635670978582,-1243.5746485107466,-2063.3570886137522,-1644.2502482688387,-1289.5591669460152,-636.6454178910168,-1572.4942311043003,-1052.974980792892,-2184.8951815941614,-1948.9407088482424,-1822.0844952426885,-1455.296723800228,-1089.3181538659965,-316.76562826447554,-608.5181278992541,-535.3451217352564,0.47872393619680986,-0.31632463774749864,-3.831121517848718,2.38022879699998,0.9999999735165938,3,1.83,5.9029189348220825,0.188,1.2054137,0.8416009,1.000017,0.34643137,0.00043090596,0.000235
24.772475,49.0,40000,0.00219540335357428,-1147.6536878428806,-487.1540727301686,-938.5138261949553,-151.43695299196156,-1424.2867657129577,-847.4268886327394,-1600.7281454673287,-1157.636636682826,-1779.890085282342,-1535.2262493348383,-1150.273801506158,-668.5597897811813,-1359.8953671723516,-1047.3241252692187,-1862.4556031264196,-1938.5422837864141,-1551.3329506640032,-1346.3270277008742,-945.8128829141399,-341.6031434627394,-423.9605945510575,-566.5079134927191,0.49222461123056155,-0.29984478173432677,-3.186677245515484,3.3160850193590763,0.9999999711263052,4,2.1,5.6047544330358505,0.18400000000000002,1.1583122,0.8569803,0.9999746,0.34567952,0.00040622696,0.00023
24.8352,49.0,40000,0.002120030464703595,-1149.2836320339397,-439.0820352286894,-991.8514607044411,-146.884223926002,-1369.5397704669156,-782.6991374456671,-1504.8484903334086,-1084.432989797914,-1654.445691563056,-1421.5569956114502,-1135.5441687383104,-583.6737821231014,-1279.5254441517202,-926.4542816107845,-1729.6811690614418,-1868.1441574633936,-1453.718870255728,-1233.1062193181463,-984.268790595024,-299.3828888466264,-446.72907765322105,-483.0056722365201,0.4793239661983099,-0.3516958042353647,-3.865941021479447,1.9861871283525616,0.9999999683514369,5,2.36,6.623875141143799,0.18000000000000002,1.2385645,0.81723416,0.99975467,0.3462641,0.0003453816,0.00022500000000000002
24.459,49.0,40000,0.0013394090678734063,-1089.2246805016362,-421.1217475908397,-964.3123845303386,-144.74504315234478,-1285.5017536858395,-749.1980737555228,-1412.8721785898972,-1050.2822142938326,-1549.7706075328024,-1382.0384509679452,-1094.6596900978702,-600.5947762712938,-1215.94488735666,-894.4801208390163,-1625.0535875557143,-1779.2366538560289,-1376.5586630835796,-1198.1032731775033,-965.7880337600922,-325.72434401367843,-403.41617687764244,-468.9206247093196,0.48617430871543577,-0.32864860843282734,-3.4499111462512952,2.7176101240099877,0.9999999666489549,6,2.63,6.134901344776154,0.17600000000000002,1.082542,0.9160113,1.000205,0.34563142,0.00026839084,0.00022
27.077275,48.5,40000,0.0014908345760049728,-1071.0379342613182,-410.95240963546166,-972.3049800372439,-142.61760641131258,-1237.79542797229,-735.0197614773105,-1354.3159737489786,-1029.372154686722,-1483.6640045808526,-1362.210220856786,-1073.1419686948468,-579.3057409028034,-1180.9800345403828,-851.2696109562964,-1542.9586202101195,-1719.86343468973,-1324.8560846960384,-1139.9451709763885,-970.7768510907997,-321.4432357823388,-391.98325334577214,-424.98937996692683,0.47967398369918496,-0.4249847056162848,-5.312954164872849,2.888391785524305,0.9999999636553966,7,2.89,7.981534391641617,0.17200000000000001,1.1197393,0.8846708,0.9999707,0.3457186,0.00029164815,0.000215
20.25365,49.0,40000,0.0010179997575517747,-1043.284720334301,-397.55214029697595,-956.4172153416773,-139.69338824944154,-1187.2772345690046,-703.0535657446629,-1297.7216166388062,-1000.7815989955387,-1424.0311913788653,-1328.7754932171217,-1044.969529028848,-558.9113110255746,-1149.2992029947554,-833.375157220062,-1481.9980369269058,-1662.4242436607183,-1284.3816908798908,-1104.311823641307,-951.6208486327536,-315.8606836180614,-377.6261881056344,-420.84872153224677,0.4753737686884344,-0.3204154920275173,-4.925554586096022,1.8443759205338388,0.999999961905929,8,3.2,6.0155335664749146,0.168,1.170317,0.88952696,1.0001765,0.34503508,0.00025516766,0.00021
26.117775,49.5,40000,0.0012067242894072353,-1035.6284154976481,-387.18855024586423,-959.8210275947571,-137.35901447445013,-1159.8029371874454,-681.2885191200019,-1263.2742162325005,-974.0183506573095,-1386.1016832251298,-1305.8320042453688,-1033.5871579560778,-579.3062453325042,-1130.9258496802104,-825.0327863362617,-1439.0242825698115,-1604.8146383318133,-1251.4856669736316,-1075.4963521455054,-944.8659360671746,-328.692607504182,-370.5488104591126,-408.4408555242825,0.4667983399169959,-0.43255666498356354,-5.811728228971303,2.8600111774827033,0.9999999624944753,9,3.48,8.134838283061981,0.16400000000000003,1.0818108,0.9342534,0.999905,0.3458576,0.00020415177,0.00020500000000000002
27.343625,49.5,40000,0.0011731422409072781,-1024.199695266332,-379.70438493440076,-954.5624239431233,-136.01072092509247,-1138.0799941916155,-672.6267419370434,-1235.0403265372634,-958.3437581478105,-1362.421848709708,-1262.9362746747172,-1022.5481567725893,-564.1268981940993,-1115.7340016277149,-802.3581138592557,-1417.070087989652,-1547.3525393892928,-1226.1146099185687,-1038.745126450229,-939.7995073939081,-321.8426783016068,-375.15234155369274,-405.2683216081053,0.4771238561928096,-0.4358342620015126,-5.001076167167488,2.157771382870493,0.9999999635991701,10,3.75,8.188259541988373,0.16000000000000003,1.1442333,0.8837455,0.9999494,0.34484854,0.0003345292,0.0002
