_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
33.883975,50.5,40000,1.6370676220894632e-05,-54.897024549539495,-74.92819291071723,-49.839435245805184,-68.05283617775574,-76.92982827162774,0.4958229114557279,0.005744074909612407,-6.269006722865064,22.171851860544475,0.9999999987855779,16,4.3,-0.12735556345432997,0.13599999999999998,1.0419738,0.9662728,1.0,0.346408,2.0250009e-05,0.00016999999999999999
21.843025,50.0,40000,1.0950511713489995e-05,-49.50760740341213,-68.24769048757233,-46.11539205671868,-63.40739203790925,-72.24142756371181,0.5001750875437719,0.03464256809527992,-7.472781349785008,13.470365909966727,0.9999999982213825,17,4.58,-0.6545811793766916,0.13199999999999998,1.0078481,0.99484557,1.0000046,0.34646642,6.254425e-07,0.00016499999999999997
24.217125,51.0,40000,2.8562611064528525e-05,-47.35543850347842,-63.369635540187765,-41.43369718383684,-59.704761318879754,-69.30540501932433,0.4970485242621311,0.004949634604562422,-9.007622043608864,6.719639815382041,0.9999999983157667,18,4.86,-0.05210642237216234,0.128,1.0168941,0.98556954,0.99999803,0.3463277,2.787689e-06,0.00016
21.66695,49.5,40000,1.3635979798684626e-05,-45.30839835889386,-60.07442672246528,-37.55303216534172,-53.88793650145706,-66.6546510392907,0.5043521760880441,0.015192633659400896,-6.9282095561656245,6.2910886686380865,0.9999999981334519,19,5.14,-0.2782624694518745,0.124,1.0110431,0.9879112,0.9999736,0.3465051,1.384841e-05,0.000155
20.65305,49.5,40000,1.1379560693285953e-05,-43.15163365926437,-56.94376462722575,-35.102837549532445,-52.207799681695036,-65.11143136691014,0.4959229614807404,0.021585292994296297,-7.525309167813446,7.222902272104314,0.9999999981007418,20,5.42,-0.40600098157301545,0.12,1.0178392,0.98744774,0.9999864,0.3464142,1.4455214e-06,0.00015
26.914175,49.5,40000,1.460970751526995e-05,-39.91663846768473,-52.9468140199124,-31.030312725573005,-48.10765897899268,-62.490814228087125,0.501375687843922,-0.006475185253290054,-7.89565487129992,6.730297400424774,0.9999999984362827,21,5.7,0.14670608937740326,0.11600000000000002,1.0660756,0.95838517,1.0000321,0.3464195,1.0120675e-05,0.00014500000000000003
20.64105,49.5,40000,8.727418531068624e-06,-38.24148182684116,-50.69028920611493,-28.929283660344087,-46.48014457109784,-61.53377646581605,0.5012756378189095,0.02129739892959792,-7.679238119583986,6.586811817251416,0.999999998130111,22,5.98,-0.40269622998312116,0.11200000000000002,1.0132276,0.98911756,0.999989,0.34652913,3.2902926e-06,0.00014000000000000001
23.088575,50.0,40000,8.740280119227968e-06,-37.01885514077609,-48.80080763748818,-29.064482792891667,-46.93438162681077,-59.02812785123542,0.5015007503751876,0.01798792018143073,-7.1870937313989804,5.679189036104664,0.9999999982657289,23,6.26,-0.34141661156900227,0.10800000000000001,1.0116947,0.98388803,1.0000031,0.34648305,7.552104e-07,0.000135
41.622825,50.5,40000,1.3510076994838517e-05,-36.08469204731784,-47.20043551744649,-27.066399330362522,-43.88652392676878,-56.57956518397888,0.4983991995997999,-0.035627105621682253,-6.482449296559027,6.598817834993516,0.9999999986593265,24,6.54,0.6612217640504241,0.10400000000000001,1.0211389,0.9842215,0.99999386,0.34633195,4.97697e-06,0.00013000000000000002
21.482775,49.5,40000,8.50189622668012e-06,-35.59573574222274,-46.16467624209526,-25.56502031470443,-41.76454304345199,-54.98673174875936,0.5029264632316158,0.012362449087634732,-6.472879871943853,5.912868644227012,0.999999998154325,25,6.82,-0.2382193086668849,0.1,1.0116988,0.98970246,0.9999818,0.34650093,3.012277e-06,0.000125
