_AverageReward,_No_optimal_actions,Steps,adv2_1114,adv2_full_1114,adv%1114,state11114,state21114,adv2_13241,adv2_full_13241,adv%13241,state113241,state213241,adv2_13999,adv2_full_13999,adv%13999,state113999,state213999,adv2_19616,adv2_full_19616,adv%19616,state119616,state219616,adv2_19703,adv2_full_19703,adv%19703,state119703,state219703,val_NN1114,val_NN13241,val_NN13999,val_NN19616,val_NN19703,adv1_1114,adv1_13241,adv1_13999,adv1_19616,adv1_19703,val1_1114,val1_13241,val1_13999,val1_19616,val1_19703,val2_1114,val2_13241,val2_13999,val2_19616,val2_19703,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
29.011225,49.5,40000,-58.0,-4771.063865413466,9.724918931063739,18,4,-9.0,-1382.3938332244093,0.02226195727697423,0,9,-4.0,-16.9964274046617,0.017336815386552983,1,1,-4.0,-32.00890828488238,0.001882378043142916,1,1,-8.0,-57.422857255478405,0.002578809289449214,1,5,0,0,0,0,0,-58.013583561440555,-8.974443846709674,-3.9936849047776786,-3.9936849047776786,-7.994667763712389,-26456.82647818079,-3919.100358087032,-17.827099643403862,-32.832427400431875,-59.559993774231806,-4771.063865413466,-1382.3938332244093,-16.9964274046617,-32.00890828488238,-57.422857255478405,0.04433354200414642,0.5094504725236262,-0.9683088106707822,-6.137991800511024,0.003422052527072252,0.9999999332838152,1,0.18,18.382325410842896,0.18666666666666668,1.0338118,0.96389145,0.9997349,0.3464912,5.8199133e-05,0.00023333333333333333
23.5176,49.0,40000,18.72729652876933,1820.414284119764,0.010287381664786625,10,0,40.18518958854111,1511.0637265420748,0.02659397408771176,20,3,-40.22189418230482,-931.5385127109481,0.0431779187156221,11,0,-292.24893740789685,-1098.2067577144705,0.26611467772799885,11,1,-84.5731370976373,-4903.116339297891,0.01724885384011669,14,1,-5716.7686,-18764.824,-6345.783,-6600.975,-9972.052,18.727465449557712,-78.90268418501728,-40.22189418230482,-289.41821463777524,-130.2043084871275,-2537.3075128056653,-16712.767916723424,-15980.402164287105,-16927.164026924936,-24493.37575458098,-1396.2320624730355,-4699.539248974152,-1925.1890180188384,-2735.74249753351,-2112.115900311003,0.03221021190805759,0.491999599979999,-0.12348847311220848,-3.2148574737734226,5.875012200071933,0.9999999823856243,2,0.32,2.255363129079342,0.17333333333333334,1.1600415,0.8541723,0.9998711,0.3464555,0.00032357135,0.00021666666666666668
22.806175,49.5,40000,-57.26211968689313,-580.9404415188383,0.09856796944138425,2,1,28.59103856621732,-202.14682387192784,-0.14143699128476767,17,2,68.22436873419429,844.3752697120789,0.08079863442407298,2,0,117.4396713083479,1487.6950745589807,0.0789406870511837,21,1,9.152014517372663,1607.889424020769,0.0056919427297971005,14,2,-10056.859,-18610.52,-10445.57,-22204.732,-15982.885,-7.090056931412619,-89.92706322696904,68.22498691454712,231.88121811026576,109.70522293734575,-8700.149013945986,-23204.966848396158,-10608.755824029093,-21275.20861717692,-16655.70141220407,-901.5923153540476,-2446.7784439799075,-29.04750375789788,-4749.924345104505,-3662.7094081709515,0.010465270028176191,0.5083754187709385,0.01772789567423925,-3.448729765587388,4.034756673084539,0.999999979304007,3,0.45,-0.4405174464918673,0.16000000000000003,1.119606,0.8993786,1.0000201,0.34653956,0.0002277956,0.0002
19.729475,49.5,40000,-36.16584481096652,-2622.3158607141286,0.013791566970547006,5,7,-119.02116773378293,-359.0602099999773,0.3314796917591912,4,1,-124.99315495210612,118.12994338565409,-1.058098830573769,3,2,13.7562965784673,217.29067155056822,0.06330827034728877,2,0,19.118328977752753,471.25206978583515,0.04056922017645727,3,3,-10797.629,-9324.754,-9169.595,-9133.133,-9704.967,-126.94945028497023,-139.9976117497681,-103.99273450100918,13.756024978676578,63.354090924513,-17432.689645793515,-7590.868379074514,-8992.190504697295,-8676.334563216064,-9159.536287925726,-1524.1423423168799,-986.9905475288746,-1393.883964364288,-20.7492811224,-1070.7430004535104,0.0059977832397080846,0.492049602480124,-0.013567240885867863,-3.4526376946884376,5.237394428251592,0.9999999741327437,4,0.65,0.2265751117374748,0.1466666666666667,1.0286173,0.97190756,0.99992263,0.34655428,5.5948003e-05,0.00018333333333333336
21.090475,49.5,40000,11.262223358857227,600.535088760177,0.01875364748812335,3,0,-70.9432453819154,-676.972128813208,0.1047949278300204,11,3,38.640645282443074,-317.6822339500983,-0.12163300667456516,6,2,17.430806170517826,-101.08615798333972,-0.1724351436265947,1,0,58.991159610346585,557.3581686284797,0.10584066571682121,8,4,-10393.656,-12851.259,-11034.798,-10239.795,-12526.33,11.262532510081655,-41.67956814128411,46.66995529137057,17.430806170517826,199.37468368098598,-9726.887082025012,-14552.524074379526,-11168.565083604964,-10708.64728865434,-12269.735555324376,-150.2585332280006,-2001.8435774340464,-779.5631943962446,-3.0,-370.22403266279633,0.002891983858077915,0.5021001050052503,0.01600343112378049,-4.235892379281048,4.719958499748455,0.999999967234962,5,0.84,-0.3937613544985652,0.13333333333333336,1.1510472,0.8541453,0.99990344,0.34628737,0.00026797105,0.0001666666666666667
28.0588,48.5,40000,42.93548330878002,211.40847891690797,0.20309253218578519,1,1,-44.8114036806619,-2400.6774127590297,0.018666149580322595,25,3,-43.04826732991933,-15.368698767786775,2.8010352717791376,10,0,-17.486074923508568,-264.2590765035726,0.06617019613807727,32,3,-5.41895854399263,672.5803624650235,-0.008056968128138643,21,0,-9351.726,-22323.146,-11771.27,-29439.594,-18652.793,42.93548330878002,77.5437273573225,-43.048618529968735,111.25518672456383,-5.417296002637158,-8314.976273687236,-26337.92167658697,-11009.720455645936,-29454.317639176814,-17463.68463408132,-323.82785684938113,-5760.986227893596,-538.171104270011,-5352.323513196525,-3226.2344213409256,0.0026326387925249997,0.5133006650332517,-0.0123447608500555,-6.2873346528618965,4.00845113111023,0.9999999652272834,6,1.04,0.19142186921089888,0.12,1.041235,0.95897776,1.0000063,0.34639716,3.7643335e-05,0.00015
27.373425,50.0,40000,-1.0323323617267306,279.8050724155891,-0.0036894697898593744,3,1,19.651087227390235,-556.5239859279711,-0.03531040480604479,9,0,13.107006203474157,403.52403322275194,0.03248135209889438,1,1,2.7449894335604768,-1208.3632245791152,-0.0022716591979341175,1,0,13.107006203474157,-1288.8851634278628,-0.010169258344642074,1,1,-9446.739,-11640.645,-9114.537,-9062.661,-9114.537,-10.693427472666372,19.651432755310452,13.107006203474157,2.7455292677968828,13.107006203474157,-8977.640956943713,-14740.952902854857,-7070.891841582803,-12587.075516023891,-11944.486497381733,-384.99627247231706,-1059.922825824116,-41.41556038280548,-3.0,-4.0,0.0035333203048230556,0.5083254162708135,-0.011478158878570005,-5.682079736408643,3.825026203151238,0.9999999649749518,7,1.25,0.19246619124896824,0.10666666666666667,1.0479946,0.93875253,0.99996847,0.34640655,5.885337e-05,0.00013333333333333334
18.99245,50.5,40000,53.07688839209732,-281.8370451833687,-0.18832474048102676,8,2,53.60311365119742,32.85576716293481,1.631467418957974,3,1,76.36192512869093,648.4236809589979,0.11776547860768144,5,3,2.621461632046703,992.63714174929,0.002640906250421974,9,0,9.035051264170761,295.47171706058066,0.030578396315063556,15,6,-11626.433,-9788.471,-10540.829,-11775.802,-17456.957,83.35659262561967,33.13253415787949,66.17647615055103,2.6218116954878496,-29.82487134576877,-11020.72024239843,-9886.923275234538,-9827.315289457103,-9577.630036390825,-16896.66212581079,-3955.246465751638,-526.7969493374783,-423.48692611539894,-3495.370184185099,-3025.8010707954495,0.002424761473751049,0.5030751537576879,0.006705880775322535,-5.413509798024801,6.894495731397086,0.9999999644072894,8,1.44,-0.16135824657976627,0.09333333333333334,1.0686859,0.9331511,1.0000426,0.3465061,4.8809776e-05,0.00011666666666666667
19.6969,50.0,40000,5.764260578567701,274.9668860262718,0.020963471863360856,1,0,18.461944035170745,502.82673942960037,0.03671631317004684,2,0,21.347954453638522,466.3065360040776,0.04578094623458558,5,0,-36.947727270084215,9.653648544965698,-3.827332961002829,0,0,-9.24300603357915,134.0163213423941,-0.06896925643828473,6,2,-9391.492,-9542.56,-10091.641,-9240.425,-10550.909,5.764819832698777,18.4622276965747,21.348553795751286,-36.947727270084215,-23.305950580604986,-8372.763872953567,-7110.101306627115,-8617.364752079517,-9048.000372944094,-10364.750756408244,0.0,-206.18309031333294,-177.32726566701692,0.0,-210.19054965040573,0.001834807076135027,0.49829991499574977,0.0051099488056774835,-5.815624493425249,9.188911558209305,0.999999960211799,9,1.64,-0.1462580831721425,0.08000000000000002,1.0401912,0.96334994,1.00001,0.34652248,1.3478497e-05,0.0001
26.702875,49.0,40000,18.591754000166475,-521.0215120150655,-0.035683275203479296,1,0,-64.25608412791553,-1722.5112699633391,0.03730372349278337,29,1,-44.86742091806809,267.4358442592867,-0.1677689131101209,1,1,-63.1404503564645,280.40934142937436,-0.22517242127030723,6,1,-8.95806773858385,1115.081402327448,-0.008033554967275187,0,0,-9384.234,-24729.61,-9311.637,-10059.533,-9297.567,18.592033028651713,-67.04595794238776,-44.86686346541501,-60.615982828976485,-8.958622450760231,-10691.408316974394,-28376.099942335255,-8497.940556427768,-7412.551778464764,-5988.944012220978,0.0,-6823.7653415461455,-591.0542892574827,-115.51603407594692,-20.187178239005558,0.002982209548010474,0.49629981499074954,-0.04526053713301131,-5.202333697159899,6.325700420702498,0.9999999615009134,10,1.84,0.8650394361466169,0.06666666666666668,1.0315139,0.97447854,1.0000446,0.34652597,7.1668765e-06,8.333333333333334e-05
