_AverageReward,_No_optimal_actions,Steps,adv2_2196,state1_2196,state2_2196,adv2_3764,state1_3764,state2_3764,adv2_14554,state1_14554,state2_14554,adv2_15049,state1_15049,state2_15049,adv2_17503,state1_17503,state2_17503,val_NN2196,val_NN3764,val_NN14554,val_NN15049,val_NN17503,adv1_2196,adv1_3764,adv1_14554,adv1_15049,adv1_17503,diff_2196,diff_3764,diff_14554,diff_15049,diff_17503,val1_2196,val1_3764,val1_14554,val1_15049,val1_17503,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
25.447825,48.0,40000,-32.0,10,2,-51.0,17,0,-39.0,12,3,-2.0,0,2,-60.0,20,0,0,0,0,0,0,-32.0156607962199,-51.0083000669645,-39.00745827831051,-2.035657270052889,-60.00677553439081,1060.4905375892642,5021.409891559619,4102.926111853968,1.928546250347111,3475.2723591933973,-1425.0033215311257,-48448.960460327384,-11524.40406259824,-3.994004,-10827.760989895913,0.03677987075566834,0.5181509075453773,-0.8437699094216625,-7.725343685836181,-0.0,0.9999999336880381,1,0.36,16.019206166267395,0.19333333333333336,1.0430231,0.9702264,0.99993026,0.34503955,6.275496e-06,0.00024166666666666667
20.651175,48.5,40000,56.70384405635377,6,1,275.0959709216004,16,2,-172.39883081858713,0,0,-51.53208186404697,1,0,-28.98754873989128,17,1,-3060.2808,-15209.623,-73.924805,-433.33936,-14489.167,92.3254053340188,53.915767602358756,-172.39883815960377,-51.53208186404697,-64.88958609258589,-612.9133071139535,-615.3031522399683,2.2972063265633267,3290.718996530519,-427.18067846200773,-3257.6200392907876,-21396.698359065464,-9344.254480602955,-10235.64063334546,-17368.4442070988,0.01941800617842807,0.5158757937896895,-0.14047861460484137,-3.131981148279453,3.6476669496373555,0.9999999834029817,2,0.61,2.668068565428257,0.18666666666666668,1.1612189,0.9284537,0.9999677,0.34633166,9.091727e-05,0.00023333333333333333
26.3637,49.0,40000,-68.82216217329005,10,5,-67.14076333100456,11,6,31.084123974542308,1,0,81.75537944547068,6,3,10.24074410445246,0,0,-14797.222,-15369.822,-10033.025,-11820.865,-9942.891,-138.67984815543605,-128.07885137833364,31.083825982863345,65.94347999379715,10.240152072346973,-352.80554755169754,331.6428323582475,-417.7977430060339,-97.6610223325585,-647.1164550857794,-16603.258241952004,-13507.00984045314,-9690.424482191613,-13911.119968053881,-12964.67025344658,0.019410068611170842,0.5106505325266263,0.009035755768166636,-4.037649095245593,5.022753647233399,0.9999999770391175,3,1.06,-0.1462896424345672,0.18000000000000002,1.0192225,0.97506064,1.0000085,0.34600383,7.0744804e-06,0.00022500000000000002
29.79765,48.5,40000,213.2492360674496,5,3,173.62552169951232,13,1,-8.467020825684813,3,1,36.210470045953116,2,2,-51.451528798086656,2,1,-12461.486,-15540.87,-10397.477,-10602.127,-10147.627,72.6776616198822,201.4249657839664,-4.867479024502245,-8.202078498177798,-64.8898690485421,33.57724251331149,1402.0048124215575,-152.38818624910058,-132.14983215386727,224.3193881943185,-15380.048506836498,-16113.142818127215,-11335.138189102085,-11718.03532044795,-8546.309641123846,0.00746096047209837,0.5172008600430021,0.03797653289790939,-4.729457651277913,3.6591667615330095,0.9999999744267415,4,1.66,-0.7289115563035011,0.17333333333333334,1.0436931,0.9029516,1.0000526,0.34528357,5.0890092e-05,0.00021666666666666668
30.145975,48.5,40000,132.65251473351236,34,6,107.34226828086685,34,0,65.57987054443947,35,0,-5.486458842584398,41,11,54.793912682524024,10,2,-36137.47,-33491.242,-34666.207,-45625.734,-12560.613,138.50154590571037,107.34226828086685,65.58192664392118,-115.46098798076127,60.14736721657937,-397.39561682054637,-3197.1054591508637,905.9080466367193,-1343.4244226290662,-520.1284378980738,-34233.03346784518,-26611.03876154181,-36129.34817440751,-39033.9567513042,-11248.81871063805,0.0034305162658119816,0.5188759437971898,0.002456614576055955,-5.183655065679091,3.648332289821379,0.9999999671610212,5,2.19,-0.05800526007078588,0.16666666666666669,1.1191136,0.9071598,1.0000561,0.3461939,0.00015779429,0.00020833333333333335
21.8583,49.0,40000,41.40621302411273,4,3,-69.26486434239996,13,0,2.155694137691171,6,1,30.120869402835524,1,0,31.5233051003288,1,5,-10249.485,-12825.033,-10189.863,-9080.487,-9519.122,74.96848366256927,-69.26409810697078,1.5113713796927186,30.121139035360102,31.523587614377902,371.4985064229618,-101.5189165744973,-192.6900074173319,718.6793790763719,132.48462026763485,-10803.597070388567,-15267.483596335729,-10310.766109789687,-10350.966045504623,-11129.725157637908,0.0018064669175344998,0.5045502275113756,-0.02282955964519922,-4.998259870639858,4.334162259949717,0.9999999562752718,6,2.78,0.42576991207897663,0.16000000000000003,1.0354916,0.94675285,0.9999893,0.34629422,1.854071e-05,0.0002
26.3282,49.0,40000,24.014244604097257,4,10,6.075536220214417,6,1,6.463735726976665,1,0,27.40527920479326,11,0,8.064938794779664,11,1,-12350.053,-10700.109,-9495.766,-13070.951,-13136.581,53.849235460609634,29.105311273844563,6.464018440796281,27.40527920479326,43.73096274038471,-509.89390061807205,-52.24255574396793,-758.522992423758,-404.7904420493121,-330.8393571666369,-10103.952547753608,-10875.46088887565,-6600.860558015409,-9785.992484502476,-13918.728254100874,0.0019876216973199836,0.5111255562778139,0.004083190965453464,-4.051901034644594,4.76252197828559,0.9999999603637864,7,3.38,-0.10695236560422927,0.15333333333333332,1.0882919,0.9553778,1.0001379,0.3460206,3.048665e-05,0.00019166666666666665
24.01875,49.0,40000,65.94019036574173,8,2,-155.58930655571203,13,2,25.407891940745685,4,5,-39.250885248002305,6,2,13.460526294305964,3,0,-11513.133,-13860.332,-10317.714,-10575.705,-9908.564,103.49004719002187,-100.13965282839672,59.99653891710659,-40.6682026694325,13.460820923153733,163.85735455414604,1701.8111082234357,-39.45297855663222,-96.4384667081195,-431.58840774694346,-10996.44718022537,-17735.151374181834,-10415.367221777788,-9226.813756092131,-8211.242635166082,0.0021253954972856666,0.5038001900095005,-0.0007305219448232779,-5.015060296869457,4.067257206675297,0.9999999600938277,8,3.99,-0.011815339559689164,0.1466666666666667,1.0080246,0.9911906,1.0000182,0.3462244,1.3836251e-06,0.00018333333333333336
27.35125,49.0,40000,-21.570348257770092,11,0,-12.970520361708623,9,5,-14.578639345530974,28,0,12.6833989097031,23,2,-56.827293876085605,6,3,-12594.494,-12662.383,-26780.402,-22705.723,-10687.871,-21.5710982669043,4.150117129342107,-14.578639345530974,26.021422853984404,-33.12040185910337,982.145864298771,141.53811040691033,-623.5118336420643,-2075.1960619901656,-466.90924480817426,-15504.691640962712,-12692.474589915777,-23960.48930301766,-19501.11220376195,-8905.05051879007,0.0017771219909404415,0.5103755187759388,0.013952855723429717,-4.23036152182997,4.544754113173122,0.9999999562754225,9,4.58,-0.2708937884308398,0.13999999999999999,1.0223972,0.9715966,0.999991,0.34592608,3.46328e-06,0.000175
28.624575,49.5,40000,-36.808707981183034,13,0,45.06396579850298,1,1,44.66898801112984,19,4,-4.211747393595942,15,0,20.56814819657302,10,2,-13463.092,-9660.289,-19389.629,-14629.426,-12501.371,-36.80830681509906,45.06396579850298,-19.64838287065868,-4.21218216888883,51.17916127578246,-526.7967686961587,-85.19944939333641,1141.607969453163,847.4855340706589,-565.9939051979212,-11314.110510375656,-10046.048593718455,-23554.446898254504,-15361.85370442294,-12237.095902617662,0.0017454086056314332,0.5010000500025001,-0.02826614925511406,-4.063505732746255,4.045805316808403,0.9999999570424778,10,4.87,0.5439781253226101,0.13333333333333336,1.0269839,0.95887816,0.9998691,0.34612367,3.5518646e-05,0.0001666666666666667
21.98915,50.0,40000,-19.801442205889543,2,0,-15.940836976003993,6,1,-32.255197321215746,0,0,-13.387013571253192,9,5,14.699703800586576,15,2,-9866.848,-11140.074,-9590.239,-13345.277,-16269.454,-19.801147739608496,-29.825784264499816,-32.25548409390467,18.07549164469674,-40.47944021401963,272.29325087887935,3.641943728936795,622.2325182535669,257.14205544426443,-1150.3421898282907,-10208.602669034917,-9896.075902102642,-10404.782804993116,-14105.750132116702,-16260.94878046388,0.001458288651851097,0.5025751287564378,0.015737409174435505,-4.254628028793949,6.088815191010808,0.9999999486797002,11,5.18,-0.3008847680175677,0.12666666666666668,1.00752,0.99521536,1.000001,0.34628955,9.578138e-07,0.00015833333333333332
26.08125,49.0,40000,25.710630112791478,10,1,25.710630112791478,10,1,-15.898515494143794,0,0,-134.47392426596707,13,3,-39.8768604873876,0,1,-12642.905,-12642.905,-9663.197,-14642.385,-9661.465,21.691676231970632,21.691676231970632,-15.898515494143794,-178.43509758355322,-39.87743867284371,-548.1451674607395,496.1896280417964,238.97170703389452,488.753770408593,382.18959801962745,-11143.218965560825,-13256.174821792138,-13386.449731034949,-17732.64478242113,-9994.580527400405,0.0017229589697605402,0.5155757787889395,0.04312320033536899,-5.671818173787752,3.463441443646283,0.9999999522005504,12,5.49,-0.8560670707374811,0.12,1.0073287,0.99323887,0.9999784,0.34611616,2.8031548e-06,0.00015
25.5685,49.5,40000,22.733530786135816,3,2,-0.1296755970834056,0,0,16.94768078279958,2,0,16.94768078279958,2,0,14.634256250839826,1,0,-9412.332,-8927.893,-9129.039,-9129.039,-9028.465,18.606946538655393,-0.1296755970834056,16.94768078279958,16.94768078279958,14.634524794510071,334.57562119249593,432.0884846049779,-123.74483720812259,-163.94543605166822,280.8022736375458,-10006.224413857679,-10008.976116011385,-9277.811727160255,-8661.304854606224,-9289.076269968651,0.0013287877271747164,0.5130006500325016,-0.04256135061397287,-6.414781834459717,4.159240579762925,0.9999999438682347,13,5.79,0.8215950159355998,0.11333333333333334,1.015117,0.9869237,0.9999552,0.34621873,3.944516e-06,0.00014166666666666668
35.1213,48.0,40000,67.61494357926495,22,1,-37.25927431654054,18,2,9.520556625067911,3,0,-66.4024566757289,21,0,-30.096250358699763,46,1,-21448.613,-17857.566,-9821.729,-19651.922,-47252.547,18.47977231311961,-31.655874185791617,9.520264466695153,-66.40128512717274,-53.98097518609575,-427.71393164813685,676.8597729954943,-138.61965821009264,479.8735869384494,-828.3424704209087,-17425.671868087844,-19297.370449447266,-9356.461784109582,-20206.106708236395,-45986.22637512581,0.002616422359860364,0.5117505875293765,0.016775846054961366,-6.542334695728675,3.648986802269812,0.9999999518319169,14,6.11,-0.32398515520617366,0.10666666666666667,1.0239197,0.9457961,0.9999703,0.3451112,1.4720541e-05,0.00013333333333333334
26.46415,49.0,40000,32.678961094025,2,0,0.4846575010633387,1,0,-16.982622887600883,20,1,-25.342947964592895,19,0,27.18735154458227,4,0,-9752.27,-9576.642,-19004.39,-17809.188,-10103.528,32.679250581575616,0.4843721987454046,16.527793579403806,-25.342418152915343,27.18825136670239,-151.10367546213035,551.5011578588119,150.64829654998533,-42.82155838469606,-415.4412443466603,-9840.903456193186,-12762.985531002189,-20751.007624324553,-19017.42781519996,-8485.587834776079,0.0020511871509222685,0.508500425021251,0.004455065813594208,-4.8940982241114765,4.9016890788944885,0.9999999519317225,15,6.43,-0.09091253485530615,0.1,1.0510261,0.96729475,0.9999558,0.34624973,2.5335745e-05,0.000125
20.618475,49.5,40000,12.013636460465932,9,1,-2.674813841136711,3,1,-29.914110882249588,1,2,-105.27212397939365,7,1,32.56813633710226,15,2,-11775.131,-9811.241,-9519.512,-10632.256,-16066.707,31.408292988135145,4.160270878568554,-29.914110882249588,-118.63192874728338,39.40780434824774,-542.5965610486171,151.87431379646958,-311.5674465166361,288.91554693592263,901.040418180035,-12018.468977666713,-9832.656844436951,-9892.686532955473,-11862.46450578658,-19491.761920146644,0.001646939959601324,0.5036001800090004,0.0024115311886906948,-4.856044835819107,4.860472753520815,0.9999999478945356,16,6.74,-0.03860437497496605,0.09333333333333334,1.0067854,0.99255234,1.0000238,0.34647632,2.4577766e-06,0.00011666666666666667
26.22315,49.5,40000,19.358714779127695,2,1,-71.82231407612744,8,4,23.51220955664212,2,2,14.750143360541188,3,1,5.221816947567277,4,0,-9779.918,-11740.668,-9800.8955,-9950.906,-10072.744,11.358914043114055,-49.437123575140504,15.073695438508366,20.705887048308796,5.221217591695677,339.4609442202172,490.66035863671937,77.55907810617393,57.35507796383774,-372.17126485998637,-9277.597568917827,-12194.539542088789,-10482.728408942476,-11142.85582718152,-9720.99357155387,0.001474050135705335,0.5012000600030001,-0.022511951817269286,-5.060896100216033,3.707564581223805,0.9999999474483027,17,7.05,0.45527789695188403,0.08666666666666667,1.014581,0.9796457,0.99992704,0.34615132,1.1066742e-05,0.00010833333333333334
26.464075,49.5,40000,-28.63939570997354,11,2,15.766724992210584,5,9,-88.79346202654233,7,2,5.4582854777672765,2,0,82.59015843762609,8,3,-13513.896,-12124.135,-11239.127,-9813.67,-12284.283,-3.8703663781398063,31.900201128257322,-78.64798619727299,5.458577606428662,40.215030086850675,179.1878056699224,-1183.11549007167,-289.3366483242266,421.3769511859038,-1207.4202381760279,-11731.433710864861,-8790.190126058362,-11314.128488812112,-9828.18533020634,-11440.58126004453,0.0016203618879466833,0.5073003650182509,0.005759667558047217,-4.892116574866894,6.427385343424037,0.9999999515513023,18,7.36,-0.11774077825248241,0.08000000000000002,1.011468,0.9934323,1.0000131,0.34611458,3.787175e-06,0.0001
24.459,49.5,40000,27.62436379279461,23,3,17.707342271574817,5,1,19.473330667518894,11,1,-49.55427128781412,1,0,48.153978607622776,0,3,-22659.86,-10373.222,-12794.178,-9325.943,-9702.181,-5.595997993561468,24.500389655708204,-10.587204821262276,-49.55371264345558,48.15369098460724,-946.6104640845738,204.03542355399733,52.997874083177834,261.24632493051314,-1394.6951290409665,-20757.8058381153,-12234.63118049222,-12887.702015224919,-9862.387774011186,-7595.019265871768,0.0017924049626010885,0.5032751637581879,-0.011819958652279269,-4.575086421194738,4.56956648062618,0.9999999521898306,19,7.66,0.25249251746572554,0.07333333333333335,1.0374128,0.93969965,0.999907,0.34604573,3.9588827e-05,9.166666666666668e-05
26.84965,49.5,40000,-1.5263749154182733,4,0,1.955452383035663,2,10,25.149263211462312,1,0,-8.63657298290127,11,0,16.46009495243743,2,0,-10092.5205,-10832.551,-9803.382,-13172.264,-9852.227,-1.5266753838386649,0.4549172320894286,25.149263211462312,-8.63657298290127,16.459802002558718,496.7777490766226,1854.7400396302896,399.9046005145522,-202.69311190883633,-212.57849611340944,-11302.318369258013,-12126.800244356431,-10861.249661307631,-11267.935984094664,-9122.311339750388,0.002017188973779234,0.5073753687684385,0.009388624712428453,-4.3656931121881035,3.6743116007866203,0.9999999516747969,20,7.98,-0.14723444962874055,0.06666666666666668,1.0087789,0.9789717,0.99997306,0.34580347,3.1654151e-06,8.333333333333334e-05
26.1382,48.5,40000,45.291392550974706,3,1,-43.6283296435613,3,0,5.089415962786006,5,0,-36.96227873629141,14,1,20.575704724333264,1,0,-9788.12,-9547.18,-10037.8125,-15067.726,-9443.821,28.49570808777935,-43.628044083438,5.089714514189836,-29.93578003838411,20.575704724333264,32.11402014794693,450.9906103899975,-311.68334153106014,-496.70534284616144,426.782446056629,-12237.457837192596,-10845.031251381924,-9722.1532183333,-12892.866078384695,-12802.327720725061,0.002119122452435892,0.5127756387819391,-0.004606040534172042,-3.860214402984345,2.9820181021675984,0.9999999577020088,21,8.28,0.07343993056565523,0.06000000000000001,1.0292089,0.98553044,1.0000027,0.34606883,3.1813604e-06,7.500000000000001e-05
34.685925,47.5,40000,58.359948244436964,15,1,-46.596233696254785,20,1,-14.559083814749101,9,0,2.168242669014944,3,0,2.168242669014944,3,0,-14769.799,-18100.916,-11409.364,-10007.384,-10007.384,125.80749016652408,-27.323905649034714,-14.559083814749101,2.168540579443288,2.168540579443288,728.9631706872856,2759.039769690989,-89.53818461871242,-436.5563924866848,-391.78273200427105,-16435.68509135285,-23352.0664418624,-9453.584103991023,-7547.418105481893,-9411.746206101607,0.002638027786772816,0.5184509225461273,0.015427226144079549,-6.605968424830808,4.16558407741665,0.9999999523760696,22,8.6,-0.28487274469807744,0.053333333333333344,1.0231845,0.9692406,1.0000144,0.34493756,1.773671e-05,6.666666666666668e-05
28.178275,48.0,40000,-159.19565120407788,42,8,15.79495297804533,13,2,15.650876434003294,21,7,11.059518404186747,15,2,-46.80710872447162,6,0,-44132.953,-14137.455,-21962.691,-15700.272,-10038.819,-139.81304482009728,39.81805319963496,-23.096065834368346,78.24800570913612,-46.80680868583295,1062.0481332622371,-1396.4673538838927,-295.7786280265425,559.4263396966821,-149.54454149011153,-49144.367731494196,-12916.327692846628,-22016.385040190737,-16329.210487737997,-10288.436049098638,0.0021086277382468713,0.5171758587929397,-0.027136289184344305,-6.071948634058488,4.531007428803111,0.9999999505652704,23,8.92,0.4939370807260275,0.04666666666666666,1.0238385,0.947353,1.0000064,0.34532905,2.2855993e-05,5.833333333333332e-05
25.5799,48.5,40000,-7.130232690848061,12,2,33.85732263677892,14,0,17.298525489408348,1,1,-45.22687710464379,7,0,-7.130232690848061,12,2,-13767.594,-14414.384,-9715.523,-10768.278,-13767.594,-13.970576738909585,33.85646799395181,17.298814399815456,-45.2265554629339,-13.970576738909585,402.31283217848977,-402.22357855230536,583.7206035004749,6.208921856475406,-309.15596557667686,-14343.443502061427,-13063.930789689679,-9209.486610799819,-10723.663263146409,-13618.099346990944,0.001849997727878379,0.5167758387919396,0.0025027689015461284,-6.364351337674942,4.708192929722653,0.9999999466747513,24,9.22,-0.049675608053803444,0.039999999999999994,1.0124087,0.9769196,0.99997705,0.34549502,4.558759e-06,4.999999999999999e-05
