_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
25.13485,50.0,100000,0.057272082420890935,0.5050300601202404,-1.1000194332462219,-6.6158249590750575,-0.0784615414193543,0.9999999990443289,1,0.46,52.77021634578705,0.19753086419753085,1.0759805,0.90795386,0.99980557,0.34640828,8.389693e-05,0.0002469135802469136
25.79732,48.0,100000,0.0036181685886343936,0.504869739478958,-0.2870422340073317,-5.856546851034739,4.408218590707424,0.9999999994934816,2,0.86,13.799571499228477,0.19506172839506175,1.0685008,0.9209962,1.0000782,0.34629625,4.551418e-05,0.00024382716049382717
28.5041,48.0,100000,0.0005445019007223717,0.5127354709418838,-0.2913745702631639,-6.925175062406183,4.362367736820553,0.9999999994546451,3,1.28,13.961891531944275,0.19259259259259262,1.012406,0.9876235,1.0000198,0.3461764,6.2607046e-06,0.00024074074074074075
26.28396,48.0,100000,0.00015282259479595277,0.5125651302605211,-0.22192940089260366,-6.052164521938316,4.352556589880863,0.9999999994408401,4,1.76,10.658642441034317,0.19012345679012346,1.0827831,0.9035219,1.0000057,0.34573257,0.00015646442,0.00023765432098765433
28.75753,47.0,100000,7.165725398570754e-05,0.5252404809619239,-0.18368629259071304,-6.59246271235865,4.713152220201986,0.9999999994872478,5,2.24,8.802599474787712,0.18765432098765433,1.0406001,0.94778144,0.9999953,0.3453129,3.989862e-05,0.00023456790123456788
27.53556,47.5,100000,6.484900423144092e-05,0.5291783567134268,-0.1591748969249666,-6.974843672564273,6.244883768884692,0.999999999472159,6,2.72,7.649350635707378,0.1851851851851852,1.0784614,0.95843816,0.9999917,0.34570315,4.361368e-05,0.0002314814814814815
27.49288,48.0,100000,4.307027518176959e-05,0.5229458917835671,-0.14378504546050888,-5.961639404864896,5.546481479036581,0.9999999994591297,7,3.24,6.89447707682848,0.18271604938271607,1.0385677,0.9734249,1.0000176,0.34568354,1.0037489e-05,0.00022839506172839507
26.20564,47.5,100000,3.705416736869563e-05,0.5264128256513027,-0.10705598736617186,-6.3331757215535625,7.594566161476467,0.9999999994616969,8,3.73,5.132651902735233,0.18024691358024691,1.1032026,0.84464055,1.000097,0.34457052,0.00026624385,0.00022530864197530865
25.73436,46.5,100000,2.869969488339469e-05,0.5373346693386774,-0.10129013277560844,-6.767951528071862,5.881566497555291,0.9999999994270885,9,4.21,4.8172071650624275,0.17777777777777778,1.0362916,0.9797509,0.99995184,0.34461853,2.563304e-05,0.0002222222222222222
28.27742,47.0,100000,3.5847816313885226e-05,0.5434168336673346,-0.08665806556005118,-7.2415493358880685,6.459921961016138,0.9999999994922844,10,4.69,4.175851844251156,0.17530864197530865,1.0318024,0.97732127,1.0000074,0.34450194,4.0059076e-05,0.00021913580246913581
24.74232,47.0,100000,2.185962133662251e-05,0.5374749498997996,-0.0300737159789163,-6.595886668643011,5.244497750571327,0.9999999994198316,11,5.18,1.3914593840017915,0.17283950617283952,1.0365181,0.93621916,1.0000246,0.3445932,2.6660697e-05,0.0002160493827160494
21.59657,47.5,100000,1.5926494172914e-05,0.5390180360721443,0.013088923144175984,-7.971869060726194,7.982930769926301,0.9999999993642685,12,5.66,-0.6460584099404514,0.1703703703703704,1.0406435,0.91765213,0.9999826,0.34438193,5.1328672e-05,0.00021296296296296298
25.29309,46.0,100000,1.5680169927656536e-05,0.5445891783567134,-0.04277073736431992,-8.645971796910795,6.087116646492563,0.9999999994335004,13,6.14,2.0384861640632153,0.16790123456790124,1.0231417,0.96851057,1.0000865,0.34341162,4.161787e-05,0.00020987654320987653
29.50088,45.0,100000,2.5239440418041697e-05,0.5533967935871743,-0.0631298451025713,-6.593801325581372,5.3749538552678855,0.9999999995103814,14,6.63,3.0223136795684695,0.1654320987654321,1.0799005,0.96926606,1.0000352,0.34303066,2.8538856e-05,0.00020679012345679014
23.12576,47.0,100000,1.8374645263982543e-05,0.5452404809619239,0.0076700766596624345,-6.896787582967292,4.8700876148464465,0.9999999993766671,15,7.12,-0.3843481976073235,0.16296296296296298,1.04737,0.9767254,0.9999937,0.34448665,6.0617345e-05,0.00020370370370370372
24.1996,47.0,100000,1.6887061533552897e-05,0.5389879759519038,-5.585541355853018e-05,-6.3845652394531385,6.72443532250415,0.9999999994371955,16,7.6,0.004540735390037298,0.16049382716049385,1.0158865,0.98960215,0.9999848,0.34447938,1.6741676e-06,0.0002006172839506173
23.10068,46.5,100000,1.3650989147751892e-05,0.5360320641282565,0.015746124082909894,-7.099154352589352,7.409440697472886,0.9999999994094095,17,8.09,-0.7501033337321132,0.1580246913580247,1.0255855,0.96243733,0.9999831,0.34431636,2.2543412e-05,0.00019753086419753085
26.31422,47.0,100000,1.5114737660421119e-05,0.5456913827655311,-0.016272549000688606,-8.11718986513221,4.73250294763839,0.9999999994660262,18,8.58,0.7873996668495238,0.15555555555555556,1.0512348,0.9763941,1.0000039,0.3441189,1.3422468e-05,0.00019444444444444446
25.36744,47.0,100000,1.3259771375977905e-05,0.5434368737474949,0.01132920265763767,-6.288732973509428,5.162382592778765,0.9999999994399689,19,9.07,-0.5372513090260327,0.15308641975308646,1.0432402,0.97520983,0.9999638,0.34467813,3.2484673e-05,0.00019135802469135804
30.87828,46.5,100000,1.9794254262095506e-05,0.5420140280561122,-0.04821277983533218,-6.853518854430978,5.164024661123718,0.9999999995021817,20,9.56,2.2929317569360137,0.1506172839506173,1.0685823,0.8537521,1.000041,0.34274983,0.00014932417,0.00018827160493827162
31.84116,45.5,100000,1.954700065840746e-05,0.5546793587174349,-0.07117010976751553,-8.900351329465186,4.823905421508557,0.9999999995094365,21,10.05,3.4229387789964676,0.14814814814814814,1.103306,0.95457715,0.999945,0.34311208,4.9862923e-05,0.00018518518518518518
23.78864,47.5,100000,1.6640344959183177e-05,0.5440881763527055,0.02348115255035095,-8.09070868605881,5.644852301321692,0.999999999400772,22,10.54,-1.119887591805309,0.145679012345679,1.0242574,0.986259,0.9999975,0.3440575,1.5700332e-05,0.00018209876543209878
30.85257,46.5,100000,2.0574525880295117e-05,0.552124248496994,-0.05513851146303765,-6.535012091744139,5.425460757120619,0.9999999994989786,23,11.02,2.6342395055107772,0.1432098765432099,1.0322547,0.93644196,0.9999653,0.34184808,0.0001486719,0.00017901234567901236
28.42938,46.0,100000,1.901666006871349e-05,0.5622344689378758,-0.03355602143039629,-6.986918723722434,4.751049382716255,0.9999999994811591,24,11.51,1.6299992478452623,0.14074074074074075,1.0949833,0.944623,1.0000124,0.34384793,0.00019594388,0.00017592592592592595
24.19586,47.0,100000,1.61565127971786e-05,0.5464529058116232,0.03392630359577675,-7.308181508866889,5.618336801069891,0.9999999994106967,25,12.0,-1.622491171117872,0.1382716049382716,1.0255369,0.9551443,1.0000546,0.34347773,6.3694206e-05,0.0001728395061728395
28.85482,46.0,100000,1.5878704814855076e-05,0.5546392785571143,-0.03713880702932795,-7.688248500813822,4.976793208962443,0.9999999994893776,26,12.5,1.8144022449851036,0.1358024691358025,1.0157743,0.9867007,1.0000038,0.3430562,5.980964e-06,0.0001697530864197531
23.09826,47.0,100000,1.1328591123941976e-05,0.5486072144288577,0.031497408299378124,-7.615245843257409,4.775929865094488,0.9999999993516422,27,12.99,-1.513580469880253,0.13333333333333336,1.0315974,0.9467456,0.9999938,0.34366828,1.3022539e-05,0.0001666666666666667
23.60875,47.5,100000,8.8617170147696e-06,0.5497294589178356,0.03123426341476515,-9.407990971646806,6.121123267140103,0.999999999399062,28,13.48,-1.5189121931325644,0.1308641975308642,1.0440665,0.91202325,0.99993014,0.34236887,9.7155316e-05,0.00016358024691358024
23.82287,46.5,100000,9.117237187421345e-06,0.562434869739479,0.06425998763197144,-9.014998187313891,9.570247639738204,0.9999999994373351,29,13.97,-3.035967123694718,0.12839506172839507,1.0234468,0.98523253,1.0000437,0.34208038,1.507961e-05,0.00016049382716049382
23.97039,46.5,100000,1.0986711545438502e-05,0.5621943887775551,0.03041598825861771,-7.429498307399502,5.727940829278599,0.9999999994177757,30,14.45,-1.4393115425482392,0.12592592592592594,1.0082194,0.9881644,1.0000167,0.34215784,3.964519e-06,0.0001574074074074074
22.82189,46.5,100000,1.055162378150213e-05,0.5589178356713427,0.03963535589033053,-6.815576921013306,6.188906915435268,0.9999999993985594,31,14.94,-1.9312365888617933,0.12345679012345681,1.0529201,0.91668564,0.9999258,0.34096274,0.00013808595,0.000154320987654321
23.38257,46.0,100000,6.582324569757919e-06,0.5721342685370742,0.04998136216408949,-7.085375681847273,5.312543605887147,0.9999999994059812,32,15.43,-2.3908949298784137,0.12098765432098767,1.0479592,0.8947344,0.9999931,0.339482,7.1862254e-05,0.00015123456790123457
25.68343,45.0,100000,8.738171318929129e-06,0.5773947895791584,0.006935959998368648,-6.697422607421184,7.018393219096611,0.9999999994702563,33,15.93,-0.3489122206810862,0.11851851851851852,1.0384634,0.84589237,0.99991333,0.33724403,6.711926e-05,0.00014814814814814815
