_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv%1,adv2_-2,adv2_full_-2,adv%2,adv2_-3,adv2_full_-3,adv%3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff0,diff1,diff2,diff3,val1_0,val1_-1,val1_-2,val1_first,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
22.115675,50.0,40000,-19.0,-19.0,100.0,-16.0,-34.77238,46.01353142925506,-16.0,-50.3558068876,31.773892603317538,-40.0,-19.059452610437095,-15.974039159604397,-16.01722304693463,-40.020584633403615,-0.05945261043709493,0.025960840395603313,-0.017223046934631725,-0.02058463340361527,-6035.165563054824,-19.0,-34.962,-6035.165563054824,0.06541852091522751,0.5177508875443773,-1.1873139844105167,-5.369066571383537,-0.0030794938521128286,0.9999998927222513,1,0.41,22.5410737991333,0.195,1.0588893,0.930294,0.99897444,0.3461203,0.00036539405,0.00024375
23.917675,51.5,40000,-56.48530417311849,-56.48530417311849,100.0,-7.1688621758403315,-62.977472404964864,11.383216731440575,-7.1688621758403315,-69.39186446139371,10.330983655625424,-130.2366777250162,-33.95599094680438,4.29173518920652,-15.351843245964119,-130.23666836616002,22.529313226314116,11.460597365046851,-8.182981070123788,9.358856175367691e-06,-14105.762483664726,-21084.80171042312,-20778.320492615614,-14105.762483664726,0.0658188667171636,0.48824941247062353,-0.21380155539249976,-5.183698941993262,2.791596952519872,0.9999999772265763,2,0.79,3.8439491242170334,0.19,1.2628789,0.7006812,0.99983174,0.34344319,0.0011318878,0.0002375
24.7423,53.5,40000,69.20608269037075,69.20608269037075,100.0,9.773140067656641,78.15013388739675,12.505596064286145,69.20608269037075,146.4199779737965,47.26546448651697,7.818309405578475,69.20608269037075,9.773140067656641,69.20608269037075,33.74025889810764,0.0,0.0,0.0,25.921949492529166,-10829.656303249812,-10095.10251105963,-9663.331064407354,-10829.656303249812,0.04976559492892918,0.45029751487574377,0.04143424775746837,-8.703756990289529,5.584214773203494,0.9999999783311024,3,1.04,-1.0102872960269451,0.18500000000000003,1.2727913,0.622333,1.0008235,0.33782843,0.0019168893,0.00023125
40.81955,41.5,40000,-82.10518710877659,-82.10518710877659,100.0,-84.61943108573905,-165.7409980529525,51.05521993942864,-82.10518710877659,-245.86060800505473,33.39501507581424,-1.6067225344031613,-82.1597375348938,-84.67272233638505,-82.1597375348938,-1.6069931664860633,-0.05455042611720273,-0.053291250645997934,-0.05455042611720273,-0.00027063208290201146,-9590.491813409462,-43056.82784335878,-43398.720564070296,-9590.491813409462,0.035432498083781516,0.3328666433321666,-0.2328585913380478,-7.557471944560971,8.781650671588528,0.9999999553229062,4,1.38,0.24134676158428192,0.18000000000000002,28.520351,0.82070434,0.9961407,0.30516022,0.01193219,0.00022500000000000002
25.5658,53.5,40000,23.550399187293806,23.550399187293806,100.0,24.839465309010848,48.10773071404087,51.63300147466969,-0.1336239822448988,47.39777611784176,-0.28192036249270197,22.94872802311147,23.5509229218369,24.839465309010848,-0.1336239822448988,56.05045450139551,0.0005237345430941787,0.0,0.0,33.101726478284036,-11537.053017865,-17636.615616437706,-17107.07715817707,-11537.053017865,0.01476583079053489,0.44199709985499275,-0.0100729144735877,-5.202922612364489,4.555170411022424,0.9999999607243437,5,1.9,0.031548886094242334,0.17500000000000002,1.2988688,0.8351465,0.9999958,0.34508497,0.0015042525,0.00021875
28.978725,52.5,40000,5.471052307657374,5.471052307657374,100.0,8.1963545368435,13.60186363785514,60.25905534027228,8.1963545368435,21.635267848317135,37.88422955660815,36.59030294208969,-30.140353123060777,-20.353258520082818,-20.353258520082818,21.73895684708441,-35.61140543071815,-28.54961305692632,-28.54961305692632,-14.851346095005283,-9817.847419219004,-12759.337541442343,-13263.335722760114,-9817.847419219004,0.010629062462454469,0.4696234811740587,0.00565896042541606,-6.137273428400176,4.298719162406701,0.9999999622148216,6,2.5,-0.30210306821390986,0.17,1.1608163,0.75337625,1.0000904,0.3411445,0.0010187407,0.0002125
22.25965,53.0,40000,37.88846385914621,37.88846385914621,100.0,35.90886441303883,73.34342447515246,48.9598960915769,10.314625765215169,82.7793960151553,12.460378139660214,11.557434876827756,73.3192501550875,-12.77259085181322,-71.38491999941834,37.799004361815605,35.43078629594129,-48.68145526485205,-81.69954576463351,26.24156948498785,-10471.027929652342,-12122.777551765854,-11638.446417405534,-10471.027929652342,0.006397181407559338,0.44464723236161807,-0.029885549823095214,-6.891941376178402,4.967648509970944,0.9999999568771081,7,3.12,0.254624652210623,0.165,1.1755563,0.59076166,1.0005054,0.3346683,0.0022210313,0.00020625
63.60285,32.0,40000,-109.15271002257214,-109.15271002257214,100.0,52.56656766401284,-55.278492892488885,-95.09406807860977,52.3886321567843,-2.2276243908525686,-2351.7713476253434,-69.55000813156039,-109.1519958708086,52.564918385542114,52.383894192003936,-69.5497187112287,0.0007141517635318451,-0.0016492784707224928,-0.004737964780360926,0.00028942033168277703,-11673.50220051721,-64012.21911627257,-64619.270180688516,-11673.50220051721,0.0076634372950130725,0.2471123556177809,0.043071181449997074,-8.330085780043571,3.8047114188118254,0.9999999572565493,8,3.78,-0.8716639820486307,0.16000000000000003,1.5685093,0.8976832,1.000108,0.21775146,0.00021230293,0.0002
81.77595,34.0,40000,25.460417326670722,25.460417326670722,100.0,75.78764000654337,100.94304153364058,75.07960811868955,63.08549878148551,162.81924267755306,38.74572669915921,40.63738819673017,50.97091695099334,63.418342809787646,72.73407378256888,60.983878838400415,25.51049962432262,-12.369297196755724,9.648575001083373,20.346490641670243,-41392.40193244254,-13197.70950454833,-13787.15833225144,-41392.40193244254,0.012112113261063836,0.23978698934946746,0.0005568366577855681,-7.188244282305238,3.9413248473343128,0.9999999607324138,9,4.48,-0.10506122512742877,0.15500000000000003,3.450148,0.78074527,0.9997941,0.20828918,0.0008152164,0.00019375000000000002
50.4146,39.0,40000,-122.19597387591784,-122.19597387591784,100.0,-122.12711339098314,-242.85917949986748,50.287213208282196,56.90504965756554,-183.04467687189353,-31.088065837277185,-71.77187298720128,-122.19483326225236,-122.12769964523613,56.90625477861613,-71.7715744756133,0.0011406136654841248,-0.0005862542529939674,0.0012051210505887866,0.0002985115879710065,-11537.155059126624,-19170.322927000918,-19828.37947656915,-11537.155059126624,0.009991935797751358,0.2567378368918446,0.04226102809437603,-5.956181264399394,4.579616938768039,0.9999999564408062,10,5.12,-0.9589859284460545,0.15000000000000002,2.0428374,0.8602496,1.0000231,0.25524104,0.0011323103,0.0001875
