_AverageReward,_No_optimal_actions,Steps,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[1 1]adv2_,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
20.6096,49.5,40000,-209.83238104628157,-72.29349278499717,-352.33432112163075,-474.1783564189692,-266.0373873402852,0.02942808904880714,0.5065503275163759,-0.8458591950004509,-5.261361228733337,0.0,0.9999999987218796,1,0.2,15.998007237911224,0.19333333333333336,1.2214128,0.7318388,0.99861676,0.34507453,0.001084397,0.00024166666666666667
22.34395,51.5,40000,-730.3546124797109,-691.1999707279834,-756.6637774506671,-825.7870864786184,-713.8543723641,0.029677255796118168,0.45904795239761986,-1.1882019790848013,-6.013970256683826,1.5117093681035167,0.9999999985239131,2,0.35,22.581108570098877,0.18666666666666668,1.0853257,0.7821571,0.9998192,0.34119162,0.00032137963,0.00023333333333333333
24.6071,53.0,40000,-908.218846574442,-938.874375622413,-890.4506671506895,-939.145919275589,-900.6840225647808,0.03483856794570999,0.44132206610330516,-1.1099544563217147,-5.940395128443629,0.8140927965955382,0.9999999987384632,3,0.5,21.096537828445435,0.18000000000000002,1.0513211,0.8638729,0.99982285,0.33659375,0.0001788657,0.00022500000000000002
22.685075,51.0,40000,-1040.5019296112193,-1081.6763129693538,-1003.3879563844964,-1022.5968238054563,-996.528226418463,0.02995859104172278,0.416020801040052,-1.1780477769962596,-5.50362003697429,1.2312967252881923,0.9999999985517446,4,0.72,22.369029641151428,0.17333333333333334,1.7330203,0.911663,0.99936247,0.3379473,0.00091007166,0.00021666666666666668
24.212925,52.5,40000,-1086.570439084399,-1141.7345742028301,-1029.5904227136223,-1063.4179160714732,-1031.5416248655613,0.03478100214594439,0.44674733736686834,-1.1304730107855592,-5.351295509029564,3.9874066139104927,0.9999999987016772,5,0.94,21.469104051589966,0.16666666666666669,1.1216942,0.9150081,0.9997746,0.34340623,0.00014311261,0.00020833333333333335
28.440675,48.5,40000,-1115.8332650970287,-1179.6815369800422,-1058.7577235155877,-1084.8743221341656,-1082.685677821847,0.0322739306931016,0.4259212960648032,-0.9709343694028154,-6.070448920891471,0.7970529229727132,0.9999999990483955,6,1.16,18.401554584503174,0.16000000000000003,1.9618188,0.9163726,0.99979365,0.33499572,0.0008499745,0.0002
19.80555,50.5,40000,-1145.2050140647473,-1197.6064122023647,-1092.2414446216221,-1111.1604399272273,-1096.8525912944476,0.027492803410016017,0.4663983199159958,-1.1399807865643468,-6.8477156918530495,1.4853797966345312,0.9999999983802872,7,1.38,21.639257073402405,0.15333333333333332,1.0701491,0.9622918,0.9996948,0.34456554,6.3511674e-05,0.00019166666666666665
27.82085,51.0,40000,-1157.3353574909397,-1223.6223358037828,-1105.1307834307834,-1115.4877953569144,-1110.4231490650768,0.03571639160231994,0.44979748987449375,-1.1315544187834374,-4.961708833090799,0.81415149552946,0.9999999988803122,8,1.61,21.521728992462158,0.1466666666666667,1.0696368,0.81899077,0.99979365,0.34051853,0.000144624,0.00018333333333333336
28.826725,51.5,40000,-1180.685958011565,-1249.7576350495135,-1130.552649708455,-1143.0389482906917,-1134.427783458698,0.040488345062428995,0.4533726686334317,-1.2032516729266136,-5.283302568520306,2.3722377695699186,0.9999999988233792,9,1.83,22.88673758506775,0.13999999999999999,1.0618447,0.8397224,0.9999258,0.34043947,0.00019079639,0.000175
27.4516,51.5,40000,-1205.1922725242746,-1281.8856097851806,-1150.1818891238343,-1156.1421365253566,-1162.20358049472,0.03808847109304857,0.44309715485774287,-1.0179681301545687,-6.430005892057131,0.870678481154073,0.9999999989577913,10,2.05,19.334741950035095,0.13333333333333336,1.0395616,0.8538676,0.9998443,0.33965945,9.3393166e-05,0.0001666666666666667
31.780375,51.0,40000,-1232.9774884877454,-1315.996159802161,-1166.7903050199009,-1178.5742667549018,-1181.4924339645509,0.036464743208693556,0.42157107855392767,-0.944335241285476,-6.247928794823087,0.6633334409274698,0.9999999991708908,11,2.27,17.960959792137146,0.12666666666666668,1.1608496,0.89433074,0.99991524,0.3345671,0.00010163641,0.00015833333333333332
21.051325,50.0,40000,-1237.2564625920002,-1326.634825925855,-1173.1477146010286,-1188.088211509473,-1183.2230613621523,0.02728331980945435,0.4391969598479924,-1.1893424152056369,-5.888602620904399,1.3502604489098857,0.999999998420636,12,2.49,22.595157861709595,0.12,1.0716486,0.9856546,0.9999657,0.3404368,1.5501251e-05,0.00015
22.143575,50.5,40000,-1251.319716190994,-1338.4298010919415,-1191.1211487833677,-1208.2498315882044,-1200.0268076740026,0.03176661539671749,0.4571478573928696,-1.2621450564243075,-5.990868093862998,2.149867754494425,0.9999999984232543,13,2.7,23.97957444190979,0.11333333333333334,1.0312878,0.9779987,0.99998087,0.34439367,2.410366e-05,0.00014166666666666668
25.13925,49.0,40000,-1261.0100010783522,-1347.860275929568,-1198.684441002763,-1224.7240769252167,-1212.0221175353622,0.03281373741190233,0.44134706735336765,-1.0268002730535633,-6.415989728859911,1.5678750522211053,0.9999999988729588,14,2.93,19.491143345832825,0.10666666666666667,1.0306723,0.880484,0.9999073,0.33478084,6.434074e-05,0.00013333333333333334
23.61945,51.5,40000,-1266.0593948544,-1351.877541521622,-1203.1643390553304,-1228.208821000379,-1219.7319504641316,0.03441186321036754,0.45144757237861893,-1.1100900566703895,-5.953746621222634,0.9609929294223064,0.9999999986916421,15,3.15,21.094688892364502,0.1,1.2900988,0.90744376,0.9998354,0.34416634,0.00017711794,0.000125
24.683725,50.5,40000,-1266.4947818765459,-1351.1290762099366,-1199.7741424609728,-1226.1299023001477,-1220.9330292803243,0.031287817261832565,0.45294764738236915,-1.0730342404334705,-6.039530280260916,0.934677027043009,0.9999999987682326,16,3.37,20.40684688091278,0.09333333333333334,1.0227573,0.9424225,0.99991345,0.3432931,1.9240602e-05,0.00011666666666666667
20.78435,50.5,40000,-1274.4370635850446,-1366.3473532669987,-1207.4305074544654,-1227.909588373207,-1228.0066604728672,0.028126682237307007,0.46112305615280763,-1.073205382850041,-5.647420219169636,1.0317696633262494,0.9999999985598054,17,3.59,20.358306765556335,0.08666666666666667,1.1044021,0.9468746,0.99982697,0.34471786,3.7624603e-05,0.00010833333333333334
25.982325,51.0,40000,-1280.3490450492297,-1369.371617805259,-1212.5935907509524,-1231.0548394994412,-1234.98667429413,0.03584155104050363,0.46752337616880846,-0.927796335679332,-7.215572185213624,0.8691715554939726,0.9999999990183204,18,3.81,17.62468707561493,0.08000000000000002,1.0557058,0.90050524,0.9998882,0.34381172,7.353774e-05,0.0001
23.844,52.0,40000,-1290.7670169603184,-1382.6787168952894,-1219.5672989556997,-1228.446980847655,-1239.6475490964924,0.033091170258331644,0.45479773988699435,-1.124267048259136,-7.842020138431768,0.918720488763859,0.9999999986721044,19,4.04,21.36009931564331,0.07333333333333335,1.103709,0.9463851,0.9998752,0.3444819,6.633232e-05,9.166666666666668e-05
24.364425,51.0,40000,-1296.5013322797752,-1383.1936016916484,-1228.32750367345,-1231.2437409555148,-1244.3507974755187,0.0327385757858902,0.460298014900745,-1.0286782255745188,-6.847253566658463,1.1545172355453022,0.9999999988199957,20,4.26,19.542818009853363,0.06666666666666668,1.0291448,0.92686206,0.999901,0.34247,4.167327e-05,8.333333333333334e-05
21.0044,51.5,40000,-1300.5820185850569,-1388.336083516985,-1230.4822010153825,-1231.3078050047072,-1248.006692705411,0.030215322524100533,0.4510725536276814,-1.0349128012168165,-6.432874170905487,0.8629848268455506,0.9999999986366278,21,4.48,19.668168783187866,0.06000000000000001,1.016561,0.9676336,0.9999669,0.34377632,5.450378e-06,7.500000000000001e-05
33.44005,50.5,40000,-1296.331576436502,-1385.065971500312,-1229.022242908158,-1226.0314387741555,-1241.8164592911526,0.034818822147399286,0.4286214310715536,-0.990475068387325,-4.741405412925331,0.604468335897494,0.9999999991708682,22,4.71,18.814246714115143,0.053333333333333344,1.0286937,0.95552766,0.99996513,0.33532438,1.3097041e-05,6.666666666666668e-05
27.298825,52.0,40000,-1302.5088128973441,-1394.4257541250133,-1236.1125390858967,-1229.0321029979975,-1244.992475044347,0.035759261287117344,0.45814790739536976,-1.0742932325004682,-6.266631509339067,0.9299744085167295,0.999999998904737,23,4.93,20.398221850395203,0.04666666666666666,1.0344262,0.9827757,0.9999321,0.34320566,9.4562265e-06,5.833333333333332e-05
22.062575,51.5,40000,-1304.4604136386215,-1397.7633701418117,-1234.9432066660095,-1223.3991875899537,-1247.3123923712892,0.029499608940068194,0.45809790489524477,-1.1194941697185405,-6.1724429314230775,1.3973735700960712,0.9999999985586986,24,5.15,21.274239897727966,0.039999999999999994,1.0315632,0.95488703,0.9999107,0.34357515,3.730266e-05,4.999999999999999e-05
22.852925,52.0,40000,-1307.2835495202983,-1401.4846699906068,-1234.0023519101244,-1219.9329968175264,-1247.9148887502204,0.02784424418255391,0.45169758487924394,-0.9912825506573164,-6.518079079004974,0.94472219737544,0.9999999988008641,25,5.37,18.84587562084198,0.033333333333333326,1.0175385,0.9635117,0.99996006,0.34335107,7.0451906e-06,4.166666666666666e-05
34.782025,50.0,40000,-1308.1657956816562,-1400.6539229062964,-1233.786163721566,-1219.5479739233283,-1249.6453669792822,0.04504578499474301,0.42047102355117755,-0.8907600466998669,-5.470133588258734,2.9282229564371947,0.9999999992985994,26,5.59,16.932992041110992,0.02666666666666666,1.0336491,0.99494654,0.9999793,0.3317521,3.439875e-06,3.333333333333333e-05
72.526275,38.0,40000,-1308.0560921736994,-1401.2986747582477,-1234.6793763733297,-1221.7324556277322,-1247.7125133666755,0.047262438096128775,0.29991499574978747,-1.1163693624003437,-3.4151765967625654,2.7180755687510336,0.9999999995639928,27,5.83,21.186981201171875,0.019999999999999997,1.0398687,0.99167943,0.9999676,0.26118377,4.4336944e-06,2.4999999999999994e-05
96.600225,30.5,40000,-1308.0560921736994,-1401.2986747582477,-1234.6793763733297,-1221.7324556277322,-1247.7125133666755,0.06024912631003086,0.23951197559877993,-1.2204201140803006,-4.762003497205289,3.467539695419885,0.9999999996361346,28,6.06,23.1854031085968,0.01333333333333333,1.0831212,0.99183434,0.99997747,0.2137351,1.5540947e-05,1.6666666666666664e-05
25.2014,52.5,40000,-1305.3619643770057,-1401.1915781091568,-1231.955029287863,-1220.641790282378,-1245.1952135133276,0.033666564875597944,0.4499474973748687,-0.9898079392190948,-5.615058807049378,1.2113544963186433,0.9999999988966605,29,6.28,18.79523205757141,0.01,1.0102943,0.99226993,0.9999921,0.3417256,5.176748e-07,1.25e-05
25.8504,51.5,40000,-1309.7621486179555,-1404.713977877911,-1238.2970182685885,-1227.9643876475618,-1249.0119086892757,0.037389248179809126,0.45319765988299415,-1.0531529112494542,-5.537743275973966,1.3885046962563141,0.9999999988647527,30,6.5,19.997828483581543,0.01,1.008637,0.9872233,0.99997616,0.34308147,2.7332057e-06,1.25e-05
