_AverageReward,_No_optimal_actions,Steps,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
28.17098,50.0,100000,-198.12050151073655,-75.75403974634659,-337.09032411785967,-520.5425386068232,-742.5471104213252,0.03308403991049824,0.507510150203004,-0.7158165535712078,-5.393570670184808,0.0,0.999999999278219,1,0.5,17.186449825763702,0.196,1.0232621,0.9709029,0.9999246,0.34634975,1.34807915e-05,4.9e-05
25.43697,49.0,100000,-1196.2059296188945,-1187.9208035416482,-1148.5925837493292,-1021.1729118526105,-1134.3972292065241,0.0017412164766077059,0.5092301846036921,-0.3215316646075142,-6.616753408663326,6.320855417581911,0.9999999994308022,2,0.88,7.73181289434433,0.192,1.0019982,0.9978169,0.999999,0.34634364,1.7089992e-07,4.8e-05
28.55373,49.0,100000,-1262.0543853602292,-1245.7842144260137,-1198.7616527049263,-1080.8738507822845,-1099.4354300207015,0.00036207886781669616,0.5145402908058161,-0.305794383606152,-6.162816655979291,10.636257305245357,0.9999999994083882,3,1.27,7.325625121593475,0.188,1.0062494,0.99410504,0.99997544,0.34639728,3.2303906e-06,4.7e-05
23.1151,49.0,100000,-1215.4429464080306,-1175.2391652243612,-1157.16766876427,-1065.3853688730203,-1069.838358414146,0.00010064333364184854,0.510000200004,-0.2880730869885978,-6.770770245802968,6.535956063322626,0.9999999992009734,4,1.71,6.915851712226868,0.18400000000000002,1.0131813,0.9899532,0.99999374,0.34644,2.2968811e-06,4.600000000000001e-05
22.52573,49.5,100000,-1136.6929749045214,-1102.4799709022082,-1071.2961597432284,-980.1133058167325,-984.4381211624616,5.540639652174339e-05,0.5087001740034801,-0.23046952069561516,-7.166683469576255,7.2166458970354475,0.999999999206574,5,2.14,5.539293974637985,0.18000000000000002,1.0071805,0.99368834,0.9999985,0.34646314,1.1227061e-06,4.5e-05
22.93797,49.5,100000,-1064.8088233785174,-1039.7416282611211,-1006.9417007626967,-924.8965223365942,-921.7181877855934,3.584118154889195e-05,0.5095601912038241,-0.18880978256522052,-7.540100725561864,6.375560466996565,0.9999999991714036,6,2.58,4.519880697131157,0.17600000000000002,1.0082468,0.9926323,0.9999854,0.34646958,2.485578e-06,4.4000000000000006e-05
23.98675,49.0,100000,-991.3665773397472,-977.8865926456665,-933.3358900837376,-847.7582441750249,-837.3291567575216,2.136547597142023e-05,0.50645012900258,-0.1656033142871221,-8.583518456591948,6.867889593215923,0.9999999991987616,7,3.01,3.986613631248474,0.17200000000000001,1.0084755,0.990474,1.0000024,0.34647638,6.4190914e-07,4.3e-05
24.54098,49.0,100000,-916.935664375585,-899.6447146654857,-856.2515242528567,-782.4793450087701,-776.5918848256686,1.6222703351103855e-05,0.5060801216024321,-0.15333897633936566,-7.494929841926549,5.029060879818278,0.9999999991622883,8,3.45,3.683624789118767,0.168,1.0031077,0.99712133,0.99999523,0.34648564,3.7804315e-07,4.2e-05
23.93411,49.0,100000,-859.8230094466593,-848.2610497351183,-813.2872479624846,-751.307625593512,-749.829542316867,1.2679013511675018e-05,0.5092601852037041,-0.09587158727739381,-7.30000636678044,6.807019396674998,0.9999999992041806,9,3.89,2.3053154796361923,0.16400000000000003,1.0087013,0.993319,0.99998873,0.34646037,7.4740666e-07,4.100000000000001e-05
30.19604,49.0,100000,-817.1796815444302,-804.8106742101186,-769.1113752377776,-715.0777254477248,-723.0890164577697,1.2470474660220003e-05,0.5066301326026521,-0.1584318442210509,-7.09267300583442,4.9357435663185045,0.9999999993356242,10,4.34,3.7948856502771378,0.16000000000000003,1.0094359,0.9925492,0.9999882,0.34645614,1.1274824e-06,4e-05
29.27826,49.5,100000,-759.7745648175696,-745.4373109553298,-711.2347373341145,-660.3925843246524,-669.0946100940124,1.2695325564037849e-05,0.50115002300046,-0.10656881516907821,-9.460836950209323,5.738732845148827,0.9999999992866264,11,4.84,2.560720607638359,0.15600000000000003,1.0101545,0.99062616,1.0000087,0.3464972,1.2218028e-06,3.9000000000000006e-05
24.44867,49.5,100000,-690.5359200590786,-678.5626332616432,-645.1252904173107,-608.1306492710575,-610.5075856124276,8.074099688028415e-06,0.5057701154023081,-0.04224875770416634,-7.089724258645761,5.813726394281412,0.9999999992237335,12,5.34,1.0105338133871555,0.15200000000000002,1.0129353,0.98695624,1.0000135,0.3464952,2.184704e-06,3.8e-05
25.22214,50.0,100000,-644.8858351836975,-626.5936105513434,-609.0098836601264,-580.5200080160405,-586.9795528524917,8.123421706852677e-06,0.506790135802716,-0.04698424508560798,-7.519614357903733,6.260964523848071,0.9999999992107111,13,5.75,1.1300395345315337,0.148,1.0076998,0.9935168,0.99999696,0.34649926,5.024449e-07,3.7e-05
29.37913,49.0,100000,-616.8323724023875,-602.7331206683529,-582.0862451440966,-559.2593111187817,-575.2558375372191,1.0970185817929918e-05,0.5064001280025601,-0.0849380310488243,-7.374207186689857,14.178535257142368,0.9999999993187283,14,6.19,2.047386262565851,0.144,1.0063527,0.9925026,1.0000027,0.34644958,4.4704973e-07,3.6e-05
24.6258,49.5,100000,-588.3818981911138,-573.8439831242584,-551.4225590676944,-530.1442466905229,-551.0478807037787,6.582355470661753e-06,0.501860037200744,-0.013038431718713463,-7.878987064390894,6.599080261110766,0.9999999992227214,15,6.63,0.3174002063460648,0.13999999999999999,1.0022388,0.99693257,1.0000035,0.34647545,1.2196554e-07,3.5e-05
23.35521,49.0,100000,-558.895181757874,-546.340504154827,-519.264710085319,-498.7130868850248,-516.9992891307985,7.417326592482558e-06,0.506170123402468,0.002763508307881879,-7.189686183988662,6.520545987971548,0.9999999991400976,16,7.07,-0.0517433169297874,0.13599999999999998,1.0036795,0.99628496,1.0000006,0.34646544,3.8149508e-07,3.4e-05
25.25515,49.0,100000,-527.3288312878954,-515.6896174596629,-490.67015875908737,-470.01390138201293,-489.9480568939161,7.039759332314909e-06,0.5083701674033481,-0.023822611348697106,-6.947593703258377,5.862790110161198,0.9999999991832951,17,7.52,0.5629779901355505,0.13199999999999998,1.0033818,0.9966005,1.0000104,0.34646216,7.892642e-07,3.2999999999999996e-05
25.86243,49.5,100000,-511.5746450085533,-501.1837622156954,-476.4875044917792,-460.708185712448,-478.67421322777477,5.938593139348256e-06,0.5055301106022121,-0.04367150592544558,-6.5393770701772755,7.676593280345514,0.9999999992039503,18,7.96,1.0604123044759035,0.128,1.0086515,0.99314964,0.9999989,0.34647295,8.774725e-07,3.2000000000000005e-05
