_AverageReward,_No_optimal_actions,Steps,val1_[1 0],val1_[0 0],val1_[2 0],val1_[3 0],val1_[4 0],val1_[1 1],val1_[2 1],val1_[3 1],val1_[0 1],val1_[5 0],v1_[1 0],v2_[1 0],v1_[0 0],v2_[0 0],v1_[2 0],v2_[2 0],v1_[3 0],v2_[3 0],v1_[4 0],v2_[4 0],v1_[1 1],v2_[1 1],v1_[2 1],v2_[2 1],v1_[3 1],v2_[3 1],v1_[0 1],v2_[0 1],v1_[5 0],v2_[5 0],ad_diff_avg_diff,ad_diff_full_avg_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
21.4724,49.0,40000,-225.85855908794235,-109.36160513693885,-418.89964750019783,-577.6998155883159,-735.0272523700404,-435.2744869923114,-574.3789655332328,-676.793761890136,-286.82349922447764,-980.9729661600471,-3.011391797811165,-97.61379244804829,-0.0043374573586891785,-40.8931068301632,-6.013081709689004,-182.62105450607066,-9.008819209257368,-255.1531719543724,-11.99653304478193,-307.39689397495613,-4.035362927997675,-167.65612365535839,-7.025387690110389,-228.0963328988816,-10.026786201834701,-282.0113405890562,-1.0223533639742204,-104.5510612176059,-15.013014430526475,-416.39319717041843,277.52821953258467,201.52290074115894,0.05748299167679306,0.5064753237661883,-1.0549966767969254,-7.070405932625475,-0.0002129214709420372,0.9999999018219904,1,0.27,19.986916661262512,0.19333333333333336,1.092074,0.8374188,0.9995742,0.34551322,0.00025483433,0.00024166666666666667
29.36405,47.0,40000,-1834.1431541654595,-1831.91290758494,-1964.6695431208238,-1949.4150732531232,-1997.948565343048,-1871.2000699665107,-1948.8848286495913,-1939.5998706165115,-1744.738924650109,-2248.002199993713,-30.252658255458215,-515.4370333602654,-56.6899518236371,-499.6930036731552,-10.610127765687373,-602.7275217523847,-26.59669517002612,-671.0468089557874,-15.046302863287435,-734.6805141665951,23.060915607928504,-570.3842836908168,7.38571002597658,-644.6756534555016,-4.550522866256171,-687.5651986521132,8.071566080559123,-497.769772536878,-11.8800228779966,-824.3721072317156,667.8496063481806,613.1243807567329,0.03571358735134938,0.5293514675733787,-0.23629735052052528,-4.468371229203343,2.477347472563579,0.9999999680529417,2,0.47,4.272505506873131,0.18666666666666668,1.3448429,0.8698876,1.0005014,0.34597495,0.00070146384,0.00023333333333333333
25.80175,48.5,40000,-2280.9033225095172,-2279.2637482963714,-2377.3766215696164,-2406.887600504014,-2466.465222340492,-2270.3530552038815,-2319.9047846048584,-2355.9974746406806,-2154.69356324093,-2660.249656702883,-28.373790028810266,-1381.2723683540764,-37.30129020144731,-1361.4069223984834,-15.445276613573407,-1499.1370958870975,-23.56013452944468,-1510.809911172025,-16.89197708075618,-1553.2707314943673,27.83873558857709,-1353.1320263364832,8.529580816029899,-1453.4858674582074,1.6034650649392785,-1467.7398535920452,31.769623029755547,-1243.6440539872972,-20.683995092748862,-1753.3732338480506,1530.780793205343,1450.4757005480656,0.018069986195114292,0.515700785039252,-0.026318602265115728,-3.2414743045534293,3.200476204366059,0.9999999609801726,3,0.67,0.40116058685816824,0.18000000000000002,1.1283139,0.87284106,1.0001625,0.34558365,0.00033929458,0.00022500000000000002
29.24905,47.5,40000,-2449.4790969296714,-2439.539225082287,-2529.2009656256805,-2576.5484689480045,-2638.7672367416144,-2444.1783640359326,-2501.315494093115,-2537.634969262007,-2366.762236277249,-2814.5448380982966,-15.776704651713965,-1875.00863380149,-30.799908949467145,-1896.7770129952842,-7.457205401214037,-1951.5663897711831,-22.727639756605484,-1994.50163310859,-7.7982757003387615,-2041.8514469985791,15.830812533031015,-1900.1107319945238,2.824123988551391,-1929.6734903813071,-1.8717837147771652,-1965.2739661985006,11.499824039256708,-1813.9219313624546,-9.898183289662576,-2164.2970499872604,2040.202570460892,1946.6807345696234,0.016171838392748182,0.5306265313265663,0.027990688022402142,-5.280883224369859,4.061036099071159,0.9999999518653924,4,0.95,-0.7404411192983389,0.17333333333333334,1.1470312,0.7940482,1.0002253,0.34342846,0.0006863161,0.00021666666666666668
25.52,47.5,40000,-2597.232226604982,-2618.47662612733,-2666.7417431877307,-2709.13783515291,-2777.4173792552792,-2589.8810203743833,-2641.6976527509987,-2669.169038227945,-2543.635030609696,-2926.542530498746,-9.313690016853327,-2081.1270265987564,-32.66028184000227,-2053.8897801432136,-9.393481080924737,-2166.081374355701,-17.606797652276008,-2229.178290438901,-7.567274541490849,-2268.16707888271,24.73372672248749,-2064.322219088215,7.481712755922535,-2137.1700495049454,0.7726193618998595,-2203.4245187045676,3.4078816990278935,-2014.0000951673835,-0.06950751142637877,-2421.4234233830507,2231.067507720317,2159.856876416381,0.006153996503897057,0.5422521126056303,-0.016951232881817668,-5.9537123987411285,4.136166627555264,0.9999999457525712,5,1.21,0.20977410959312692,0.16666666666666669,1.2762587,0.87839544,1.0001913,0.3455722,0.0004766718,0.00020833333333333335
22.594175,48.5,40000,-2685.9310926607254,-2706.643446492069,-2752.8777891891564,-2795.4298304346453,-2865.2266174511183,-2684.528942851133,-2732.7538044424086,-2775.6664056383056,-2651.382698666197,-3000.562665476437,-6.796467295945929,-2317.685346286433,-28.00112000534067,-2319.179814514738,-10.614313998632968,-2366.8765081562397,-17.62972421225562,-2388.3102361848087,-2.7921743160855828,-2417.0074399774207,22.303697423883683,-2289.9836125923475,8.036986371126313,-2329.8496894379623,-3.445560556372192,-2333.703729684804,-3.683397470320206,-2255.54945780987,6.463997392217012,-2552.421976574978,2435.284251508433,2353.4409734551873,0.004569892298848948,0.5321266063303165,0.0024302585794004853,-7.465457175605832,4.447973345012583,0.9999999375696347,6,1.5,-0.14370780065655708,0.16000000000000003,1.1185176,0.8647338,1.0003271,0.34406105,0.00057114847,0.0002
44.2099,47.5,40000,-2754.380227478177,-2767.957240793523,-2815.4300661735488,-2864.3932156695273,-2930.206583893872,-2751.0062895121837,-2799.3127942182928,-2850.512730463468,-2715.6538507603796,-3062.2489622294256,-7.090023528807341,-2441.1083055417594,-23.951476665353933,-2465.096319066068,-8.173022974320101,-2504.1719217706095,-18.105986172147166,-2540.4357815542844,-1.0204297565149723,-2605.6840507706197,21.591288742593683,-2442.1138036405086,7.421042925686756,-2494.7351952256063,-2.775420134576054,-2520.706425062343,-7.2671484801632715,-2434.891426993217,6.115485607135461,-2722.554842073127,2579.5030516510183,2513.824238126167,0.005869985617071545,0.5594029701485074,-0.0601651432781927,-8.300151884900155,6.300260158259466,0.9999999357304362,7,1.77,1.016013553366065,0.15333333333333332,1.1150733,0.73359,1.0002829,0.33646157,0.0011799632,0.00019166666666666665
23.3448,48.0,40000,-2834.596902527986,-2842.4427286795326,-2889.672949784231,-2935.675702880888,-3009.6389532374697,-2824.1613116356457,-2871.6900100187445,-2918.266701159711,-2802.189237324763,-3138.9339568695186,-5.083940641206414,-2474.9118833109187,-22.678106133724224,-2507.129677989509,-5.96080280175692,-2517.0959726860233,-16.187522472392985,-2562.1215058086555,-3.217946584471004,-2607.5408946082844,21.37248784416568,-2483.0274438597044,10.772816529109718,-2528.899043341317,2.9262841208871593,-2573.575105060464,-13.304527140210787,-2449.8374502560246,3.2050860691980465,-2713.4792583385606,2599.116691296899,2538.946206404906,0.004727841593663039,0.580154007700385,-0.01929450751782094,-8.263625820367068,5.641678242671382,0.9999999371413428,8,2.04,0.3275270890444517,0.1466666666666667,1.1481912,0.8532972,0.9999921,0.3384291,0.00018437074,0.00018333333333333336
23.84275,48.0,40000,-2886.181378129061,-2893.611144105088,-2939.5835831754107,-2994.7922055968866,-3064.6189833266226,-2879.3729394023835,-2919.1708245685845,-2967.1949692158505,-2866.4209146683916,-3181.9749074776787,-2.5658489930794333,-2566.383488477505,-19.40767081661794,-2560.222502671036,-4.080700747319398,-2634.186995077771,-18.00033150855147,-2687.7924938599695,-4.536433768096474,-2762.723989966356,20.04872171849378,-2577.9964894030277,12.221449891940647,-2651.152890562537,4.935345961332016,-2697.136297013361,-18.170668888019954,-2542.9546297870174,2.835697663461971,-2893.073066941951,2716.087698226752,2654.6902404274074,0.0042647222695252176,0.5849792489624481,0.0177451209153203,-5.513015107176998,5.784881519951876,0.9999999303176733,9,2.31,-0.5095751425251365,0.13999999999999999,1.1172231,0.7799787,0.9998637,0.32854763,0.0020299593,0.000175
22.121375,47.5,40000,-2920.408393782391,-2927.964248583498,-2967.804322149125,-3019.113446368821,-3088.783523208695,-2906.748415572366,-2943.20706398191,-2991.676160396917,-2900.7277719680483,-3198.943850268419,-2.4491000596863053,-2646.556885887668,-21.422895387730488,-2675.146669748475,-3.029770264034495,-2677.6965957883053,-14.624224768012924,-2734.321681050437,-3.9629985522282354,-2801.7936593997997,22.724346795607612,-2657.542738736066,15.609495133232038,-2687.671977759079,8.20116415116632,-2737.971802700313,-16.874909578420503,-2655.8048400715816,2.836426709435443,-2925.238525543141,2767.1641766611056,2718.6752910864193,0.004041666285559975,0.620106005300265,0.03087415164857533,-6.04052491733154,5.0711813988903875,0.9999999307930252,10,2.59,-0.6367883766070008,0.13333333333333336,1.11886,0.7554519,0.9999009,0.3285803,0.00029451484,0.0001666666666666667
