_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
26.02875,49.0,40000,0.025509276721038317,-902.1566621034465,-900.3885818788327,-963.5193043418325,-966.2044798862452,-993.5041022585428,0.5081052631578947,-0.9601462319904885,-6.226936340923879,-0.09606314556801548,0.9999999991027362,1,0.25,17.265114843845367,0.196,1.0338671,0.95976394,0.9999146,0.34652784,1.1355899e-05,0.000245
27.4248,49.0,40000,0.002355403964456759,-1140.6973671312048,-1240.011458288502,-1106.7840043101867,-1092.599637023496,-1092.3773069253366,0.5009210526315789,-0.3511992036721492,-9.857011424722106,4.62975858037548,0.9999999993353147,2,0.46,6.305376470088959,0.192,1.0247972,0.9779277,0.999963,0.3465616,8.080034e-06,0.00024
23.844475,49.0,40000,0.00043623129980589607,-1086.006543563126,-1155.9641516187617,-1072.4377849089371,-1097.8758493095336,-1126.1613770323645,0.5022368421052632,-0.35530115973452464,-6.047605827138893,5.9275936581767485,0.9999999991602442,3,0.67,6.396392643451691,0.188,1.0255817,0.97416914,1.000013,0.34656513,2.6783857e-06,0.000235
20.50525,49.5,40000,0.0002348568299417629,-908.5699398703985,-1008.1232681636168,-877.8036983820718,-920.5135138256095,-987.2441787485857,0.5033157894736842,-0.2085237484600011,-8.513443612645139,6.332650485728995,0.9999999991161881,4,0.96,3.7390976399183273,0.18400000000000002,1.0228133,0.9786362,0.9999787,0.3465715,4.414168e-06,0.00023
24.82745,49.0,40000,0.00015519665568870932,-870.403313317296,-953.5412693528212,-824.071373829111,-857.7414362502774,-910.2853039169199,0.5010263157894737,-0.2107818470376135,-6.113660784518529,5.538275180167538,0.9999999992429757,5,1.24,3.775120422244072,0.18000000000000002,1.022099,0.97795045,0.99999815,0.34656668,4.6920304e-06,0.00022500000000000002
32.681725,50.5,40000,0.0002531992076209893,-832.8721239053676,-917.934012505355,-776.9958876123846,-803.5484692663753,-868.5584113783008,0.49326315789473685,-0.24652744789677733,-5.563125451189464,4.481050457831046,0.9999999993803863,6,1.52,4.4296755492687225,0.17600000000000002,1.0181446,0.9818727,0.99999195,0.3465661,1.4380097e-06,0.00022
25.533225,49.5,40000,5.85445612914076e-05,-785.3958680525884,-865.8647622698861,-747.0950207075675,-754.3823665057288,-804.8630039939435,0.5000789473684211,-0.14452133056190625,-6.894228272661151,5.50224954586764,0.9999999992946748,7,1.8,2.6056916564702988,0.17200000000000001,1.0123216,0.98769325,0.99999195,0.34656307,8.7053445e-07,0.000215
29.8059,50.0,40000,7.456377001117767e-05,-755.7023257215478,-822.4396811034547,-720.17694223214,-734.2865620014863,-765.2586317393394,0.4943947368421053,-0.2090355392770859,-7.029528225098796,5.566299139992042,0.9999999992817864,8,2.08,3.7660383880138397,0.168,1.0024402,0.99755347,1.0000025,0.34656125,2.217283e-08,0.00021
29.62655,49.0,40000,6.267089137537895e-05,-690.5553610742913,-751.0808945116438,-661.1902056057264,-678.2344883042101,-706.079549228156,0.49776315789473685,-0.1606207908747679,-5.927453263001199,5.516702739112727,0.9999999993205726,9,2.36,2.8982183188199997,0.16400000000000003,1.0052607,0.99416673,1.0000036,0.3465609,1.1958623e-07,0.00020500000000000002
31.572025,50.0,40000,4.7186104737001615e-05,-640.1083266133614,-694.0835325671601,-612.3931157055184,-628.7131356750712,-689.3809262685761,0.49436842105263157,-0.1453907782102735,-6.491965217650965,4.099877587820758,0.9999999993792569,10,2.64,2.6169600263237953,0.16000000000000003,1.0033212,0.99666005,1.0000097,0.34655166,1.448465e-06,0.0002
23.2263,49.5,40000,3.346116468157178e-05,-630.6223479114901,-683.3853501703657,-605.7664945933944,-620.668568501456,-686.913105003803,0.4968421052631579,-0.061209433021288555,-5.541640940719478,6.149634356010608,0.999999999117417,11,2.92,1.09575411118567,0.15600000000000003,1.004743,0.9952818,1.000004,0.34656742,3.4036825e-06,0.00019500000000000002
33.1271,49.5,40000,7.06907852191331e-05,-585.2401416534,-629.0876017264545,-562.465239384159,-572.321817075496,-633.2406660370365,0.49742105263157893,-0.1781570866645241,-6.687024751680702,4.464125840203428,0.9999999993177457,12,3.21,3.2027952671051025,0.15200000000000002,1.009392,0.9906315,1.0000013,0.3465482,5.8193773e-06,0.00019
20.787175,49.5,40000,2.442366706121615e-05,-545.5600184280141,-586.3388204665587,-524.9001768531223,-525.9735659055442,-579.8744881645395,0.4980263157894737,0.019862038755690467,-5.788231166720403,5.428869403504471,0.9999999990272684,13,3.5,-0.3836938082240522,0.148,1.0050141,0.9951211,1.0000184,0.3465623,2.1903359e-06,0.000185
23.835925,49.5,40000,3.000572451473042e-05,-516.602718572381,-554.2308034170169,-491.7123438959425,-490.35276916387926,-531.1810484651943,0.4973947368421053,-0.016757923545529723,-7.907606396298872,5.5109905729322834,0.9999999991473284,14,3.78,0.3060895027592778,0.144,1.0133691,0.9861917,0.9999923,0.34653962,6.359442e-06,0.00017999999999999998
22.92325,50.0,40000,3.068407550055877e-05,-488.01233333470486,-523.2587586810109,-465.2337316657386,-474.1033961221961,-515.1943571951132,0.4921052631578947,-0.016328581793645044,-5.46550962677446,5.734577579023074,0.999999999133487,15,4.06,0.2679343605414033,0.13999999999999999,1.0024194,0.99763185,0.9999939,0.3465457,3.8577068e-07,0.000175
25.2185,50.0,40000,2.6154309841283402e-05,-469.8341509059151,-498.5735174116698,-451.3793621060095,-466.81246214302126,-500.3984457872007,0.4925,-0.019832519256610254,-7.097708831399458,4.54321551917677,0.9999999992099564,16,4.34,0.35362561512738466,0.13599999999999998,1.0029435,0.9969747,1.0000058,0.3465357,5.461746e-07,0.00016999999999999999
26.800225,50.5,40000,3.0814214277166974e-05,-454.6151567162368,-481.1859948128551,-436.3571975888791,-456.79972772784237,-501.34623734575547,0.49097368421052634,-0.05503051236571647,-6.188332743893382,6.741134751049629,0.9999999991946065,17,4.62,0.9861169531941414,0.13199999999999998,1.0015107,0.99845856,1.000005,0.34653363,1.5771076e-07,0.00016499999999999997
25.862025,50.0,40000,2.1627557372037127e-05,-427.93158367113625,-451.5532850039746,-413.30067356762567,-427.81031300198276,-467.0393827524823,0.4916315789473684,-0.03729320796285638,-6.076281388901563,4.126259581586163,0.999999999230494,18,4.9,0.6435055898036808,0.128,1.0049934,0.9952518,0.99998486,0.346553,3.9166025e-06,0.00016
28.492875,49.5,40000,2.503119481384362e-05,-388.9139012161678,-410.7080185855281,-373.8582544682082,-387.9241382704319,-425.87877475091307,0.49707894736842106,-0.08107295725123267,-5.837468174038027,4.906374559751809,0.9999999992760717,19,5.19,1.4716584011912346,0.124,1.0043908,0.99551,0.9999973,0.34654352,6.2555154e-07,0.000155
30.362525,49.0,40000,3.2439796534354655e-05,-372.8436089819745,-396.3552193445834,-363.5973850896809,-371.1421242200152,-401.84651606044616,0.49823684210526314,-0.0839179534191483,-6.949666342344739,4.343081328826212,0.9999999992579556,20,5.47,1.5091941356658936,0.12,1.0046188,0.99564916,0.99998665,0.34653744,2.418827e-07,0.00015
23.97685,49.5,40000,2.1681229516520702e-05,-370.4285326423004,-384.19244603235086,-357.9242823501768,-354.58242691496173,-385.7618927155322,0.49605263157894736,0.015422530819860957,-6.393072252790696,6.248608638419744,0.9999999992369561,21,5.75,-0.29322008695453405,0.11600000000000002,1.0205877,0.9808422,1.000026,0.34656265,5.229511e-06,0.00014500000000000003
29.64075,50.0,40000,2.392496942928502e-05,-364.18633672922186,-373.9270789594455,-354.96907744965256,-349.9571790917447,-376.942057985311,0.49294736842105263,-0.05876438242308645,-7.677046758448573,3.996518593954476,0.9999999992482347,22,6.04,1.052155762910843,0.11200000000000002,1.004914,0.9952371,1.0000193,0.34655264,1.4426771e-06,0.00014000000000000001
20.56585,50.0,40000,1.9065519646239024e-05,-340.68503256192827,-349.8327374866557,-329.13118954442825,-328.022948682847,-355.662726472747,0.4916052631578947,0.0978031623451373,-8.231931967251539,7.980199662952563,0.9999999990909632,23,6.32,-1.7382259145379066,0.10800000000000001,1.0109053,0.9888248,1.0000278,0.34654307,1.9204915e-06,0.000135
24.0106,49.5,40000,2.2489454801727428e-05,-322.6480575433837,-334.85931209415503,-308.87826606906384,-305.93188151914256,-333.4391474024897,0.4916315789473684,0.0031502210406125506,-4.697959956381097,5.221952108517606,0.9999999990667121,24,6.6,-0.07461169781163335,0.10400000000000001,1.0071161,0.9932475,1.0000236,0.34653026,1.4037961e-06,0.00013000000000000002
23.420575,50.5,40000,1.4988062455239215e-05,-308.77033920939783,-314.487754069533,-298.80489200605933,-288.6901728026159,-318.6806380744747,0.4918947368421053,0.05123886744265848,-6.693484380695839,5.810932612872381,0.9999999991579501,25,6.88,-0.9267992614768445,0.1,1.0108671,0.9891627,1.000008,0.346521,4.5208006e-07,0.000125
20.377775,49.5,40000,1.2056230227340404e-05,-298.7746936230193,-300.9674573610102,-287.36615163873523,-275.2253963990829,-310.8197418234534,0.49323684210526314,0.1380891429047786,-6.165745152100277,5.84161136817036,0.9999999989269251,26,7.16,-2.5086648389697075,0.096,1.0051877,0.9949964,1.000004,0.34654054,1.476749e-06,0.00012
34.292575,49.5,40000,4.6524553308508505e-05,-295.97538725865525,-300.80425515078406,-287.2284925686388,-281.25891743301474,-315.06966026519444,0.49323684210526314,-0.11051607333225998,-6.0024575452136775,4.724581091045001,0.9999999993735975,27,7.5,1.9804915934801102,0.092,1.0170729,0.9837746,0.99998564,0.3465516,3.9997526e-06,0.00011499999999999999
