_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[4 1],[4 1]1 action taken,[4 1]adv,[14  2],[14  2]1 action taken,[14  2]adv,[1 4],[1 4]1 action taken,[1 4]adv,[3 2],[3 2]1 action taken,[3 2]adv,[18  1],[18  1]1 action taken,[18  1]adv,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
23.60738,46.0,100000,1.205401101045342e-05,47,0,-785.653973114696,1156,0,1194.8213663484983,1335,0,-771.7244468475558,27,1,294.79757098750184,4728,1,170.78878922498006,0.556631326265253,-0.010354814987875154,-7.8921084341158325,7.889240611123094,0.9999999982717607,11,5.99,0.49744601314887404,0.11200000000000002,1.0154744,0.96256804,1.0000037,0.34212753,1.0829457e-05,0.00014000000000000001
31.32139,45.5,100000,1.57969955641432e-05,157,0,-280.6590100142671,12,0,1747.9407126296226,1367,1,186.09361094036976,162,1,-781.651873649027,971,0,1078.2031701791518,0.5634326865373075,-0.03283841762940461,-8.126134956005485,6.583157435110884,0.9999999985508782,12,6.54,1.5617112126201391,0.10400000000000001,1.0230311,0.94804907,0.9999857,0.3413417,9.8344335e-06,0.00013000000000000002
22.42652,46.0,100000,6.90968670874655e-06,248,0,-293.08454358183957,380,0,787.0370162791531,2081,1,190.99113962065252,446,0,-115.48721206996788,1,1,-1421.7444624819102,0.5511802360472094,0.0030462926795671824,-8.076940677831878,6.534860560378449,0.999999998222599,13,7.09,-0.15603695367462933,0.096,1.052225,0.97804797,0.9999548,0.3430583,9.120117e-06,0.00012
23.62734,46.5,100000,5.725352015872807e-06,71,0,557.8953262477189,495,0,-2148.3683591185136,409,1,18.824758568293152,139,0,205.49916653481802,700,1,1457.9577997771055,0.5531106221244249,-0.0014791410616608618,-8.2295406509706,8.127808287393544,0.9999999983218669,14,7.64,0.05626564845442772,0.088,1.0283916,0.9365737,0.9999997,0.34170377,9.6429474e-05,0.00010999999999999999
25.02882,45.5,100000,7.937292830767635e-06,34,1,-1084.7040440170679,2951,1,4277.120097049582,2319,1,277.25629247167126,115,0,341.64227744127226,7134,1,935.4953406698321,0.562632526505301,-0.009404940329661472,-8.8610850312664,8.683755947860757,0.9999999983412005,15,8.18,0.476164307910949,0.08000000000000002,1.0426421,0.9776013,0.9999934,0.34172228,4.7673975e-06,0.0001
29.64415,44.5,100000,8.587136337564962e-06,32,1,-111.94787154997152,1479,0,-408.9186864594661,3061,0,-428.69156005802733,51,0,-429.2427769126526,485,0,-1387.846344379052,0.5656431286257252,-0.020650238501735977,-8.135024961898921,8.232037423892214,0.9999999985144671,16,8.74,0.9705487671308219,0.072,1.0873793,0.9626536,1.0000244,0.34198472,3.93992e-05,8.999999999999999e-05
31.54408,45.0,100000,1.1006601601737822e-05,137,1,-482.99433570424003,288,1,1108.4007283559863,1834,1,-33.52217427098394,129,0,-203.92558167243226,772,0,-2561.6464008802373,0.5649429885977195,-0.022371970012195104,-7.295299736400474,6.878661396828876,0.9999999985695901,17,9.28,1.0693102292716503,0.06399999999999999,1.0172317,0.97906727,1.0000552,0.34095302,3.1550157e-05,7.999999999999999e-05
24.37058,46.0,100000,7.657000108147765e-06,288,1,334.88628143882784,997,0,996.5131527371902,1506,1,86.05101409928818,371,1,-1215.4617951188288,142,1,-2727.347463359707,0.5632226445289058,0.0003077704392097792,-8.668248383778566,6.539534341667257,0.9999999983225516,18,9.83,-0.05589258694089949,0.05600000000000001,1.0073302,0.97982556,0.99999416,0.34141126,2.8632658e-06,7.000000000000001e-05
25.514,46.5,100000,6.697287278554964e-06,88,0,53.58897648789841,1899,1,780.3633621954533,1119,1,-84.41258128416277,22,0,590.2929103555703,5281,0,2009.9374837146534,0.566753350670134,0.01976156875056398,-6.621769180085621,30.90585351975105,0.9999999987459939,19,10.38,-0.9470317980740219,0.048,1.0637141,0.9706664,0.9999761,0.3419376,2.730756e-05,6e-05
27.59612,45.5,100000,9.310387470447104e-06,15,1,-634.0093224912982,644,0,-1884.165721464028,3756,1,53.18409540513102,21,0,-819.2691465733086,728,0,2517.4334143462575,0.562382476495299,-0.012142675429409236,-7.303607811403921,6.84337378118752,0.9999999984302099,20,10.93,0.5574073781026527,0.039999999999999994,1.0186689,0.99239045,0.9999965,0.3418812,2.1194335e-06,4.999999999999999e-05
24.73051,46.0,100000,8.609244264876106e-06,102,0,-9.42067666743165,854,1,-209.0302788138681,142,0,128.1311438531198,159,1,580.3639306884579,892,1,1549.0898382565103,0.5630526105221044,-0.0004636777621610276,-7.989433816581519,6.740884403124771,0.9999999983484551,21,11.48,0.05319395032711327,0.03200000000000001,1.0060008,0.98593295,1.0000165,0.34191963,3.6048511e-06,4.000000000000001e-05
28.02433,45.5,100000,9.901697166036461e-06,259,1,114.67936073492001,35,1,1338.6623501606393,794,1,-1197.8371552597519,334,1,465.7928804064835,1634,0,-3739.6399707914406,0.5626625325065013,-0.009698846382526959,-8.05298460959556,6.81762826255149,0.9999999984929184,22,12.02,0.496066922089085,0.024,1.0098792,0.99476606,1.0000007,0.34186155,1.6381836e-06,3e-05
24.38753,46.5,100000,9.476843494597583e-06,194,1,222.5800428720625,48,0,-445.48449544994344,331,1,-223.10656674752832,205,0,291.2096696564664,68,0,2000.2861521863874,0.5592118423684737,0.0012140347672781582,-7.7523058778892695,7.323573567875267,0.9999999983281388,23,12.57,-0.0421074063051492,0.015999999999999993,1.001542,0.99605745,0.99999315,0.3417478,3.6535968e-07,1.999999999999999e-05
24.31406,46.0,100000,7.410142660704682e-06,735,0,-106.79243975154849,250,1,2168.1773659842947,1967,0,284.83171096387576,782,0,282.6140872306585,347,0,-760.9865345670294,0.5635327065413083,0.0060781791547069135,-7.97494051262168,7.927037392982401,0.9999999983322008,24,13.12,-0.28329961840063334,0.01,1.0040385,0.9924538,1.0000086,0.3421941,2.8813378e-07,1.25e-05
24.40465,46.5,100000,8.03160018549417e-06,100,1,-291.7487219524752,1430,0,-148.82498743551884,130,1,499.03029943226176,83,0,-391.70780374422696,3138,0,1775.3802571405895,0.5659031806361272,0.008138388790803374,-8.689874612012622,7.124249377726249,0.9999999983105137,25,13.68,-0.3849984589032829,0.01,1.0023253,0.99740225,1.0000005,0.34186825,3.1721987e-07,1.25e-05
