_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_-2,adv2_-3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,adv_-1_diff,adv_-2_diff,adv_-3_diff,adv_first_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.8593,49,40000,-3,-4,-3,-3,-3.032554034,-4.041663465,-3.032554034,-3.032554034,-0.032554034,-0.041663465,-0.032554034,-0.032554034,0.062641553,0.508700435,-0.906269781,-4.803512653,0,0.999999999,1,0.25,17.17765605,0.193333333,1.1468439,0.7401899,0.9985142,0.34425268,0.00052272,0.000241667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.111325,48,40000,-95.89763976,-95.89763976,-95.89763976,69.94225677,-95.89753541,-95.89753541,-95.89753541,44.36229967,0.000104357,0.000104357,0.000104357,-25.5799571,0.046202039,0.534676734,-0.568921541,-3.50660502,3.2847536,0.999999999,2,0.44,10.78998703,0.186666667,1.0952317,0.9537075,0.9999465,0.34545708,5.17E-05,0.000233333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.300325,48.5,40000,-9.247947475,7.046587462,-24.85990751,-93.47578574,-6.864000475,-2.163118268,-21.63471945,-92.42126997,2.383947,-9.20970573,3.225188057,1.054515768,0.00754257,0.529076454,-0.216988867,-6.102480426,5.32996255,0.999999997,3,0.63,4.157312155,0.18,1.0711215,0.95954233,0.9998837,0.34586662,7.06E-05,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.335025,48.5,40000,-9.7027139,-9.7027139,-9.7027139,-97.82589705,-9.702137572,-9.702137572,-9.702137572,-44.74073952,0.000576329,0.000576329,0.000576329,53.08515753,0.007836376,0.525926296,-0.052182337,-3.62694891,4.06295492,0.999999997,4,0.9,0.965944198,0.173333333,1.0381836,0.93788815,1.0000179,0.34549668,3.37E-05,0.000216667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.815725,49,40000,7.979683316,4.162742932,4.162742932,32.22329573,17.98095823,16.72971546,-7.992593537,29.75872061,10.00127492,12.56697253,-12.15533647,-2.464575121,0.003835313,0.520851043,0.006150404,-3.197981138,4.516646112,0.999999997,5,1.16,-0.107938272,0.166666667,1.085505,0.9293767,0.99998933,0.3456666,0.000120855,0.000208333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0284,49,40000,24.00438842,34.28102856,-44.6748199,-23.53000486,45.54982131,26.70015371,-68.46571412,-23.53000486,21.54543289,-7.580874847,-23.79089422,0,0.003019619,0.514875744,-0.142288224,-7.945229261,3.169329873,0.999999996,6,1.42,2.695459776,0.16,1.0412384,0.92199093,1.0000609,0.34525228,6.79E-05,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.87455,48.5,40000,-130.3482504,-130.3482504,36.26455766,79.44232216,-130.3482504,-130.3482504,36.26398611,78.92638038,0,0,-0.000571552,-0.515941772,0.002186287,0.514225711,-0.079564906,-3.579710655,3.185425347,0.999999995,7,1.69,1.522472449,0.153333333,1.0587065,0.9467748,1.0000428,0.34567392,4.08E-05,0.000191667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.2005,48.5,40000,42.16485147,4.938105361,4.938105361,-32.59372767,54.84531338,2.968441426,7.005694256,-32.59314582,12.68046192,-1.969663936,2.067588895,0.000581854,0.002591683,0.518650933,0.218009681,-3.752583189,4.998093245,0.999999996,8,1.95,-4.129698157,0.146666667,1.0171579,0.982423,0.99998504,0.34537494,5.49E-06,0.000183333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.89335,48.5,40000,-1.133183015,5.605118327,-72.14167678,1.078048029,-1.133693277,5.604152208,-72.14213634,1.078326361,-0.000510262,-0.000966119,-0.000459565,0.000278332,0.00243464,0.511100555,0.052008852,-5.0418853,4.452756861,0.999999996,9,2.21,-0.991071394,0.14,1.0390724,0.96088403,1.0000741,0.34565678,2.39E-05,0.000175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.84055,48.5,40000,-30.68951742,2.287066545,10.10427239,7.216610085,-15.78692641,-13.1202468,-7.666449636,7.216051111,14.90259101,-15.40731335,-17.77072203,-0.000558974,0.002101107,0.509725486,0.107416655,-5.439464822,3.812955716,0.999999996,10,2.48,-2.076225661,0.133333333,1.0343745,0.92454207,0.99996847,0.34474742,3.19E-05,0.000166667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.065075,48.5,40000,19.96734243,19.96734243,19.96734243,54.84975987,19.96734243,19.96734243,19.96734243,45.19018416,0,0,0,-9.659575711,0.002562662,0.516900845,-0.15684829,-11.48751003,7.195656193,0.999999995,11,2.74,2.987788163,0.126666667,1.0083169,0.97940236,1.0000019,0.3452967,3.63E-06,0.000158333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.417325,49,40000,-5.167187675,-21.74702716,-5.167187675,70.11125291,-5.068636733,-21.74730907,-5.068636733,122.5819518,0.098550941,-0.000281916,0.098550941,52.47069888,0.002627896,0.515550778,-0.00939372,-4.070039105,4.20493144,0.999999996,12,3.01,0.184518985,0.12,1.045785,0.9560862,0.9999208,0.34557772,5.51E-05,0.00015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.216975,49.5,40000,-23.00013802,-23.00013802,2.049162337,-58.6813904,-23.00121396,-23.00121396,2.049162337,-69.00601609,-0.001075945,-0.001075945,0,-10.32462569,0.00222258,0.504450223,-0.09452073,-4.218555434,3.624093481,0.999999995,13,3.27,1.785320058,0.113333333,1.1296207,0.94135374,1.0000532,0.34557977,0.000160675,0.000141667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.46655,50,40000,-13.13029646,-21.38262744,-21.38262744,19.75915079,-13.13029646,-21.38319002,-21.38319002,27.20684683,0,-0.000562575,-0.000562575,7.447696039,0.002022595,0.49379969,0.078654912,-5.666654214,4.209734882,0.999999995,14,3.54,-1.510613762,0.106666667,1.0092708,0.9874628,0.9999795,0.34520411,2.89E-06,0.000133333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.968525,49,40000,24.2091141,35.21176595,-39.36248705,4.577206421,21.90519073,24.50799955,-71.61762026,4.577484705,-2.30392337,-10.70376639,-32.25513321,0.000278283,0.001815413,0.49779989,-0.100863431,-3.652800638,4.862666761,0.999999995,15,3.8,1.915744197,0.1,1.0501331,0.97880083,1.0000452,0.34551397,1.18E-05,0.000125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.614475,49,40000,26.59768276,-44.34913879,-24.04403514,-28.88414818,26.59733377,-44.3484673,-24.04306145,-17.47492787,-0.000348998,0.000671492,0.000973693,11.4092203,0.002523632,0.499674984,-0.139670754,-5.786118293,2.982306056,0.999999995,16,4.07,2.659258716,0.093333333,1.037546,0.9259585,0.9999731,0.34492457,6.46E-05,0.000116667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.254575,49.5,40000,-25.62825874,-25.62825874,-25.62825874,-16.02033288,-25.62865513,-25.62865513,-25.62865513,-16.01973612,-0.000396388,-0.000396388,-0.000396388,0.000596758,0.003598237,0.507950398,0.16156424,-4.974533072,4.10473665,0.999999996,17,4.34,-3.056882516,0.086666667,1.0154905,0.96998465,1.0000218,0.345314,5.11E-06,0.000108333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
