_AverageReward,_No_optimal_actions,Steps,v1_[1 0],v2_[1 0],v1_[0 0],v2_[0 0],v1_[2 0],v2_[2 0],v1_[3 0],v2_[3 0],v1_[4 0],v2_[4 0],v1_[1 1],v2_[1 1],v1_[5 0],v2_[5 0],v1_[2 1],v2_[2 1],v1_[3 1],v2_[3 1],v1_[4 1],v2_[4 1],u_advavg_diff,n_advavg_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
18.916875,51.0,40000,-10.686356691143693,-783.4118326475846,-24.2166941818335,-759.7931609834495,-2.0968819945138573,-828.2968369803681,-3.9098740739521634,-901.6913544646945,-4.285200065516615,-984.7803724337377,-0.09253501436826289,-799.4409921995634,-2.899257029981865,-1096.1583704897837,-7.702583591353136,-862.0072720509526,-8.289836849921214,-939.6289888330167,-6.88857646055426,-1018.8965201466013,890.3037905276615,822.7873375371216,0.02066907948661169,0.4824991249562478,-1.8313312578547103,-6.619293846586265,-0.21723836081609244,0.9999999986774158,13,3.98,34.80810558795929,0.148,1.0296649,0.98175865,0.99995476,0.3459663,3.1603574e-06,0.000185
22.381075,51.0,40000,-10.67049325506614,-774.9188327916843,-24.044476581413807,-751.4872274099703,-2.2628327927550766,-817.9402959802372,-2.857138351060799,-890.4540507722346,-4.207826337134331,-968.1525444932274,0.755394822891281,-793.4676574560555,-4.165030616034948,-1072.4498512469181,-8.131439880921373,-853.7534147055892,-9.273674721667897,-929.7270856014803,-6.824978557984808,-1009.5108554727194,879.0179319658968,825.7226989595413,0.028426238118613462,0.4737486874343717,-1.2296513761643382,-8.188568527020989,-0.08459433033114046,0.999999999209873,14,4.29,23.365644335746765,0.144,1.037183,0.9768621,0.9998047,0.3458863,4.8923495e-05,0.00017999999999999998
20.0973,51.0,40000,-10.13884184527032,-773.5920426559999,-24.20439664930711,-747.8642718930482,-1.8425772534944211,-816.9576373679708,-2.5414817520099233,-886.3860289183646,-3.660995321975419,-965.8400434236828,-0.705085201606659,-789.7185245931889,-4.06505580745548,-1074.7592373997584,-9.605314600934157,-852.7385486557148,-9.298195600305464,-921.8524972203263,-7.515026708628346,-1004.7340953426866,876.0865956729755,827.6600851195506,0.02378226648057763,0.4865243262163108,-1.5197941185604986,-7.388479214624586,-0.06260680097188273,0.9999999989316294,15,4.6,28.89066708087921,0.13999999999999999,1.059809,0.9679145,0.99994063,0.34594855,7.4980744e-06,0.000175
22.2822,51.5,40000,-10.084523805556607,-770.6632510272472,-24.43705500595288,-743.9271048942186,-1.6031101885850392,-811.4248062035483,-2.5544280923073996,-880.5193947487297,-3.7176367364795517,-962.9712077422639,-1.789031839333125,-791.8561169214156,-4.325987964556739,-1064.3438765657859,-8.756214325971209,-846.828823288176,-8.051331755737625,-920.9157913815576,-6.976073458340899,-1008.0940018711119,872.9248981471234,828.2168890476709,0.025771447176332504,0.48129906495324765,-1.254858598026885,-7.2842665119702295,-0.048176130684729306,0.9999999991845532,16,4.9,23.847183346748352,0.13599999999999998,1.1239531,0.95316666,0.99988025,0.34577653,2.4903431e-05,0.00016999999999999999
22.919675,50.5,40000,-10.416229298321111,-769.7035843035002,-24.125283501437263,-741.1602411689342,-1.843540585308127,-812.559707277196,-1.8943198239250014,-880.222289695873,-3.412457323639304,-959.0130455996994,-2.7280310254477524,-783.3099754100252,-4.391374049999443,-1057.3756065848193,-8.618053942985208,-841.7895638517987,-7.5464755810883375,-919.4067010780138,-5.91464098890102,-1000.4351302712573,869.4085439120065,831.2687059432525,0.028546448133573293,0.4878993949697485,-1.358515347674938,-6.256651684979494,-0.09239600135449948,0.9999999991651262,17,5.2,25.808825731277466,0.13199999999999998,1.0122298,0.9839043,0.9999656,0.34623134,2.077844e-06,0.00016499999999999997
21.046025,50.5,40000,-10.380004472695608,-765.3634729359464,-24.105922186494546,-737.3588822840107,-2.0746470795469993,-810.3329789378573,-1.5601757578628552,-876.8486060454976,-3.1904061617354644,-958.4250588464522,-2.502382450666895,-780.4160186775089,-4.500663856956834,-1064.7758677092158,-8.487820441963024,-842.0017359339292,-8.244740622855273,-914.2420055154969,-5.555332538919679,-994.4456701809135,867.360820149713,833.0927011859418,0.025895051151674994,0.488074403720186,-1.6109966825943511,-7.867136113299423,-0.11028314087736933,0.9999999988870697,18,5.5,30.612114667892456,0.128,1.0362866,0.9759878,0.99987996,0.34641463,3.318967e-05,0.00016
27.633825,51.5,40000,-10.811467958135587,-767.6028519774457,-24.277629287598952,-741.3199165566267,-2.399187743788737,-810.3547176509519,-0.6990937876735694,-879.0113487731186,-2.9317650490340763,-957.5675966541378,-2.3057834696961796,-781.2884835161583,-4.322176363763548,-1062.1092688112117,-8.200082835587157,-839.9164522370899,-8.807768477969379,-914.7245716652617,-5.175732996436435,-998.816020963287,868.2780540835605,837.0671330137923,0.02983662850148553,0.4849742487124356,-1.051323244091701,-6.666258047396276,-0.05325677752394208,0.9999999994418874,19,5.84,19.960076808929443,0.124,1.0410897,0.87622976,0.99987805,0.3446457,1.8313745e-05,0.000155
27.1438,51.0,40000,-10.630027433391644,-766.9148287169295,-24.39348792344333,-740.9649122483357,-2.552345344053031,-810.2617449077381,-0.5156568872553061,-875.7542189779932,-2.6589347869900166,-954.0836028783515,-2.421896676903297,-783.3628152742406,-4.404082868940742,-1058.2384912751456,-7.927568356046493,-837.6091631582772,-8.646050481026478,-911.5299445091597,-4.598723750547118,-995.7462996479707,866.5717247085544,839.528213758279,0.03482516972260825,0.49154957747887396,-1.2199339930893347,-6.491433406906785,-0.15031084695688865,0.9999999993632873,20,6.16,23.19095242023468,0.12,1.0391436,0.9749599,0.9999327,0.3463118,1.4168165e-05,0.00015
32.288225,51.0,40000,-10.593636863610255,-767.0679867537244,-24.213470547839446,-741.7599830326953,-3.1358133389729614,-808.3863310406773,-0.7606591351080146,-872.8986753851681,-2.491539856190102,-953.4492017613816,-2.1991803994967642,-784.1024732454258,-4.051744065986912,-1054.5989151350811,-7.444745869049733,-837.5615704065106,-8.403964440474116,-910.1031416493365,-5.05908559373469,-997.683444839537,865.9257883139074,843.6982885366564,0.042596393591414705,0.4958997949897495,-1.1879845080062967,-5.482394586415178,-0.08266533881963031,0.9999999994731518,21,6.47,22.562729001045227,0.11600000000000002,1.0091492,0.99216986,0.99996835,0.34634638,4.445131e-06,0.00014500000000000003
19.433825,49.5,40000,-11.038067967078291,-779.6448519105428,-24.57390536218953,-752.9290352972034,-3.6381725758038868,-821.9508523281219,-0.8847143056029905,-888.277853114422,-2.1056759341771127,-965.5334379276308,-1.659320724267502,-794.3307639168468,-3.8617423713066317,-1065.8946940405126,-7.024577718943828,-849.6540376477857,-8.167634143530433,-923.0526918005904,-5.876725852714349,-1010.8495887294782,878.328726975752,849.5737773009472,0.02315377602622392,0.5030751537576879,-1.68386680813683,-7.676505871310382,-0.30909550971136807,0.999999998854688,22,6.78,32.00898766517639,0.11200000000000002,1.0112491,0.98520666,0.99997646,0.34645358,9.4339293e-07,0.00014000000000000001
23.0637,49.5,40000,-11.242716021604986,-775.2683531851369,-24.191859864578493,-749.9591431648898,-3.633500335385734,-818.6890086027058,-1.2312418277939408,-884.1888926934396,-1.2822050620747558,-965.9927212169738,-1.51598706371042,-791.5910882593655,-3.9184538616641515,-1069.767341606938,-6.78605593166486,-849.2587523134588,-8.48613729292881,-921.8464195185979,-5.738222056150845,-1004.9730448754015,876.350838611935,849.8402307156923,0.030274698300928563,0.5033001650082504,-1.308199864799523,-7.24662100654306,-0.0986242221851972,0.9999999991770783,23,7.1,24.85403084754944,0.10800000000000001,1.0134522,0.9831312,0.999957,0.34641978,2.1314675e-06,0.000135
25.200875,49.5,40000,-11.119539075423623,-773.3449679305919,-24.14947439145862,-748.7297407324612,-3.578344369892076,-815.8906198879051,-1.6852057029356278,-882.7951057969481,-1.3906471674201155,-963.3733058063494,-1.3005851529084171,-787.7797417249557,-4.054270105766206,-1064.5074848935772,-6.45738141587722,-841.3284682801109,-8.357589132825384,-916.1402247795751,-5.1885476066904825,-1001.0796181378558,872.7687693849132,850.6749427462561,0.029206630088960035,0.5022001100055002,-1.263144069770369,-6.5248141362170005,-0.06766134658840438,0.999999999279334,24,7.42,24.02364206314087,0.10400000000000001,1.0111791,0.98713654,0.9999377,0.34634864,6.9078114e-06,0.00013000000000000002
