_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[12  1],[12  1]1 action taken,[12  1]adv,[11  3],[11  3]1 action taken,[11  3]adv,[2 2],[2 2]1 action taken,[2 2]adv,[16  1],[16  1]1 action taken,[16  1]adv,[7 4],[7 4]1 action taken,[7 4]adv,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
23.97191,48.0,100000,5.939068126201694e-06,635,0,-1219.6021460190277,913,1,94.1770080113933,148,0,-286.3697879587606,598,1,1216.5381863069315,1464,1,636.5881760360844,0.5549909981996399,0.0027319607814850957,-8.436957220507693,6.732898521428513,0.9999999983198401,28,15.44,-0.11071701138280332,0.088,1.0176545,0.9735758,0.9999789,0.34289312,2.158678e-05,0.00010999999999999999
24.35635,47.0,100000,5.716884017211045e-06,294,0,1156.2561634195642,228,1,-917.226253999251,177,0,-1736.7795023999388,270,0,1606.770045425675,876,0,-681.8430147814722,0.559881976395279,0.004405389388297844,-7.552899159927563,8.095336195956108,0.9999999983007182,29,16.1,-0.23212103685364127,0.08400000000000002,1.0203152,0.9876657,0.99998367,0.3431848,7.274027e-06,0.00010500000000000002
25.93787,46.5,100000,2.2888726892226805e-05,15,0,2725.259743963948,607,1,-153.87224267921158,162,1,171.02797463951828,2519,0,232.88798462754886,598,1,-1529.3915296538112,0.557001400280056,0.003258090464571703,-8.075666721234821,14.147871324727163,0.9999999984115782,30,16.78,-0.17459813365712762,0.08000000000000002,1.0878911,0.9465919,0.99998736,0.34343466,4.7316455e-05,0.0001
23.20588,47.0,100000,8.948587971449667e-06,678,1,208.49033922803216,1479,1,191.270914213153,115,1,315.791406386364,1574,0,1410.093961578143,259,1,-479.28646881710995,0.5541708341668333,0.00601172168971068,-7.486697317800345,6.579514524711026,0.999999998252116,31,17.44,-0.2700115239713341,0.07600000000000001,1.044981,0.97216296,1.0000075,0.34377763,1.1325769e-05,9.5e-05
23.12857,47.5,100000,8.862989285221548e-06,254,0,952.194023906038,268,1,-1902.5603405271086,796,1,-128.09573480428628,2234,0,-1522.5020719188094,437,0,1269.6065763190693,0.5502900580116024,0.011064197960638178,-9.776486526177138,8.719322069823027,0.9999999982423886,32,18.12,-0.5490077496506274,0.072,1.0303957,0.95975703,0.9999324,0.34262115,0.000106047,8.999999999999999e-05
24.6413,47.5,100000,1.222490015841187e-05,1411,1,1035.2422733086462,3072,1,1262.0103249730187,10,0,139.33203832766276,458,1,-5166.9515179788405,51,1,-456.0876676110719,0.5634026805361072,0.003369992897742581,-9.220447408643814,6.324458283874249,0.9999999983242042,33,18.8,-0.14297878509387374,0.06799999999999999,1.0222954,0.9819962,0.9999631,0.34328222,3.7197125e-05,8.499999999999999e-05
24.95525,47.0,100000,1.0062083867508043e-05,1918,0,1330.775050878124,1811,1,-451.05070794186736,799,0,280.8164865142923,120,0,-2033.7582560159765,2072,0,-99.6811849266787,0.5561612322464493,0.00972704372806988,-7.00844317094117,9.21708566049859,0.9999999983378304,34,19.35,-0.4288853381294757,0.06399999999999999,1.0435622,0.97637194,1.0000119,0.3438638,3.420166e-05,7.999999999999999e-05
28.74674,47.0,100000,2.3825347441260868e-05,93,0,1374.6126931084066,168,0,-230.73358681230582,12,1,349.42535412732605,276,0,701.4752630001537,198,0,-3110.9990047038805,0.5520204040808162,-0.01286456510925173,-8.114223216578734,6.761297882975647,0.9999999984665937,35,19.91,0.5958652039989829,0.06000000000000001,1.0575724,0.96347237,0.99998385,0.3442201,3.5862093e-05,7.500000000000001e-05
26.24077,47.5,100000,1.0364572293957122e-05,116,1,1565.735857564268,157,0,-1030.1204347145574,24,1,229.27418593038232,362,1,2522.2240885135025,2624,1,1044.6574634527424,0.545499099819964,-0.006241159155236753,-6.7839436418775145,6.384071639613506,0.999999998365831,36,20.47,0.3284416045062244,0.05600000000000001,1.0116394,0.98290336,1.0000056,0.34411448,5.22608e-06,7.000000000000001e-05
24.03875,47.5,100000,6.556954067498738e-06,1558,1,291.9300738544766,890,1,425.93445324826206,1154,1,384.27199031745295,753,1,-3058.1359988728027,1269,0,998.3894502769049,0.5451890378075616,0.00995749358003815,-7.384190593868271,6.506323643413819,0.9999999982864826,37,21.03,-0.4666514676064253,0.052000000000000005,1.0088147,0.98694396,0.9999837,0.34403154,1.0113695e-06,6.500000000000001e-05
