_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
29.44568,49.0,100000,0.015538637212117437,0.5083001660033201,-0.9726666293110433,-6.474093077515154,0.9131485886262904,0.9999999201805694,-2133.496413758345,-13895.564925792572,0.0,6173575.099987313,1,1.84,46.507620453834534,0.19753086419753085,1.2852768,0.65618193,0.9996817,0.3458152,0.0007051352,0.0002469135802469136
29.00337,50.0,100000,0.015795435620841652,0.49567991359827196,-0.9538176906532247,-6.045739369638867,1.277904056386984,0.9999999212417322,-2074.06136733541,-13077.985476301526,0.0,6289248.9280392835,2,3.42,45.38888198137283,0.19506172839506175,1.2736363,0.7988074,1.0000088,0.34421876,0.0028773088,0.00024382716049382717
24.82513,48.0,100000,0.014144841185763013,0.5402408048160964,-1.0300983095220382,-8.612648193849378,1.1047438805900445,0.9999999050301593,-1703.931208688163,-13313.334685318054,0.0,4211743.90781208,3,4.99,49.17774975299835,0.19259259259259262,1.3536191,0.7755017,1.0000612,0.345116,0.001419123,0.00024074074074074075
23.9868,51.0,100000,0.01322293239050626,0.5237304746094922,-0.94980148399913,-7.2180046785088505,1.7241089567319106,0.9999999092074282,-1650.6698375289272,-13664.771441617368,0.0,3840138.0551189515,4,6.54,45.33477181196213,0.19012345679012346,1.1685095,0.80308485,1.0001644,0.33621845,0.0047348803,0.00023765432098765433
27.96485,51.0,100000,0.01478024627545094,0.5742614852297045,-0.9737873068896712,-5.842645336056308,1.1527757776616647,0.9999999187395544,-1975.793900294993,-12747.311336343348,0.0,6494635.05813809,5,8.13,46.52863270044327,0.18765432098765433,1.1793952,0.7614393,0.9999997,0.32096577,0.003846628,0.00023456790123456788
28.3367,49.5,100000,0.016413324220118784,0.631282625652513,-0.9668377932878202,-5.985126428999714,1.6180150271345608,0.9999999196669163,-2003.1057956200332,-12306.204348987992,0.0,6120431.87926986,6,9.72,46.21738362312317,0.1851851851851852,1.117092,0.7564809,0.9998726,0.31640273,0.00050737115,0.0002314814814814815
27.04504,49.0,100000,0.014551596982484424,0.623912478249565,-0.9198912533028196,-7.434747503378772,1.8051728570392278,0.9999999210570305,-1902.2154144692538,-15404.95731594561,0.0,5609340.054280452,7,11.31,43.94352346658707,0.18271604938271607,1.2366364,0.74463546,0.9994721,0.3047326,0.0013911419,0.00022839506172839507
26.29382,51.5,100000,0.014687689166891508,0.628802576051521,-0.9654420286262569,-7.555839391197796,2.039540311522262,0.9999999117780812,-1854.3145158697812,-10162.489621459004,0.0,3530840.075337936,8,12.91,45.95380741357803,0.18024691358024691,1.2386103,0.72859985,0.99910516,0.2922218,0.0024977685,0.00022530864197530865
28.00581,48.0,100000,0.016034204893268802,0.6680033600672013,-0.9397286265955024,-6.7066023928278105,2.5310484121103354,0.999999921940897,-1975.029872403361,-15633.875763536807,0.0,5763145.262233128,9,14.51,44.88067710399628,0.17777777777777778,1.4069486,0.7905479,0.999655,0.30104747,0.0033558947,0.0002222222222222222
145.11664,30.5,100000,0.029023632720566104,0.3148462969259385,-1.01460008069704,-4.270497247881398,0.2295046273222836,0.999999983330481,-11931.06200025955,-47788.267370625086,0.0,147634629.72002935,10,16.26,48.637818932533264,0.17530864197530865,3.9137285,0.7939138,1.0001469,0.1830294,0.0059256325,0.00021913580246913581
44.67937,43.5,100000,0.014665375187279717,0.41637832756655135,-1.0488135419255795,-5.218487668236479,2.1085112333370954,0.9999999446202975,-3478.4903220102287,-16641.563198857286,0.0,13741539.142089378,11,17.99,50.180605828762054,0.17283950617283952,1.1590667,0.74779516,0.99988586,0.2796815,0.0025668193,0.0002160493827160494
32.28293,49.0,100000,0.013542274836020237,0.5255505110102202,-0.9702486534865596,-5.747050674349798,1.1903667490588468,0.9999999293508539,-2380.632372846029,-14071.578036107943,0.0,8104846.327085459,12,19.62,46.40455758571625,0.1703703703703704,1.3329649,0.8012234,1.0001552,0.3115472,0.0036075325,0.00021296296296296298
27.01584,52.0,100000,0.012308650892269984,0.47791955839116784,-1.0751530347540488,-5.754607034505858,1.480984277027248,0.9999999076170132,-1952.2180936026034,-10201.76166025983,0.0,4034529.6958411415,13,21.26,51.42109405994415,0.16790123456790124,1.288003,0.788281,0.99988765,0.31117383,0.0018849531,0.00020987654320987653
