_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
22.4128,50.5,100000,0.0556422442692836,0.4792691707668307,-1.0304372931333445,-6.235438520844299,1.749103830164153e-15,0.9999999689871524,1,0.57,49.414681792259216,0.196,1.1165386,0.9102295,0.9998499,0.34620187,0.00013526657,0.000245
23.68474,49.0,100000,0.0026245158711246616,0.48953958158326333,-0.05374254669209328,-4.587324316064419,4.369970926482474,0.9999999970691565,2,1.12,2.5419931858778,0.192,1.1568561,0.75408894,0.9998793,0.34512264,0.00047668754,0.00024
23.9131,51.0,100000,0.00034305487824471477,0.4720388815552622,-0.03949375744187269,-4.342930605389843,10.28106812119521,0.9999999968912414,3,1.69,1.8942986326292157,0.188,1.0391229,0.96259475,1.0000085,0.3448275,2.1677495e-05,0.000235
26.74554,51.5,100000,0.00011596930793146514,0.47221888875555024,-0.030815584659432016,-4.3677141974651015,11.177359035086747,0.9999999970897916,4,2.34,1.4577665184624493,0.18400000000000002,1.0642136,0.87067956,0.99998057,0.34301147,0.00031801383,0.00023
26.8366,52.5,100000,8.022680499186928e-05,0.45975839033561344,-0.024245554203685828,-4.511517681967714,15.673971307267449,0.9999999970914842,5,2.93,1.1160013289190829,0.18000000000000002,1.2187178,0.8318571,0.9999782,0.34364867,9.877738e-05,0.00022500000000000002
26.91731,51.5,100000,5.144044339939339e-05,0.45864834593383735,-0.03327825921669448,-4.755104577734336,4.336858860918368,0.9999999970323513,6,3.54,1.6146047979127616,0.17600000000000002,1.1209124,0.9032883,0.99995196,0.34264034,9.601087e-05,0.00022
32.16592,52.5,100000,4.880879587619724e-05,0.44906796271850874,-0.035545527006093945,-4.6183052024405855,4.304568903059219,0.9999999973069721,7,4.16,1.6405524155125022,0.17200000000000001,1.2118489,0.81661785,0.9999068,0.33915946,0.00045172518,0.000215
27.87534,53.0,100000,2.8119054811967647e-05,0.43690747629905197,-0.02477951987342805,-4.96080230472723,4.57572903614862,0.9999999971163284,8,4.76,1.1663222826318815,0.168,1.2014176,0.93681633,1.0000019,0.34304172,0.00030326055,0.00021
26.59566,52.0,100000,2.5561138222717822e-05,0.45222808912356494,-0.020315183474771726,-5.183654575226371,4.754189907721263,0.9999999970570732,9,5.36,0.972855122294277,0.16400000000000003,1.0723605,0.7749537,0.9998687,0.3389791,0.0007809573,0.00020500000000000002
21.65415,52.0,100000,1.7321254725283437e-05,0.4346173846953878,-0.004552588185695376,-6.042584330586967,5.604408827556989,0.999999996611014,10,5.93,0.21317425416782498,0.16000000000000003,1.0850251,0.710362,0.99982303,0.33706594,0.00050994597,0.0002
21.97086,53.0,100000,1.6546653920463955e-05,0.4141465658626345,-0.0058268808419381325,-6.038413725502675,5.47622912948653,0.9999999966712181,11,6.46,0.23120143730193377,0.15600000000000003,1.1906201,0.7916394,0.9998817,0.33190086,0.0008516549,0.00019500000000000002
23.64906,54.5,100000,1.7192999008414558e-05,0.3891755670226809,-0.003499942775636493,-5.541247531317525,5.263989046700469,0.9999999968420922,12,7.0,0.16664550406858325,0.15200000000000002,1.0969762,0.81743014,1.0000451,0.32782906,0.00041446678,0.00019
24.91304,54.5,100000,2.139728476378516e-05,0.3793151726069043,-0.010890065964787792,-5.3140427019957155,4.947025084788776,0.9999999969291435,13,7.53,0.5227037239819765,0.148,1.0835634,0.7983618,0.9998283,0.3269039,0.00022650117,0.000185
22.07393,54.5,100000,1.7871897394543182e-05,0.375805032201288,0.0008503113822805108,-5.5867546106034025,5.160902134629399,0.9999999966609864,14,8.07,-0.07090098829939961,0.144,1.1374785,0.8287738,1.0001907,0.3240795,0.00044750058,0.00017999999999999998
26.07351,55.0,100000,1.8828401960886857e-05,0.3644545781831273,-0.010821950381622203,-5.07280894335243,4.71990730854,0.9999999969693522,15,8.61,0.5100367789855227,0.13999999999999999,1.0752735,0.79930055,0.9999683,0.3220991,0.0002479951,0.000175
23.68498,54.5,100000,1.887568911361678e-05,0.3578543141725669,0.013024225563369728,-5.138995885152963,15.337650353230954,0.9999999968514772,16,9.14,-0.6288641107967123,0.13599999999999998,1.2222791,0.8577137,0.99971926,0.32907867,0.0005501045,0.00016999999999999999
26.04672,57.0,100000,1.5917088700556872e-05,0.36680467218688745,-0.0019024013132413868,-4.973305426085346,5.9307394612265245,0.9999999969567156,17,9.68,0.0681895175948739,0.13199999999999998,1.1330763,0.88395804,0.9999725,0.3225412,0.00018527384,0.00016499999999999997
24.29091,55.5,100000,1.3930595351869533e-05,0.36987479499179965,0.005213206953002412,-5.251411545739236,7.517518528989623,0.9999999968271099,18,10.22,-0.2664884307887405,0.128,1.0632603,0.81180555,0.99996585,0.3214384,0.00017553358,0.00016
27.37751,56.5,100000,1.9416881394313104e-05,0.359214368574743,-0.011193862145206504,-5.124009898863937,4.735663524095102,0.9999999970024956,19,10.76,0.5203929450362921,0.124,1.1104487,0.797513,0.99996877,0.32086724,9.900184e-05,0.000155
27.19576,56.5,100000,1.596336687483917e-05,0.36213448537941517,-0.002595902718340746,-4.988682873263731,8.515971671861992,0.9999999970791582,20,11.3,0.13352557364851236,0.12,1.1035163,0.8419335,1.0000405,0.31713778,0.00036492426,0.00015
24.34545,57.0,100000,1.2320438122004797e-05,0.35075403016120643,0.006102585469992006,-5.392575282505647,6.021368570299989,0.9999999968519933,21,11.84,-0.3033602377399802,0.11600000000000002,1.0503767,0.90027565,0.99993867,0.31661776,3.886835e-05,0.00014500000000000003
26.65978,56.5,100000,1.4679994141779555e-05,0.3511240449617985,0.00138726028315742,-5.162278590853249,8.862002929244353,0.9999999970196302,22,12.38,-0.06912992871366441,0.11200000000000002,1.0828334,0.9139769,1.0000576,0.3203833,0.00015454709,0.00014000000000000001
21.87642,56.0,100000,1.0683125136103922e-05,0.35692427697107887,0.006434522732091999,-5.847661002482355,5.444865970633357,0.9999999965740018,23,12.92,-0.2832096798811108,0.10800000000000001,1.0476635,0.94509065,1.0000014,0.3219297,2.9490811e-05,0.000135
30.8681,58.0,100000,1.6061872565465805e-05,0.359224368974759,0.010449729898216124,-4.261195688614865,25.8086136637858,0.9999999975760202,24,13.47,-0.49463499523699284,0.10400000000000001,1.1304212,0.86343396,0.99998283,0.3166465,0.00020894172,0.00013000000000000002
25.61968,56.0,100000,1.999509966868879e-05,0.359844393775751,-0.002958198151995458,-5.456726784542144,5.041622920556804,0.9999999968663581,25,14.01,0.11368818581104279,0.1,1.1046371,0.8644099,0.99999666,0.32203937,0.0001110655,0.000125
25.69775,57.0,100000,1.5936705965014587e-05,0.36019440777631107,-0.0021676625860729136,-5.354048909294942,5.096989317414088,0.9999999968928167,26,14.55,0.12351397378370166,0.096,1.0667882,0.951361,1.0000203,0.32288843,0.00014743555,0.00012
25.20179,58.0,100000,1.1766065704580083e-05,0.35880435217408696,-0.004205589319730597,-5.398909752289042,5.00871932193015,0.9999999968461496,27,15.1,0.21910549642052501,0.092,1.0595002,0.8930408,0.99991673,0.31601623,0.00014214664,0.00011499999999999999
24.4999,57.0,100000,1.322144999452594e-05,0.36283451338053524,0.005589437418818906,-5.6591658342349564,10.12617618292033,0.9999999968144779,28,15.64,-0.2632299151737243,0.088,1.1068914,0.94097143,0.99993587,0.3240005,0.00012119532,0.00010999999999999999
23.4811,57.5,100000,1.143039284880969e-05,0.3687247489899596,0.002599092244096657,-5.246715575178155,4.848876714907301,0.9999999967110456,29,16.18,-0.14550415705889463,0.08400000000000002,1.0919783,0.8880942,1.0000262,0.31958732,0.00029007133,0.00010500000000000002
27.10911,57.0,100000,1.5256122743752768e-05,0.36207448297931916,-0.007608274381572326,-5.303015237124049,4.879934866320957,0.9999999969951513,30,16.73,0.35813312348909676,0.08000000000000002,1.0939922,0.9096012,0.99988663,0.3245057,0.00025426614,0.0001
26.56935,58.0,100000,1.189212887962575e-05,0.36603464138565545,-0.0059272921482400355,-5.279718411451491,4.876670475283185,0.9999999969777064,31,17.27,0.2672704135766253,0.07600000000000001,1.0834152,0.9053828,1.0000665,0.32471868,0.00023849423,9.5e-05
