_AverageReward,_No_optimal_actions,Steps,v1_[1 0],v2_[1 0],v1_[0 0],v2_[0 0],v1_[2 0],v2_[2 0],v1_[3 0],v2_[3 0],v1_[4 0],v2_[4 0],v1_[1 1],v2_[1 1],v1_[2 1],v2_[2 1],v1_[5 0],v2_[5 0],v1_[3 1],v2_[3 1],v1_[0 1],v2_[0 1],u_advavg_diff,n_advavg_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
34.72675,49.0,40000,-3.032557647080339,-257.47366396062006,-0.05299600130275194,-88.52321819830435,-6.015028155026307,-423.1768058914637,-9.017045518236182,-567.6784404038438,-12.011027352756656,-705.5710236408858,-4.024786345436909,-348.3274679520947,-7.02239117247544,-502.85994560828897,-14.995966925254233,-855.6783173580245,-10.025219391938796,-719.8637476211957,-1.0454503278945282,-223.29478782514872,462.5204949622468,231.27738934954377,0.040026784771163434,0.5044502225111256,-0.8776298452753851,-4.710638460980385,0.0,0.9999999993186942,1,0.25,16.632533133029938,0.196,1.0116032,0.9865694,0.9999576,0.3465267,3.8525004e-06,0.000245
26.63695,49.0,40000,-23.10871745420512,-1397.9149536517411,-67.92169110193214,-1322.9292002509692,9.55683839071145,-1401.5553416475218,15.525755481794821,-1407.2738187792868,3.7075675308037486,-1480.3180326837455,-4.791652546967497,-1480.4157211173833,-14.852234968344254,-1515.2471823871613,7.70386479948726,-1806.1813226963018,-28.942000468960206,-1554.201867613225,-42.94704615595604,-1339.814507011138,1455.9782631344908,1080.8674505820968,0.002500653225722759,0.5017500875043752,-1.1992925777189054,-7.203409343585914,0.3213302612071215,0.9999999997166846,2,0.44,22.777994871139526,0.192,1.0258384,0.9704207,0.9999589,0.34649673,8.451462e-06,0.00024
32.193975,49.0,40000,-20.19147253430443,-1745.7222088929607,-62.22961360493583,-1730.02524997653,7.753922211001542,-1785.7682087985822,10.616493293937483,-1854.8488701863894,4.753050284618563,-1937.9067878071883,1.7139667610914475,-1818.1633494676546,-5.149807989418207,-1857.68920941438,7.4226863324556644,-2168.3394491121594,-11.940793116651001,-1944.741216272321,-36.18683203941333,-1814.3388036687395,1855.4104953195285,1563.734151872968,0.00045885572067128804,0.5049502475123756,-1.2501276343346934,-5.818847446763184,-0.24857627615745903,0.9999999997708715,3,0.64,23.710615634918213,0.188,1.0278469,0.96918035,0.9999359,0.34648666,4.3911983e-05,0.000235
25.76515,49.5,40000,-17.444424329826692,-2170.1111260323487,-55.7164917540544,-2148.890948361584,6.301386186416709,-2190.231386831194,6.798488761453395,-2300.372171106224,4.581063498914809,-2405.317232475455,6.98322247027325,-2176.982347702305,1.9639009335439341,-2247.9042109088705,5.5972184405229894,-2642.896449230833,-1.1422981956385656,-2344.5059167904583,-28.703485762580407,-2111.276672981151,2266.770704266945,1962.1637564509233,0.0001834458196773904,0.496174808740437,-1.6894503191916783,-7.587941885257712,-0.6783419600134574,0.9999999996505979,4,0.9,32.07236850261688,0.18400000000000002,1.0131283,0.9895124,0.9999318,0.34649548,4.21622e-06,0.00023
24.851275,49.5,40000,-13.775385630767438,-2473.282235485778,-48.52912551032621,-2466.311401270245,5.27863387467257,-2461.4520258684706,6.238210455054983,-2534.0947046922815,1.649524118627677,-2628.4393463909482,7.478960338576686,-2535.9277618158426,4.594699919771768,-2559.1106086504124,3.9677919188586808,-2840.13651138033,1.0446485423735785,-2601.853303170823,-25.156744690100904,-2522.6698169720744,2556.6068929033945,2276.197856350257,0.00012305594465588073,0.4943247162358118,-1.7798291622936466,-8.369806647877503,-0.848508801646569,0.9999999996446668,5,1.17,33.82308304309845,0.18000000000000002,1.0268447,0.9704237,0.99996364,0.34643164,3.982754e-06,0.00022500000000000002
26.459925,50.5,40000,-11.270295090143705,-2644.1778092883287,-41.591551666244406,-2614.831175464235,4.980085377860316,-2671.4192545437027,4.714184556765662,-2744.7280008391167,-0.14162820440123638,-2821.174765894998,6.818861724556766,-2661.3447148943605,4.7072396946582735,-2726.241876077953,3.426697806821791,-3007.698575899869,-1.1556714907679335,-2810.4322187637367,-21.27279965170079,-2650.7515585842793,2730.2015073307984,2503.8298026649018,7.117120007924541e-05,0.4932996649832492,-1.9023711479435665,-8.149120162166222,-1.0487471502832277,0.9999999996454141,6,1.43,36.145830512046814,0.17600000000000002,1.018408,0.9825616,0.9999529,0.34645247,5.015063e-06,0.00022
24.27,50.0,40000,-9.59257831769245,-2854.9318784406755,-37.2783011667521,-2829.6852376261277,3.747445547696758,-2887.768152996596,2.7827258593488358,-2983.1931437352496,1.237657219157986,-3096.57414303253,7.151319393967351,-2856.5210625078507,4.889670889849154,-2934.744450203958,3.793706017809437,-3248.9529113670847,-2.676249310989015,-3007.9931734119164,-18.393349848728093,-2795.713651361889,2945.1739850967547,2715.356004707911,4.652794263538199e-05,0.4970998549927496,-2.2256383760290186,-7.680524302962464,-1.4352272586193189,0.9999999995810606,7,1.7,42.30394196510315,0.17200000000000001,1.0259662,0.97937644,0.99977916,0.34634304,3.9399067e-05,0.000215
26.422775,50.0,40000,-8.276385892651758,-2990.5411024060745,-33.676989073376625,-2985.775074967755,2.9726019129013697,-3004.997039158393,1.8472583319812865,-3082.342143324753,1.498028411358873,-3198.475590550732,7.065041232102404,-2978.19023491946,5.082637177522106,-3052.8703436310157,3.8300840988240514,-3356.657517456256,-4.707141349980503,-3158.4690611058495,-16.38830408706156,-2943.317312592975,3071.0882250874884,2878.9615876360867,4.656022150306555e-05,0.48994949747487376,-1.9392492842050024,-8.526447888267814,-1.2017283157856822,0.9999999996631295,8,1.98,36.8463671207428,0.168,1.0240065,0.9614212,0.99994034,0.34617177,1.0272541e-05,0.00021
24.262175,49.5,40000,-7.2613384079587355,-3126.2319693079007,-30.65098463097587,-3089.452817885166,2.308609990634024,-3160.4626283268076,1.08613377870229,-3221.045050966191,1.4814724656372475,-3334.6593236206704,7.394428719163009,-3101.735582358709,5.4247100683844955,-3170.7615842637942,2.733432655031376,-3501.7572037365994,-6.219878843661799,-3305.0061085625716,-14.97899899943378,-3088.3004565191472,3206.073031234308,3024.457612528403,4.3474174143738266e-05,0.49084954247712387,-1.7086027439520248,-10.563205262528074,-1.131401649806271,0.9999999996973218,9,2.26,32.462140679359436,0.16400000000000003,1.0231612,0.96793973,0.99992216,0.34621775,1.8235809e-05,0.00020500000000000002
19.6348,49.5,40000,-6.896023887976023,-3251.969847460593,-28.16666208005213,-3233.4895466496464,2.847127325405304,-3295.116816800632,-0.022703299074152205,-3371.0534454806607,1.8168414062692806,-3492.960665246937,7.717458115501854,-3291.8892262416134,4.3087847718286065,-3385.6921738486676,1.1571533818353519,-3646.094560493993,-6.433670014716138,-3500.092009548422,-13.849328061844997,-3230.264885647795,3366.1102155076137,3170.039488701896,2.766185038272586e-05,0.48762438121906093,-3.3444015509815928,-11.021244486848065,-2.489121614428085,0.9999999993536788,10,2.56,63.510311126708984,0.16000000000000003,1.0204134,0.9693794,0.9999391,0.34612614,1.51758095e-05,0.0002
