_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,v1_[1 0],v2_[1 0],v1_[0 0],v2_[0 0],v1_[2 0],v2_[2 0],v1_[3 0],v2_[3 0],v1_[4 0],v2_[4 0],v1_[1 1],v2_[1 1],v1_[5 0],v2_[5 0],v1_[2 1],v2_[2 1],v1_[3 1],v2_[3 1],v1_[0 1],v2_[0 1],uavg_diff,navg_diff,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr

37.68435,44.5,40000,0.025688949841254353,-919.1060291452114,-919.1060291452114,-265.97329858344784,-265.97329858344784,-1457.3636033071155,-1457.3636033071155,-2085.4887375268586,-2085.4887375268586,-2756.3743633845584,-2756.3743633845584,-1133.753585510275,-1133.753585510275,-3556.191254522414,-3556.191254522414,-1625.5100639496197,-1625.5100639496197,-2390.1783304152464,-2390.1783304152464,-512.9556483728766,-512.9556483728766,0.0,-835.2400900560827,0.5587779388969448,-0.9386086870426057,-5.277688964421794,9.515988637081057e-05,0.9999999502105417,1,0.89,17.59659695625305,0.196,1.4767492,0.83347636,0.99409854,0.34595963,0.0020080064,0.000245

26.517425,50.0,40000,0.0013165267906036454,-1897.1465760823098,-626.417345948562,-1387.6814100560223,-186.278882672024,-2205.5442574302856,-1012.0235854720046,-2636.8259443750107,-1381.7230908620113,-3231.0384831129054,-1906.9857345977252,-2027.0120439020104,-677.5412589105835,-3889.667187910328,-2390.8460620393403,-2462.2845720738046,-1097.3803002297436,-3037.611317613997,-1596.0405729977592,-1671.9522145580713,-429.9129982962792,-1314.1614175088712,-1973.3492471981444,0.4896744837241862,-0.07857478571230168,-6.716717229398381,4.449785703221932,0.99999998344424,2,1.12,1.3400479815900326,0.192,1.1160835,0.8887125,1.0000112,0.34558216,0.00040419874,0.00024

27.2143,51.0,40000,0.0003324667115495321,-2978.963273162142,-546.3978707292639,-2614.904515835601,-166.20347715602335,-3095.9750972298093,-865.8735339131503,-3390.9777129430868,-1229.3359247014457,-3903.2025643729407,-1685.2271645746553,-3036.793819453154,-642.6822304501504,-4439.151175456851,-2121.4687547535004,-3317.750265295259,-993.9578326013035,-3737.5613733646023,-1404.527777893611,-2803.9543304397503,-392.3947679538387,-2327.1164792826253,-2835.0767047509794,0.46979848992449624,-0.10465532188202303,-6.211368480636952,5.285411265001571,0.9999999705145727,3,1.35,1.8746215179562569,0.188,1.1113411,0.8746868,1.0001817,0.34341672,0.00065155816,0.000235

22.70665,50.5,40000,0.00011601058239249531,-3784.1773598154796,-464.1668601880599,-3565.8884969787628,-149.63068816408241,-3862.629916228318,-763.2279609491558,-4089.1977751790423,-1070.946901248121,-4499.556643483268,-1443.1242697011721,-3839.868027619092,-587.0329534656611,-4939.291283902311,-1836.3195578750067,-4049.488787014239,-944.0132863588677,-4372.209187365602,-1275.8962425997959,-3672.753081200147,-359.627739389494,-3178.107409884685,-3579.178899560718,0.4452472623631182,-0.15934115552596417,-7.529029654487361,4.8855456522683225,0.9999999598061381,4,1.65,2.9575164169073105,0.18400000000000002,1.2466772,0.85565645,0.99983835,0.34277382,0.00024923266,0.00023

21.632375,52.0,40000,5.000392892185501e-05,-4373.635122092858,-430.39696464360446,-4239.571298623846,-139.61628940491897,-4466.773403746899,-718.4306993501416,-4665.260620507109,-1022.8363534150501,-5029.794671088494,-1412.1841727909907,-4462.6681503269565,-566.0147132337977,-5416.634782298973,-1795.487155928479,-4651.4482413217975,-876.9884479045102,-4924.833459618981,-1178.3680993807702,-4284.318730146238,-331.04232275321834,-3804.3573260966673,-4128.721236476219,0.4405470273513676,-0.1920398515226618,-5.581183635161536,5.06949093007379,0.9999999427605072,5,1.95,3.519771322607994,0.18000000000000002,1.1051466,0.8592656,0.9999535,0.33813658,0.0009346582,0.00022500000000000002

24.825525,52.5,40000,4.649200024882121e-05,-4832.690789072395,-420.67795249465115,-4720.844788688304,-135.59146984140023,-4933.672494490029,-699.2175611830796,-5104.363992397505,-982.0742591415271,-5449.256693458122,-1357.02162685621,-4941.660702968532,-549.9317459967214,-5794.173577365031,-1695.808046449817,-5120.136382188269,-870.5841035648136,-5366.611960487603,-1155.2812913932094,-4771.85742201616,-330.71469315610966,-4283.8366053054415,-4531.546882991866,0.40137006850342516,-0.15272420263668737,-7.660202547602703,7.76151708610679,0.9999999335519442,6,2.25,2.8310683965682983,0.17600000000000002,1.1414766,0.7510102,1.0007713,0.3317769,0.0008662011,0.00022

34.7188,48.0,40000,5.686057440355938e-05,-5185.820028220993,-397.8038468394892,-5082.781844464702,-132.02157044033015,-5277.550972214247,-670.7465247106372,-5424.982931544557,-973.5060109878831,-5747.166371983377,-1342.2154834359255,-5298.938607971901,-527.8384039775005,-6059.556579917631,-1665.0799347595628,-5466.00560355398,-847.6528200153414,-5703.3598914481145,-1118.0972021673706,-5163.303256479334,-328.0342986227425,-4640.646999184205,-4822.4638353285045,0.3505175258762938,-0.15560635999822367,-6.7013632214720324,5.129744321563486,0.9999999348358728,7,2.55,2.935850441455841,0.17200000000000001,1.0520449,0.9194608,0.99998116,0.31422183,8.7502965e-05,0.000215

