_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv%1,adv2_-2,adv2_full_-2,adv%2,adv2_-3,adv2_full_-3,adv%3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff0,diff1,diff2,diff3,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.3495,49,40000,-60,-60,100,-63,-122.2812,51.52059352,-66,-186.8162712,35.32882846,-34,-59.95619032,-62.96568935,-65.96277873,-34.12185472,0.04380968,0.034310646,0.037221269,-0.121854718,0.055090054,0.495924796,-0.852276391,-4.207857026,0,0.999999999,1,0.43,16.16788602,0.19,1.1811378,0.7689424,0.99917233,0.34558246,0.000467082,0.0002375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.246525,47.5,40000,22.21496891,22.21496891,100,-56.96717152,-35.01833794,162.6781135,8.213527644,-26.3852906,-31.12919152,-107.6922661,22.21698184,-56.96717152,8.213527644,-126.4987266,0.002012927,0,0,-18.80646044,0.00436791,0.533451673,0.07723249,-4.748972094,4.38231653,0.999999997,6,2.12,-1.450005865,0.14,1.0650557,0.96916,0.9998832,0.34565255,2.30E-05,0.000175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.817075,48,40000,9.170475711,9.170475711,100,9.170475711,18.23108912,50.30130482,15.2066099,33.21929057,45.77644385,-1.748277814,6.154933885,6.154933885,32.00065738,-1.748830015,-3.015541826,-3.015541826,16.79404749,-0.000552201,0.002172121,0.521426071,-0.200021744,-5.223429527,3.866523445,0.999999996,7,2.62,3.80561769,0.13,1.0759453,0.9579396,0.99999774,0.34600708,4.90E-05,0.0001625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.1389,48.5,40000,-28.18305547,-28.18305547,100,-7.852731617,-35.69815409,21.99758452,16.57356192,-18.69692828,-88.64323419,-44.93514708,-28.18305547,-7.853069983,16.57320975,-44.9340341,0,-0.000338366,-0.000352175,0.001112976,0.001894471,0.514025701,-0.053667704,-5.136253943,4.457929169,0.999999996,8,3.06,1.019145939,0.12,1.0650096,0.8764225,0.9998137,0.34538826,0.00013356,0.00015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.9688,47.5,40000,20.17414183,20.17414183,100,20.17414183,40.10659743,50.30130482,-2.682410735,36.94370966,-7.260805044,8.244215617,20.17414183,20.17414183,-2.682092131,8.243916927,0,0,0.000318603,-0.00029869,0.001456797,0.528426421,0.198343605,-3.534216505,4.290543278,0.999999996,9,3.54,-3.791157633,0.11,1.0199505,0.98807275,0.9999784,0.3457692,1.03E-05,0.0001375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.940025,48,40000,14.80028611,14.80028611,100,-36.96586568,-22.34288701,165.4480268,-36.96586568,-59.0410849,62.61041061,-33.8336525,9.076376958,-47.3210345,-47.3210345,-43.40342977,-5.723909149,-10.35516881,-10.35516881,-9.569777279,0.001677545,0.525551278,0.105986959,-4.439975474,4.350262615,0.999999996,10,3.98,-1.999659576,0.1,1.0416619,0.967365,1.000034,0.34566578,2.18E-05,0.000125
