_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
21.958325,51,40000,3.13E-05,-34.01577911,-60.47158278,-29.42094731,-39.09965299,-47.3878579,0.486293147,0.025791559,-7.509614703,12.57316925,0.999999998,19,5.95,-0.514626759,0.124,1.0497825,0.9150003,1.0000358,0.3455696,4.43E-05,0.000155
,,,,,,,,,,,,,,,,,,,,,,,
30.4723,50,40000,9.60E-05,-33.51093228,-59.7728523,-30.13064918,-40.22102452,-46.65993209,0.47096048,-0.022672728,-6.565170927,6.32398324,0.999999998,20,6.33,0.433275242,0.12,1.1264822,0.96809274,1.0000324,0.34210256,5.81E-05,0.00015
,,,,,,,,,,,,,,,,,,,,,,,
23.914825,50.5,40000,2.64E-05,-31.99811205,-58.04462928,-29.87828872,-37.5827558,-42.32543271,0.497948974,0.002350621,-7.747625185,7.551224805,0.999999998,21,6.66,-0.025926161,0.116,1.0495038,0.9139119,0.99993026,0.34573412,4.19E-05,0.000145
,,,,,,,,,,,,,,,,,,,,,,,
26.0889,51,40000,3.15E-05,-30.04877922,-55.42102746,-27.18538339,-35.73783418,-39.04391444,0.492346173,0.002717214,-6.513798024,5.943471935,0.999999998,22,6.97,-0.035186162,0.112,1.0553335,0.9711377,1.0000229,0.3456167,8.87E-06,0.00014
,,,,,,,,,,,,,,,,,,,,,,,
26.281225,51.5,40000,3.14E-05,-29.56017682,-53.68194712,-26.93081398,-35.16795964,-39.66148482,0.484317159,-0.014649965,-7.109807352,5.557207816,0.999999998,23,7.29,0.249040739,0.108,1.0495093,0.9764585,1.0000298,0.34496766,8.36E-06,0.000135
,,,,,,,,,,,,,,,,,,,,,,,
23.790925,51,40000,2.24E-05,-27.39587936,-50.77321001,-26.40872544,-34.67248406,-36.0581932,0.490245123,0.015358179,-7.75847328,9.758914604,0.999999998,24,7.61,-0.27352988,0.104,1.0446843,0.91021353,1.0000056,0.34496576,4.33E-05,0.00013
,,,,,,,,,,,,,,,,,,,,,,,
37.8132,50,40000,0.00019638,-27.90997015,-51.04578814,-26.661088,-36.12351266,-40.72579082,0.439044522,0.000562669,-5.219339915,16.31905984,0.999999999,25,7.94,0.015571232,0.1,1.013716,0.8929657,0.99993277,0.32624272,2.43E-05,0.000125
